Query Time seconds,,,,,,,,Final Results,,,,
,Cycle 1,Cycle 2,Cycle 3,Average,,,,,Query Time,Memory Usage,CPU Usage,Throughput
Query 1,0.4,1.29,1.34,1.01,,,,Query 1,1.01 ,10.83 ,2.50 ,153514.51 
Query 2,0.37,0.39,0.4,0.386666667,,,,Query 2,0.39 ,10.83 ,3.50 ,298418.99 
Query 3,0.4,0.39,0.44,0.41,,,,Query 3,0.41 ,10.87 ,26.30 ,282946.66 
Query 4,0.57,0.65,0.65,0.623333333,,,,Query 4,0.62 ,10.90 ,53.27 ,184890.36 
Query 5,0.64,0.65,0.56,0.616666667,,,,Query 5,0.62 ,10.97 ,21.10 ,187832.48 
,,,,,,,,,,,,
Memory usage (%),,,,,,,,,,,,
,Cycle 1,Cycle 2,Cycle 3,Average,,,,,,,,
Query 1,11.10%,10.50%,10.90%,10.83333333,,,,,,,,
Query 2,11.10%,10.50%,10.90%,10.83333333,,,,,,,,
Query 3,11.00%,10.30%,11.30%,10.86666667,,,,,,,,
Query 4,11.10%,10.50%,11.10%,10.9,,,,,,,,
Query 5,11.20%,10.50%,11.20%,10.96666667,,,,,,,,
,,,,,,,,,,,,
CPU usage (%),,,,,,,,,,,,
,Cycle 1,Cycle 2,Cycle 3,Average,,,,,,,,
Query 1,2.50%,2.50%,2.50%,2.5,,,,,,,,
Query 2,4.00%,3.00%,3.50%,3.5,,,,,,,,
Query 3,14.60%,49.70%,14.60%,26.3,,,,,,,,
Query 4,56.30%,45.70%,57.80%,53.26666667,,,,,,,,
Query 5,2.50%,57.80%,3.00%,21.1,,,,,,,,
,,,,,,,,,,,,
Throughput (records per second),,,,,,,,,,,,
,Cycle 1,Cycle 2,Cycle 3,Average,,,,,,,,
Query 1,285996.52,88875.25,85671.76,153514.51,,,,,,,,
Query 2,311717.09,295964.76,287575.11,298418.9867,,,,,,,,
Query 3,289483.25,295086.24,264270.5,282946.6633,,,,,,,,
Query 4,200835.72,176656.72,177178.63,184890.3567,,,,,,,,
Query 5,179638.51,177407.69,206451.23,187832.4767,,,,,,,,
