1. Loading Data,,,,,,,,,,,,
Performance Metrics,Pandas,,,,Polars,,,,Modin,,,
,1st Run,2nd Run,3rd Run,Average,1st Run,2nd Run,3rd Run,Average,1st Run,2nd Run,3rd Run,Average
Total Processing Time (seconds),1.1924,1.1423,1.1632,1.1660,1.0008,1.0007,1.0011,1.0009,1.0009,1.001,1.0011,1.0010
Initial CPU Usage (%),45.50,6.60,62.50,38.20,56.30,57.00,61.00,58.10,60.80,54.00,56.60,57.13
Final CPU Usage (%),59.60,4.60,5.00,23.07,59.80,53.10,25.90,46.27,59.70,60.30,54.60,58.20
Memory Usage (%),20.50,22.10,21.50,21.37,22.20,21.60,21.60,21.80,21.80,21.80,22.30,21.97
Throughput (records/sec),92786.36,96858.65,95121.45,94922.15,110555.34,110564.63,110522.87,110547.61,110543.35,110531.98,110520.42,110531.92
,,,,,,,,,,,,
2. Handle Duplicate Data,,,,,,,,,,,,
Performance Metrics,Pandas,,,,Polars,,,,Modin,,,
,1st Run,2nd Run,3rd Run,Average,1st Run,2nd Run,3rd Run,Average,1st Run,2nd Run,3rd Run,Average
Total Processing Time (seconds),1.1332,1.1394,1.1389,1.1372,1.0006,1.0006,1.0006,1.0006,1.073,1.0727,1.0742,1.0733
Initial CPU Usage (%),20.40,5.10,5.10,10.20,26.40,5.50,5.10,12.33,84.90,88.50,50.00,74.47
Final CPU Usage (%),5.00,5.00,5.50,5.17,5.00,6.00,5.10,5.37,5.50,5.00,6.00,5.50
Memory Usage (%),20.40,22.10,21.50,21.33,22.10,21.60,21.60,21.77,22.00,21.70,22.40,22.03
Throughput (records/sec),93955.71,93450.36,93488.10,93631.39,106404.15,106410.94,106406.18,106407.09,99229.71,99253.86,99120.34,99201.30
,,,,,,,,,,,,
3.Handle Missing Data,,,,,,,,,,,,
Performance Metrics,Pandas,,,,Polars,,,,Modin,,,
,1st Run,2nd Run,3rd Run,Average,1st Run,2nd Run,3rd Run,Average,1st Run,2nd Run,3rd Run,Average
