job_title,company,location,classification,salary,salary_min,salary_max
EOI- Facilities Manager_Soft service (Penang),CBRE,George Town,Real Estate & Property,Not Disclosed,,
Senior Electrical Engineer- EHV Cables,AECOM,Damansara,Engineering,Not Disclosed,,
Management Consultant - ERP Platforms (SAP FI-CO),Accenture Malaysia,Kuala Lumpur City Centre,Information & Communication Technology,Not Disclosed,,
Accountant,Nala Groups on behalf of Nala Groups,Johor Bahru,Accounting,Not Disclosed,,
Marketing Executive,Nalagroups,Gelang Patah,Marketing & Communications,Not Disclosed,,
Credit Analyst-Korean Speaking,Oracle Corporation Malaysia Sdn. Bhd.,Kuala Lumpur,Accounting,Not Disclosed,,
Mobile Architect,LUXOFT MALAYSIA SDN. BHD.,Malaysia,Information & Communication Technology,Not Disclosed,,
Murex Technical Business Analyst,LUXOFT MALAYSIA SDN. BHD.,Kuala Lumpur City Centre,Information & Communication Technology,Not Disclosed,,
Sales Coordinator,Nalagroups,Gelang Patah,Sales,Not Disclosed,,
Java Developer,DXC Technology Malaysia Sdn Bhd.,Petaling,Information & Communication Technology,Not Disclosed,,
Chef De Partie,Fortune Valley Sdn Bhd,Port Dickson,"Manufacturing, Transport & Logistics",Not Disclosed,,
Associate EHS Specialist,Cargill Holdings (Malaysia) Sdn Bhd,Malaysia,Engineering,Not Disclosed,,
Associate Buyer,Cargill Holdings (Malaysia) Sdn Bhd,Klang/Port Klang,"Manufacturing, Transport & Logistics",Not Disclosed,,
Sales Executive,Nalagroups,Gelang Patah,Retail & Consumer Products,Not Disclosed,,
Finance Analyst - Mandarin Speaker,Hexamatics Servcomm Sdn. Bhd.,Kuala Lumpur,Accounting,Not Disclosed,,
Finance & Admin Executive,FRL MATSUDA RETAIL SDN. BHD.,Kuala Lumpur City Centre,Accounting,Not Disclosed,,
Senior ServiceNow Developer,SWIFT SUPPORT SERVICES MALAYSIA SDN. BHD.,Kuala Lumpur,Information & Communication Technology,Not Disclosed,,
Sales Representative,Nalagroups,Gelang Patah,Retail & Consumer Products,Not Disclosed,,
Tax Accountant,Nala Groups on behalf of Nala Groups,Johor Bahru,Accounting,Not Disclosed,,
Sales Coordinator,Nalagroups,Gelang Patah,Accounting,Not Disclosed,,
Sales Manager,Nalagroups,Gelang Patah,Accounting,Not Disclosed,,
Internal Auditor,Katrin BJ Sdn Bhd.,Selangor,Accounting,Not Disclosed,,
Account Executive,Datumstruct (M) Sdn Bhd,Damansara,Accounting,Not Disclosed,,
Accountant,ME NATION (M) SDN. BHD.,Taman Molek,Accounting,Not Disclosed,,
Trade Marketing Outdoor & Premium Merchandise,Maxis Broadband Sdn Bhd,Kuala Lumpur City Centre,Retail & Consumer Products,Not Disclosed,,
Mid Market Customer Growth Executive,Infobip,Kuala Lumpur,Sales,Not Disclosed,,
Project Manager,RED HAT MALAYSIA SDN. BHD.,Kuala Lumpur,Information & Communication Technology,Not Disclosed,,
Lean Leader,GE Vernova - Gas Power Aero Products & Services Joint Venture,Pulau Indah,"Manufacturing, Transport & Logistics",Not Disclosed,,
Cadet Engineer,Boustead Estates Agency Sdn Bhd,Kuala Lumpur City Centre,Engineering,Not Disclosed,,
Marketing Assistant,Total Marketing &amp; Distribution Sdn Bhd,Juru,Retail & Consumer Products,Not Disclosed,,
Event Coordinator,Optimo International Sdn Bhd,Damansara,"Manufacturing, Transport & Logistics",Not Disclosed,,
Moving Coordinator,Agensi Pekerjaan Job Search Asia Sdn. Bhd.,Kuala Lumpur,Accounting,Not Disclosed,,
Live Stream Host / Hostess,Carglint Enterprise,Batang Kali,Marketing & Communications,Not Disclosed,,
Lead Chemical Engineer,Honeywell PH/MY/SG/ID (Korn Ferry),Kuala Lumpur,Engineering,Not Disclosed,,
Graphics Designer - Video Editor,Resilu,Malaysia,"Advertising, Arts & Media",Not Disclosed,,
Care Delivery Operations Executive (TH),NALURI HIDUP SDN. BHD.,Kuala Lumpur City Centre,Sales,Not Disclosed,,
"Assistant Finance Manager (Petaling Jaya, Selangor)",CBRE,Petaling,Accounting,Not Disclosed,,
"Senior Associate/Senior, Business Outsourcing",Crowe KL Tax Sdn Bhd,Malaysia,Accounting,Not Disclosed,,
"Technician III, Packing",FFM Group,Kuala Lumpur City Centre,"Manufacturing, Transport & Logistics",Not Disclosed,,
Customer Service Representative,RecruitifyHR,Gombak,Call Centre & Customer Service,Not Disclosed,,
Maintenance Electrician,Molek Garden Hotel Sdn Bhd,Taman Molek,Accounting,Not Disclosed,,
Marketing Assistant,Big Domain Sdn Bhd,Perai,Accounting,Not Disclosed,,
Barista Crew,ROOTS F&amp;B (KL) SDN HD,Kuala Lumpur,Hospitality & Tourism,Not Disclosed,,
"Officer, Pricing",Teleport,Kuala Lumpur City Centre,Accounting,Not Disclosed,,
Customer Service & Operations Associate,Asia Digital Bank Ltd.,Kuala Lumpur City Centre,Call Centre & Customer Service,Not Disclosed,,
Unix System Administrator,Unison Consulting,Kuala Lumpur,Information & Communication Technology,Not Disclosed,,
Content Creator,PGM Capital,Johor,Call Centre & Customer Service,Not Disclosed,,
Senior Accountant,Thetole acupuncture herbal Medical Centre Sdn Bhd,Kuala Lumpur,Accounting,Not Disclosed,,
Mid-Market Account Manager (Sarawak),Maxis Broadband Sdn Bhd,Kuching,Sales,Not Disclosed,,
Business Enablement Specialist,Axi,Kuala Lumpur,Sales,Not Disclosed,,
Civil Engineer,Boustead Estates Agency Sdn Bhd,Kuala Lumpur City Centre,Engineering,Not Disclosed,,
Design Engineer,NalaGroups,Gelang Patah,Accounting,Not Disclosed,,
Accounting Assistant,Optimo International Sdn Bhd,Selangor,Accounting,Not Disclosed,,
Wealth Manager - Real Estate Investment (Remote),Bayut | dubizzle,Malaysia,Sales,Not Disclosed,,
Technical Lead,NalaGroups,Gelang Patah,Accounting,Not Disclosed,,
"Senior Executive/Executive, Corporate Finance & Investor Relations",Boustead Estates Agency Sdn Bhd,Kuala Lumpur City Centre,Accounting,Not Disclosed,,
AI Engineer / AI Specialist (1-Year Renewable Contract @MidValley Southkey),HopeRun Software Singapore Pte Ltd,Johor Bahru,Information & Communication Technology,"RM 6,800 – RM 10,000 per month",6800,10000
AS400 Developer,Unison Consulting,Kuala Lumpur,Information & Communication Technology,Not Disclosed,,
Purchasing Officer,NalaGroups,Gelang Patah,Accounting,Not Disclosed,,
Sales Development Representative,EngageTech,Kuala Lumpur City Centre,Sales,Not Disclosed,,
"Executive, Corporate Affairs",Carsome Sdn Bhd,Damansara,Consulting & Strategy,Not Disclosed,,
Manager of Finance and Operations,HELIX,Kuala Lumpur,Accounting,Not Disclosed,,
Sales Closer,ELVTR,Malaysia,Sales,Not Disclosed,,
Area Sales Manager,Loom Solar Pvt. Ltd.,Kuala Lumpur City Centre,Sales,Not Disclosed,,
"Senior Executive, Finance",Associated Equipment Division,Selangor,Accounting,Not Disclosed,,
Key Account Executive / Manager (Sales),Innoquest Pathology Sdn. Bhd.,Petaling,Sales,Not Disclosed,,
Solar Site Supervisor,Solarvest Holdings Bhd.,Petaling,Engineering,Not Disclosed,,
Test lead(Automation and Manual),Unison Consulting,Kuala Lumpur,Information & Communication Technology,Not Disclosed,,
Operations & Maintenance Engineer (Central),Solarvest Holdings Bhd.,Petaling,Engineering,Not Disclosed,,
Sales Directors - Global Logistics - UK & Malaysia,HypaShip,Malaysia,Sales,Not Disclosed,,
OTC Analyst,Warner Music Malaysia,Petaling,Accounting,Not Disclosed,,
Performance tester,Unison Consulting,Kuala Lumpur,Information & Communication Technology,Not Disclosed,,
Legal Consultant,Asgard Resources Sdn Bhd,Bangsar South,Legal,Not Disclosed,,
Mainframe Cobol Developer,LUXOFT MALAYSIA SDN. BHD.,Kuala Lumpur City Centre,Information & Communication Technology,Not Disclosed,,
L3 Production Support Engineer,LUXOFT MALAYSIA SDN. BHD.,Kuala Lumpur City Centre,Information & Communication Technology,Not Disclosed,,
Big Data Hadoop Developer,Unison Consulting,Kuala Lumpur,Information & Communication Technology,Not Disclosed,,
Full Stack Developer,1000Heads,Kuala Lumpur City Centre,Information & Communication Technology,Not Disclosed,,
"ENGR II, TEST_TL",ON Semiconductor Malaysia Sdn. Bhd.,Seremban,Engineering,Not Disclosed,,
Legal Intern,PolicyStreet,Kuala Lumpur City Centre,Banking & Financial Services,Not Disclosed,,
Store Keeper,HS Diesel,Jelapang,"Manufacturing, Transport & Logistics",Not Disclosed,,
Administration Officer,Hong Seng Assembly Sdn Bhd,Butterworth,Accounting,Not Disclosed,,
"Assistant Vice President, Financial Crime and Core Compliance Audit",MUFG Bank (Malaysia) Berhad,Kuala Lumpur City Centre,Accounting,Not Disclosed,,
Admin Assistant,Famosa Media Sdn Bhd,Ayer Keroh,Administration & Office Support,Not Disclosed,,
"Executive, Global Partnerships",Guidelines on Tranglo’s look and feel,Kuala Lumpur City Centre,Sales,Not Disclosed,,
Accounts Assistant,MAH SING HEALTHCARE SDN BHD,Klang/Port Klang,Accounting,Not Disclosed,,
Lead Generation Representative (Thai speaker),Concentrix,Kuala Lumpur,Sales,Not Disclosed,,
Air Conditioning Technician,ASHRAE SDN BHD,Penang,Accounting,Not Disclosed,,
"Senior, Risk Consulting (IT Audit)",Crowe KL Tax Sdn Bhd,Malaysia,Information & Communication Technology,Not Disclosed,,
Sales Executive,MAH SING HEALTHCARE SDN BHD,Klang/Port Klang,Retail & Consumer Products,Not Disclosed,,
Base Manager - Kakkanad,Rentokil Initial (M) Sdn Bhd,Kuala Lumpur City Centre,Sales,Not Disclosed,,
Service Crew,Nalagroups,Gelang Patah,Hospitality & Tourism,Not Disclosed,,
Marketing Executive,NalaGroups,Gelang Patah,Marketing & Communications,Not Disclosed,,
HLC Engineer @ KLIA Malaysia,Vanderlande,Malaysia,Information & Communication Technology,Not Disclosed,,
"Team Lead- Professional Development Unit, Academy",PwC Malaysia,Kuala Lumpur,Information & Communication Technology,Not Disclosed,,
Registered Valuer / Manager,Rahim & Co International Property Consultants,Malaysia,Real Estate & Property,Not Disclosed,,
Maintenance Technician (Georgetown),CBRE,George Town,Engineering,Not Disclosed,,
Maintenance Technician (Bangsar),CBRE,Bangsar,Engineering,Not Disclosed,,
Maintenance Technician (Bukit Damansara),CBRE,Petaling Jaya,Engineering,Not Disclosed,,
Director of Sales25148136,Renaissance Kuala Lumpur Hotel,Ampang,Sales,Not Disclosed,,
F&B Service Expert25128163,Marriott Int. Asia Pacific IR Office,Selangor,Hospitality & Tourism,Not Disclosed,,
Material Specialist,ICHOR Systems Malaysia Sdn Bhd,Malaysia,"Manufacturing, Transport & Logistics",Not Disclosed,,
Senior Business Development Manager,Idealseed Resources Sdn Bhd,Kuala Lumpur City Centre,Sales,Not Disclosed,,
Partnerships Associate Lead,PolicyStreet,Kuala Lumpur City Centre,Sales,Not Disclosed,,
Senior Accounting / Planning Manager,Agensi Pekerjaan Timesconsult,Shah Alam,Accounting,Not Disclosed,,
Java Full Stack Lead with AEM,Unison Consulting,Kuala Lumpur,Information & Communication Technology,Not Disclosed,,
Retail Process Architecture Manager,MR D.I.Y Trading Sdn Bhd,Selangor,Engineering,Not Disclosed,,
Category Associate Manager (Luxury Product),ZALORA Malaysia,Kuala Lumpur City Centre,"Manufacturing, Transport & Logistics",Not Disclosed,,
Senior Data Engineer,ZALORA Malaysia,Kuala Lumpur City Centre,Information & Communication Technology,Not Disclosed,,
Category Manager (Luxury Product),ZALORA Malaysia,Kuala Lumpur City Centre,"Manufacturing, Transport & Logistics",Not Disclosed,,
Senior Manager of Talent Effectiveness,ZALORA Malaysia,Kuala Lumpur City Centre,Human Resources & Recruitment,Not Disclosed,,
Outsystems Developers (MY) - HS-ANC251031 013/01,Xcellink Sdn Bhd,Kuala Lumpur City Centre,Information & Communication Technology,Not Disclosed,,
End-User Marketing Intern (Public),Signify Malaysia,Shah Alam,Consulting & Strategy,Not Disclosed,,
"Software Engineer, iOS Core Product - Asia",Speechify,Malaysia,Information & Communication Technology,Not Disclosed,,
Site Safety Supervisor - Southern Region Based,Solarvest Holdings Bhd.,Petaling,Engineering,Not Disclosed,,
"Senior Associate, Restructuring & Insolvency",Crowe KL Tax Sdn Bhd,Malaysia,Banking & Financial Services,Not Disclosed,,
Regional HSE Manager,CBRE,Kuala Lumpur,"Manufacturing, Transport & Logistics",Not Disclosed,,
Legal Associate,Messrs. Sivaruben and Co,Kuala Lumpur,Legal,Not Disclosed,,
Pupil-In-Chambers,Azlan Shah Sukhdev & Co.,Petaling,Legal,Not Disclosed,,
Admin Assistant,NalaGroups,Gelang Patah,Administration & Office Support,Not Disclosed,,
Assistant Manager,NalaGroups,Gelang Patah,Accounting,Not Disclosed,,
Product Executive,Fotile Marketing Malaysia,Shah Alam,Retail & Consumer Products,Not Disclosed,,
Secretary,JK BERJAYA VENTURES,Kuala Lumpur,Administration & Office Support,Not Disclosed,,
Safety & Health Officer (Selangor),AME Elite Consortium Berhad,Klang/Port Klang,Construction,Not Disclosed,,
Safety Model Operations Team Lead - Kuala Lumpur,TikTok,Kuala Lumpur City Centre,Engineering,Not Disclosed,,
