Query Time seconds,,,,,,,,Final Results,,,,
,Cycle 1,Cycle 2,Cycle 3,Average,,,,,Query Time,Memory Usage,CPU Usage,Throughput
Query 1,0.3945,0.4641,0.4463,0.434966667,,,,Query 1,0.43 ,9.63 ,4.00 ,265644.60 
Query 2,0.34,0.3603,0.3458,0.3487,,,,Query 2,0.35 ,9.63 ,3.67 ,330018.67 
Query 3,0.3506,0.5331,0.3916,0.4251,,,,Query 3,0.43 ,9.73 ,17.47 ,279144.96 
Query 4,0.3268,0.6066,0.3701,0.4345,,,,Query 4,0.43 ,9.77 ,22.50 ,284087.32 
Query 5,0.3289,0.3736,0.3393,0.347266667,,,,Query 5,0.35 ,9.63 ,3.67 ,332123.54 
,,,,,,,,,,,,
Memory usage (%),,,,,,,,,,,,
,Cycle 1,Cycle 2,Cycle 3,Average,,,,,,,,
Query 1,9.60%,9.70%,9.60%,9.633333333,,,,,,,,
Query 2,9.50%,9.70%,9.70%,9.633333333,,,,,,,,
Query 3,9.70%,9.80%,9.70%,9.733333333,,,,,,,,
Query 4,9.70%,9.80%,9.80%,9.766666667,,,,,,,,
Query 5,9.60%,9.70%,9.60%,9.633333333,,,,,,,,
,,,,,,,,,,,,
CPU usage (%),,,,,,,,,,,,
,Cycle 1,Cycle 2,Cycle 3,Average,,,,,,,,
Query 1,3.00%,7.00%,2.00%,4,,,,,,,,
Query 2,3.00%,5.50%,2.50%,3.666666667,,,,,,,,
Query 3,0.00%,52.40%,0.00%,17.46666667,,,,,,,,
Query 4,2.50%,61.50%,3.50%,22.5,,,,,,,,
Query 5,2.50%,6.00%,2.50%,3.666666667,,,,,,,,
,,,,,,,,,,,,
Throughput (records per second),,,,,,,,,,,,
,Cycle 1,Cycle 2,Cycle 3,Average,,,,,,,,
Query 1,291488.21,247781.68,257663.91,265644.6,,,,,,,,
Query 2,338245.91,319220.89,332589.22,330018.6733,,,,,,,,
Query 3,328002.16,215732.49,293700.22,279144.9567,,,,,,,,
Query 4,351928.11,189583.73,310750.13,284087.3233,,,,,,,,
Query 5,349669.51,307805.95,338895.17,332123.5433,,,,,,,,
