method,run,time_sec,cpu_%,memory_mb,throughput,avg_time_sec,avg_cpu_%,avg_memory_mb,avg_throughput,speedup_vs_baseline
pandas_baseline,1,11.1974,47,251.16,8970,,,,,
pandas_baseline,2,4.1934,91.7,251.16,23952,6.6705,78.7,251.17,18220,1
pandas_baseline,3,4.6205,97.4,251.17,21738,,,,,
pandas_optimized,1,3.7298,100,213.61,26930,,,,,
pandas_optimized,2,5.0461,98.4,213.61,19905,4.236,99.47,213.61,24126,1.57
pandas_optimized,3,3.9322,100,213.61,25544,,,,,
polars,1,0.932,113.7,0.09,58641,,,,,
polars,2,0.8334,124.7,0.04,65582,0.8368,123.7,0.06,65861,7.97
polars,3,0.745,132.7,0.04,73360,,,,,
duckdb,1,1.3341,107.2,0.15,40965,,,,,
duckdb,2,1.0186,136.4,0.15,53658,1.2132,117.97,0.15,45698,5.5
duckdb,3,1.2869,110.3,0.15,42470,,,,,
