listing_id,product,price,original_price,condition,seller,time_posted,likes,listing_url,source_url,category,buyer_protection,delivery_info
1377268675,"A.M.E Blaster-X 7-22 Hybrid Golf Club - 40.5"" (Made in Japan)",RM120,,Lightly used,rustiqfairway,,3.0,https://www.carousell.com.my/p/a-m-e-blaster-x-7-22-hybrid-golf-club-40-5-made-in-japan-1377268675/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1437544648,Jersi basikal,RM35,,Well used,mannixbundle,,,https://www.carousell.com.my/p/jersi-basikal-1437544648/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1434896821,Elite Direto Smart Trainer,"RM1,200",,Lightly used,muzAfar,,4.0,https://www.carousell.com.my/p/elite-direto-smart-trainer-1434896821/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1435799699,Mizuno JPX 800XD Forged Golf Set (6-SW) + 5 Bonus Shafts,RM850,,Lightly used,eheng.tan,,13.0,https://www.carousell.com.my/p/mizuno-jpx-800xd-forged-golf-set-6-sw-5-bonus-shafts-1435799699/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1434640311,Life Gym Equipment Set,"RM1,500",,Well used,rainforest_ning,,10.0,https://www.carousell.com.my/p/life-gym-equipment-set-1434640311/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1437302488,Titleist Players 4 Carbon Stand Golf Bag,RM650,,Lightly used,adrianyapys,,3.0,https://www.carousell.com.my/p/titleist-players-4-carbon-stand-golf-bag-1437302488/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1437544459,Nike Tracktop,RM70,,Lightly used,lzbundlestore,,,https://www.carousell.com.my/p/nike-tracktop-1437544459/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1419497167,Lexus Golf Bag,RM80,RM150,Well used,jakeliu009,,7.0,https://www.carousell.com.my/p/lexus-golf-bag-1419497167/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1436852808,Multipurpose Adjustable Gym Bench Workout Weight Decline Machine Exercise Fitness,RM70,,Lightly used,perabotpros,,4.0,https://www.carousell.com.my/p/multipurpose-adjustable-gym-bench-workout-weight-decline-machine-exercise-fitness-1436852808/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1434831597,Ping G440 Max Driver 9 degree,"RM1,790",,Lightly used,dket10,,,https://www.carousell.com.my/p/ping-g440-max-driver-9-degree-1434831597/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1343695831,SPECIAL!!! VICTOR THRUSTER K RYUGA 2 ISSUED TO & MATCH USED BY LEE ZII JIA FOR 2022 SEASON Purple Racket 3U G5,"RM6,666",,Like new,happyhbshop,,13.0,https://www.carousell.com.my/p/special-victor-thruster-k-ryuga-2-issued-to-match-used-by-lee-zii-jia-for-2022-season-purple-racket-3u-g5-1343695831/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1399228256,Dunlop D-4UM 7 21 Degree Hybrid Regular Flex Golf Club,RM120,,Well used,david.heng.31,,2.0,https://www.carousell.com.my/p/dunlop-d-4um-7-21-degree-hybrid-regular-flex-golf-club-1399228256/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1326776529,Bike Friday All-Packa,"RM8,000",,Lightly used,buluidong,,31.0,https://www.carousell.com.my/p/bike-friday-all-packa-1326776529/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1284874499,Colnago G3X Gravel Bike,"RM13,700",,Brand new,adamzuhairi0,,52.0,https://www.carousell.com.my/p/colnago-g3x-gravel-bike-1284874499/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1435450399,Boot Vintage Mantap,RM129,,Like new,kedaisukandannyswee,,1.0,https://www.carousell.com.my/p/boot-vintage-mantap-1435450399/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1437544008,Babolat Aero Pro Drive Original Tennis Racket,RM500,,Lightly used,tengkorakchuah,,,https://www.carousell.com.my/p/babolat-aero-pro-drive-original-tennis-racket-1437544008/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1433070261,Luzr Pickleball Paddle,RM300,,Like new,couminho,,11.0,https://www.carousell.com.my/p/luzr-pickleball-paddle-1433070261/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1437543904,Twitter T10 Pro Road Bike,"RM3,200",,Lightly used,mhdizzul,,,https://www.carousell.com.my/p/twitter-t10-pro-road-bike-1437543904/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1437191826,Aigle Light Windbreaker Women,RM20,,Well used,mista.fixx,,2.0,https://www.carousell.com.my/p/aigle-light-windbreaker-women-1437191826/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1437439888,Colnago C40 Art Decor – Vintage Collectible Road Bike,"RM6,999",,Lightly used,yunnychia87,,,https://www.carousell.com.my/p/colnago-c40-art-decor-–-vintage-collectible-road-bike-1437439888/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1434052799,"Selkirk, Sypik, Joola, CRBN Used Paddles For Sale",RM100,,Like new,quille0309,,11.0,https://www.carousell.com.my/p/selkirk-sypik-joola-crbn-used-paddles-for-sale-1434052799/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1435648902,Nike vaporly 4 (5.5uk),RM120,,Like new,lusuhbundlestore1,,1.0,https://www.carousell.com.my/p/nike-vaporly-4-5-5uk-1435648902/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1437543559,HONMA LB-808 Limited Edition 2-star ⭐️⭐️  3 & 5 WOOD + 4 UTILITY / HYBRID / RESCUE  🇯🇵 -  IGT GOLF,"RM1,790",,Lightly used,igt_golf,,,https://www.carousell.com.my/p/honma-lb-808-limited-edition-2-star-⭐️⭐️-3-5-wood-4-utility-hybrid-rescue-🇯🇵-igt-golf-1437543559/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1431729803,Yonex Badminton Shoes,RM120,,Lightly used,granddragon_e2b1d8,,1.0,https://www.carousell.com.my/p/yonex-badminton-shoes-1431729803/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1432823349,SLK Atlas Pickleball Paddle,RM150,,Lightly used,farahanimarzihan,,5.0,https://www.carousell.com.my/p/slk-atlas-pickleball-paddle-1432823349/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1437090114,Saddle basikal MTB roadbike,RM15,,Lightly used,mofai_bundle,,1.0,https://www.carousell.com.my/p/saddle-basikal-mtb-roadbike-1437090114/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1427586027,Adjustable Anzen Blue Shoulder Crutches,RM20,,Like new,plussize_preloved,,4.0,https://www.carousell.com.my/p/adjustable-anzen-blue-shoulder-crutches-1427586027/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1429455849,BIASK Bycycle Saddle,RM25,,Like new,gentlehorse_7d0b67,,1.0,https://www.carousell.com.my/p/biask-bycycle-saddle-1429455849/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1437543304,Fandi 16” Bike,RM350,,Brand new,shopwithbob,,,https://www.carousell.com.my/p/fandi-16”-bike-1437543304/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1425543848,[Terpakai] Tong Air Camping / Outdoor Water Container 18L (BPA Free),RM34,RM35,Lightly used,hmk_estore,,16.0,https://www.carousell.com.my/p/terpakai-tong-air-camping-outdoor-water-container-18l-bpa-free-1425543848/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1436506290,Falcon Folding Knife-Edc/Camping,RM50,,Lightly used,zafrinn,,4.0,https://www.carousell.com.my/p/falcon-folding-knife-edc-camping-1436506290/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1437369909,(RRP: 320) Lululemon The Yoga Mat Bag 16L in Green Fern,RM160,,Like new,fayrebeauty,,3.0,https://www.carousell.com.my/p/rrp-320-lululemon-the-yoga-mat-bag-16l-in-green-fern-1437369909/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1437222692,Outshock Advanced Boxing Gear Duffle Bag,RM90,,Like new,miss_jw,,1.0,https://www.carousell.com.my/p/outshock-advanced-boxing-gear-duffle-bag-1437222692/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1433421050,Ogawa Fitrek-X Treadmill,RM500,,Well used,jaz.j,,2.0,https://www.carousell.com.my/p/ogawa-fitrek-x-treadmill-1433421050/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1413160024,Basikal fixie untuk di jual (logo tsunami itu hanya sticker),RM600,,Lightly used,clevereagle-3a3d43,,21.0,https://www.carousell.com.my/p/basikal-fixie-untuk-di-jual-logo-tsunami-itu-hanya-sticker-1413160024/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1436787110,Nike  Boots,RM150,,Brand new,AmirHafiz,,1.0,https://www.carousell.com.my/p/nike-boots-1436787110/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1431747909,Monton Women Cycling Long Bib - Size S/XS,RM30,,Well used,sheriousdealer,,1.0,https://www.carousell.com.my/p/monton-women-cycling-long-bib-size-s-xs-1431747909/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1181398776,MTB Marin bike,"RM3,000",,Well used,izmady,,40.0,https://www.carousell.com.my/p/mtb-marin-bike-1181398776/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1367276107,Long cycling bib,RM80,,Lightly used,garmentshed,,1.0,https://www.carousell.com.my/p/long-cycling-bib-1367276107/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1413058115,"Daiwa Seaborg 200JL-SJ DAIWA SEABORG, Excellent Condition! Made in Japan, Rare Electric Jigging Model, Low Distance/Time, Left-Handed Reel","RM1,501",,Lightly used,letaoservice,,3.0,https://www.carousell.com.my/p/daiwa-seaborg-200jl-sj-daiwa-seaborg-excellent-condition-made-in-japan-rare-electric-jigging-model-low-distance-time-left-handed-reel-1413058115/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1420971774,Multipurpose Gym Workout Bench Weight Exercise Fitness,RM79,RM89,Lightly used,perabotpros,,10.0,https://www.carousell.com.my/p/multipurpose-gym-workout-bench-weight-exercise-fitness-1420971774/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1437543996,Adidas Tracktop,RM70,,Lightly used,lzbundlestore,,,https://www.carousell.com.my/p/adidas-tracktop-1437543996/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1436962082,Yonex Z-force II,RM350,,Well used,lirosli.1,,7.0,https://www.carousell.com.my/p/yonex-z-force-ii-1436962082/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1432693528,Luzz Pro-4 Inferno Pickleball Paddle,RM750,,Like new,iekachng,,14.0,https://www.carousell.com.my/p/luzz-pro-4-inferno-pickleball-paddle-1432693528/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1432699823,Naturehike Outdoor Survival Whistle,RM9,,Brand new,kedaioutdoorshahalam,,2.0,https://www.carousell.com.my/p/naturehike-outdoor-survival-whistle-1432699823/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1435139168,Luzz Pro 4 Inferno,RM600,,Like new,luisrc0919,,10.0,https://www.carousell.com.my/p/luzz-pro-4-inferno-1435139168/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1338035637,ASSOS CAMPIONISSMO LONG CYCLING BIB,RM88,,Lightly used,vintagevalleyapparels,,3.0,https://www.carousell.com.my/p/assos-campionissmo-long-cycling-bib-1338035637/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1436219678,ADIDAS ACE 17.4 FXG BOOTS(22.5CM),RM78,,Like new,dazbundle,,1.0,https://www.carousell.com.my/p/adidas-ace-17-4-fxg-boots-22-5cm-1436219678/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1432820187,Dinner set green,RM69,,Brand new,adventurestore00-19719,,1.0,https://www.carousell.com.my/p/dinner-set-green-1432820187/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1436984893,Mizuno Golf Bag,RM350,,Brand new,boldwind_54230c,,1.0,https://www.carousell.com.my/p/mizuno-golf-bag-1436984893/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1359302507,Adidas Golf Range Bag,RM60,RM100,Lightly used,opie_16s,,28.0,https://www.carousell.com.my/p/adidas-golf-range-bag-1359302507/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1433838971,Shinetrip Seasoning Bottles & Bag,RM35,,Brand new,prelovedby_gee,,3.0,https://www.carousell.com.my/p/shinetrip-seasoning-bottles-bag-1433838971/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1375649720,Rocacorba Spain cycling bib,RM299,RM359,Lightly used,syakrs,,1.0,https://www.carousell.com.my/p/rocacorba-spain-cycling-bib-1375649720/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1418943924,Selkirk Amped Invikta Pro Air Pickleball Paddle 9/10 Like New !,RM330,,Lightly used,kkbanting,,17.0,https://www.carousell.com.my/p/selkirk-amped-invikta-pro-air-pickleball-paddle-9-10-like-new-1418943924/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1437542548,Pierrot Fixie Bicycle,RM695,,Brand new,shopwithbob,,,https://www.carousell.com.my/p/pierrot-fixie-bicycle-1437542548/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1437399402,Taylormade P790 Iron Set(4-P),"RM3,900",,Brand new,dioglobal,,1.0,https://www.carousell.com.my/p/taylormade-p790-iron-set-4-p-1437399402/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1437542486,gt ricochet 1993,"RM1,950",,Well used,faizyusofali,,,https://www.carousell.com.my/p/gt-ricochet-1993-1437542486/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
1433731757,Adidas Goletto VIII Firm Ground - Boot Bola,RM100,,Lightly used,ooma93,,3.0,https://www.carousell.com.my/p/adidas-goletto-viii-firm-ground-boot-bola-1433731757/,https://www.carousell.com.my/categories/sports-equipment-10/,sports equipment,False,
