url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/26312125-promoter-jualan,26312125,Promoter Jualan,Atom Computer (KL) Sdn Bhd,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,WP Kuala Lumpur,"MYR1,700 - MYR2,500 Sebulan",3 hours ago,"Communication, Sales",recent_jobs2026-05-03 22:39:57.161675
https://www.maukerja.my/job/26312386-junior-sales-marketing,26312386,Junior Sales Marketing,MW Infinity Sdn Bhd,"MYR2,800 - MYR4,500 Sebulan",Sepenuh Masa,WP Kuala Lumpur,"MYR2,800 - MYR4,500 Sebulan",8 minutes ago,"Marketing Strategy, Communication Skills",recent_jobs2026-05-03 22:39:57.161679
https://www.maukerja.my/job/26312244-business-operations-manager,26312244,Business Operations Manager,Kin Health Century Sdn Bhd,"MYR5,000 - MYR10,000 Sebulan",Sepenuh Masa,"Iskandar Puteri, Johor","MYR5,000 - MYR10,000 Sebulan",34 minutes ago,"Operations Management, Process Improvement",recent_jobs2026-05-03 22:39:57.161681
https://www.maukerja.my/job/26312243-operations-manager,26312243,Operations Manager,Kin Health Century Sdn Bhd,"MYR5,000 - MYR10,000 Sebulan",Sepenuh Masa,"Iskandar Puteri, Johor","MYR5,000 - MYR10,000 Sebulan",35 minutes ago,"Operations Management, Process Improvement",recent_jobs2026-05-03 22:39:57.161682
https://www.maukerja.my/job/26312240-receptionist,26312240,Receptionist,Kin Health Century Sdn Bhd,"MYR2,500 - MYR4,000 Sebulan",Sepenuh Masa,"Iskandar Puteri, Johor","MYR2,500 - MYR4,000 Sebulan",an hour ago,"Customer Service, Reception Management",recent_jobs2026-05-03 22:39:57.161683
https://www.maukerja.my/job/26312239-eksekutif-kaunter-hadapan,26312239,Eksekutif Kaunter Hadapan,Kin Health Century Sdn Bhd,"MYR2,500 - MYR4,000 Sebulan",Sepenuh Masa,"Iskandar Puteri, Johor","MYR2,500 - MYR4,000 Sebulan",an hour ago,"Customer Service, Reception Management",recent_jobs2026-05-03 22:39:57.161684
https://www.maukerja.my/job/26312235-internship-for-kitchen-crew,26312235,Internship For Kitchen Crew,Gridiron Sports Cafe & Lounge,"MYR2,500 - MYR3,300 Sebulan",Latihan Industri,WP Kuala Lumpur,"MYR2,500 - MYR3,300 Sebulan",2 hours ago,"Food preparation, Cooking",recent_jobs2026-05-03 22:39:57.161685
https://www.maukerja.my/job/26312241-internship-for-human-resource,26312241,Internship For Human Resource,Qube Apps Solutions Sdn Bhd,"MYR1,000 - MYR1,200 Sebulan",Latihan Industri,"Kepong, Selangor","MYR1,000 - MYR1,200 Sebulan",an hour ago,"Administration Management, Human Resources Management",recent_jobs2026-05-03 22:39:57.161686
https://www.maukerja.my/job/26312237-internship-for-service-crew,26312237,Internship For Service Crew,Dulima Equity Sdn Bhd,"MYR2,500 - MYR3,300 Sebulan",Latihan Industri,WP Kuala Lumpur,"MYR2,500 - MYR3,300 Sebulan",2 hours ago,Server,recent_jobs2026-05-03 22:39:57.161687
https://www.maukerja.my/job/26312236-part-time-service-crew,26312236,Part-Time Service Crew,Dulima Equity Sdn Bhd,MYR15 - MYR20 Sejam,Separuh Masa,WP Kuala Lumpur,MYR15 - MYR20 Sejam,2 hours ago,Server,recent_jobs2026-05-03 22:39:57.161688
https://www.maukerja.my/job/26312238-executive-finance,26312238,"Executive, Finance",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kangar, Perlis",Undisclosed,an hour ago,Finance,recent_jobs2026-05-03 22:39:57.161689
https://www.maukerja.my/job/26312384-customer-services-officer-domestic-station,26312384,Customer Services Officer (Domestic Station),Malaysia Aviation Group,Undisclosed,Sepenuh Masa,"Bintulu, Sarawak",Undisclosed,18 minutes ago,Customer Service,recent_jobs2026-05-03 22:39:57.161690
https://www.maukerja.my/job/26312368-customer-services-officer-domestic-station,26312368,Customer Services Officer (Domestic Station),Malaysia Aviation Group,Undisclosed,Sepenuh Masa,"Sibu, Sarawak",Undisclosed,24 minutes ago,Customer Service,recent_jobs2026-05-03 22:39:57.161691
https://www.maukerja.my/job/26312242-instructor-crew-safety,26312242,"Instructor, Crew Safety",Malaysia Aviation Group,Undisclosed,Sepenuh Masa,Selangor,Undisclosed,an hour ago,airline,recent_jobs2026-05-03 22:39:57.161692
https://www.maukerja.my/job/26312245-ramp-agent,26312245,Ramp Agent,Malaysia Aviation Group,Undisclosed,Sepenuh Masa,"Sibu, Sarawak",Undisclosed,33 minutes ago,aviation,recent_jobs2026-05-03 22:39:57.161692
https://www.maukerja.my/job/26312385-ramp-agent,26312385,Ramp Agent,Malaysia Aviation Group,Undisclosed,Sepenuh Masa,"Bintulu, Sarawak",Undisclosed,9 minutes ago,aviation,recent_jobs2026-05-03 22:39:57.161698
