url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/26305800-sales-associate,26305800.0,Sales Associate,Thp Sdn Bhd,"MYR1,800 - MYR5,000 Sebulan",Sepenuh Masa,"Kuala Terengganu, Terengganu","MYR1,800 - MYR5,000 Sebulan",2 hours ago,"Content Marketing, Video Editing",recent_jobs2026-05-02 01:20:13.091290
https://www.maukerja.my/job/26305801-retail-sales-assistant,26305801.0,Retail Sales Assistant,Thp Sdn Bhd,"MYR1,800 - MYR5,000 Sebulan",Sepenuh Masa,"Kuala Terengganu, Terengganu","MYR1,800 - MYR5,000 Sebulan",2 hours ago,"Content Marketing, Video Editing",recent_jobs2026-05-02 01:20:13.091293
https://www.maukerja.my/job/26305802-sales-support-specialist,26305802.0,Sales Support Specialist,Thp Sdn Bhd,"MYR1,800 - MYR5,000 Sebulan",Sepenuh Masa,"Kuala Terengganu, Terengganu","MYR1,800 - MYR5,000 Sebulan",2 hours ago,"Content Marketing, Video Editing",recent_jobs2026-05-02 01:20:13.091295
https://www.maukerja.my/job/26305803-junior-sales-executive,26305803.0,Junior Sales Executive,Thp Sdn Bhd,"MYR1,800 - MYR5,000 Sebulan",Sepenuh Masa,"Kuala Terengganu, Terengganu","MYR1,800 - MYR5,000 Sebulan",2 hours ago,"Content Marketing, Video Editing",recent_jobs2026-05-02 01:20:13.091296
https://www.maukerja.my/job/26305808-admin-clerk-assistant,26305808.0,Admin Clerk / Assistant,Jingxing Holdings (M) Sdn Bhd,"MYR2,500 - MYR3,500 Sebulan",Sepenuh Masa,"Banting, Selangor","MYR2,500 - MYR3,500 Sebulan",2 hours ago,"Administrative Support, Data Entry",recent_jobs2026-05-02 01:20:13.091298
https://www.maukerja.my/job/26305809-administrative-assistant,26305809.0,Administrative Assistant,Jingxing Holdings (M) Sdn Bhd,"MYR2,500 - MYR3,500 Sebulan",Sepenuh Masa,"Banting, Selangor","MYR2,500 - MYR3,500 Sebulan",2 hours ago,"Administrative Support, Data Entry",recent_jobs2026-05-02 01:20:13.091299
https://www.maukerja.my/job/26305810-office-assistant,26305810.0,Office Assistant,Jingxing Holdings (M) Sdn Bhd,"MYR2,500 - MYR3,500 Sebulan",Sepenuh Masa,"Banting, Selangor","MYR2,500 - MYR3,500 Sebulan",2 hours ago,"Administrative Support, Data Entry",recent_jobs2026-05-02 01:20:13.091300
https://www.maukerja.my/job/26305811-clerical-assistant,26305811.0,Clerical Assistant,Jingxing Holdings (M) Sdn Bhd,"MYR2,500 - MYR3,500 Sebulan",Sepenuh Masa,"Banting, Selangor","MYR2,500 - MYR3,500 Sebulan",2 hours ago,"Administrative Support, Data Entry",recent_jobs2026-05-02 01:20:13.091301
https://www.maukerja.my/job/26305812-data-entry-clerk,26305812.0,Data Entry Clerk,Jingxing Holdings (M) Sdn Bhd,"MYR2,500 - MYR3,500 Sebulan",Sepenuh Masa,"Banting, Selangor","MYR2,500 - MYR3,500 Sebulan",2 hours ago,"Administrative Support, Data Entry",recent_jobs2026-05-02 01:20:13.091302
https://www.maukerja.my/job/26305813-receptionist,26305813.0,Receptionist,Jingxing Holdings (M) Sdn Bhd,"MYR2,500 - MYR3,500 Sebulan",Sepenuh Masa,"Banting, Selangor","MYR2,500 - MYR3,500 Sebulan",2 hours ago,"Administrative Support, Data Entry",recent_jobs2026-05-02 01:20:13.091303
