url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/26248056-company-driver-contract,26248056,Company Driver (Contract),Coway (Malaysia) Sdn. Bhd.,Undisclosed,Kontrak,WP Kuala Lumpur,Undisclosed,2 days ago,"Driving, Route Planning",contract-all
https://www.maukerja.my/job/26213600-shipping-executive-contract-base,26213600,Shipping Executive (Contract Base),TransPak Penang Sdn. Bhd.,"MYR2,500 - MYR3,800 Sebulan",Kontrak,"Sungai Jawi, Pulau Pinang","MYR2,500 - MYR3,800 Sebulan",2 days ago,"Communication, Logistics Management",contract-all
https://www.maukerja.my/job/26206344-service-engineer-technician-cooling-power-contract,26206344,Service Engineer / Technician (Cooling & Power) - Contract,Uniqcen Sales & Services (Southern) Sdn Bhd,"MYR2,500 - MYR4,000 Sebulan",Kontrak,"Skudai, Johor","MYR2,500 - MYR4,000 Sebulan",3 days ago,"HVAC Systems, Refrigeration",contract-all
https://www.maukerja.my/job/26079115-construction-contract-manager,26079115,Construction Contract Manager,Synergy Goldtree Sdn Bhd,"MYR10,000 - MYR20,000 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor","MYR10,000 - MYR20,000 Sebulan",21 days ago,"Contract Negotiation, Contract Administration",contract-all
https://www.maukerja.my/job/26254896-contact-center-specialist,26254896,Contact Center Specialist,Manpower Staffing Services (Malaysia) Sdn. Bhd.,"MYR4,200 - MYR5,000 Sebulan",Kontrak,"Petaling Jaya, Selangor","MYR4,200 - MYR5,000 Sebulan",2 days ago,Adaptability,contract-all
https://www.maukerja.my/job/26031278-contract-executive-quantity-surveyor,26031278,Contract Executive / Quantity Surveyor,Shayher Renovation & Builders Sdn Bhd,"MYR3,500 - MYR5,000 Sebulan",Sepenuh Masa,"Klang Lama, WP Kuala Lumpur","MYR3,500 - MYR5,000 Sebulan",a month ago,"Quantity Surveying, Cost Estimation",contract-all
https://www.maukerja.my/job/26031277-contract-executive-quantity-surveyor,26031277,Contract Executive / Quantity Surveyor,Shayher Renovation & Builders Sdn Bhd,"MYR3,500 - MYR5,000 Sebulan",Sepenuh Masa,"Klang Lama, WP Kuala Lumpur","MYR3,500 - MYR5,000 Sebulan",a month ago,"Quantity Surveying, Cost Estimation",contract-all
https://www.maukerja.my/job/25984157-accounts-assistant-3-months-contract,25984157,Accounts Assistant (3 Months Contract),Hooi Loong Group Sdn Bhd,"MYR1,700 - MYR2,500 Sebulan",Kontrak,"Petaling Jaya, Selangor","MYR1,700 - MYR2,500 Sebulan",a day ago,"Account Receivable, Account Payable",contract-all
https://www.maukerja.my/job/26202428-warehouse-assistant-1-year-contract-penang-dc,26202428,Warehouse Assistant (1 Year Contract) | Penang DC,Watsons Personal Care Stores Sdn Bhd,"MYR2,000 - MYR3,000 Sebulan",Kontrak,"Butterworth, Pulau Pinang","MYR2,000 - MYR3,000 Sebulan",9 days ago,"Any Skill, Communication",contract-all
https://www.maukerja.my/job/26021446-video-editor-contract,26021446,Video Editor (Contract),Profusion Vision Sdn Bhd,"MYR2,000 - MYR3,500 Sebulan",Sepenuh Masa,"Cyberjaya, Selangor","MYR2,000 - MYR3,500 Sebulan",11 hours ago,"Video Editing, Adobe Premiere Pro",contract-all
https://www.maukerja.my/job/26021418-social-media-manager-contract,26021418,Social Media Manager (Contract),Profusion Vision Sdn Bhd,"MYR2,000 - MYR3,500 Sebulan",Sepenuh Masa,"Cyberjaya, Selangor","MYR2,000 - MYR3,500 Sebulan",11 hours ago,"Social Media Strategy, Content Creation",contract-all
https://www.maukerja.my/job/26089568-executive-senior-contract-executive-qs,26089568,Executive / Senior Contract Executive (QS),Juteras Vision Sdn Bhd,"MYR2,000 - MYR5,000 Sebulan",Sepenuh Masa,"Shah Alam, Selangor","MYR2,000 - MYR5,000 Sebulan",4 days ago,Quality Surveyer,contract-all
https://www.maukerja.my/job/24378579-contract-executive-quantity-surveyor,24378579,Contract Executive / Quantity Surveyor,Shayher Renovation & Builders Sdn Bhd,"MYR3,500 - MYR5,000 Sebulan",Sepenuh Masa,"Klang Lama, WP Kuala Lumpur","MYR3,500 - MYR5,000 Sebulan",3 days ago,"Quantity Surveying, Cost Estimation",contract-all
https://www.maukerja.my/job/26021332-assistant-contract-cost-manager,26021332,Assistant Contract & Cost Manager,Grandwork Interior Sdn Bhd,"MYR5,000 - MYR8,000 Sebulan",Sepenuh Masa,"Puchong, Selangor","MYR5,000 - MYR8,000 Sebulan",2 days ago,"Contracts, Cost Control",contract-all
https://www.maukerja.my/job/26135517-pegawai-kewangan,26135517,Pegawai Kewangan,Watsons Personal Care Stores Sdn Bhd,"MYR3,000 - MYR3,500 Sebulan",Kontrak,WP Kuala Lumpur,"MYR3,000 - MYR3,500 Sebulan",16 days ago,"Finance, Accounting",contract-all
