url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/26268948-中文粵語客服-customer-service-executive-mandarin-cantonese-speaking,26268948,中文&粵語客服 - Customer Service Executive (Mandarin & Cantonese Speaking),Telecontinent Sdn Bhd,"MYR3,000 - MYR3,500 Per Month",Contract,"Petaling Jaya, Selangor","MYR3,000 - MYR3,500 Per Month",15 hours ago,"Good technical knowledge in supported customer specific Hardware and SW environment, Knowledge of customer service principles and practices",contract-selangor
https://www.maukerja.my/job/26268675-retail-management-trainee-零售管理培训生,26268675,Retail Management Trainee 零售管理培训生,QL Maxincome Sdn Bhd (FamilyMart),"MYR4,000 - MYR4,900 Per Month",Contract,"Shah Alam, Selangor","MYR4,000 - MYR4,900 Per Month",16 hours ago,"沟通能力强，善于建立良好的人际关系, 以客户为中心，具备服务意识",contract-selangor
https://www.maukerja.my/job/26268676-retail-trainee,26268676,Retail Trainee,QL Maxincome Sdn Bhd (FamilyMart),"MYR4,000 - MYR4,900 Per Month",Contract,"Shah Alam, Selangor","MYR4,000 - MYR4,900 Per Month",16 hours ago,"沟通能力强，善于建立良好的人际关系, 以客户为中心，具备服务意识",contract-selangor
https://www.maukerja.my/job/26268677-management-trainee,26268677,Management Trainee,QL Maxincome Sdn Bhd (FamilyMart),"MYR4,000 - MYR4,900 Per Month",Contract,"Shah Alam, Selangor","MYR4,000 - MYR4,900 Per Month",16 hours ago,"沟通能力强，善于建立良好的人际关系, 以客户为中心，具备服务意识",contract-selangor
https://www.maukerja.my/job/26268376-brand-ambassador,26268376,Brand Ambassador,Syncmax Management,"MYR2,200 - MYR2,300 Per Month",Contract,"Petaling Jaya, Selangor","MYR2,200 - MYR2,300 Per Month",19 hours ago,Brand Activation,contract-selangor
https://www.maukerja.my/job/26268377-promotional-representative,26268377,Promotional Representative,Syncmax Management,"MYR2,200 - MYR2,300 Per Month",Contract,"Petaling Jaya, Selangor","MYR2,200 - MYR2,300 Per Month",19 hours ago,Brand Activation,contract-selangor
https://www.maukerja.my/job/26268374-long-term-promoter,26268374,Long Term Promoter,Syncmax Management,"MYR2,200 - MYR2,300 Per Month",Contract,"Petaling Jaya, Selangor","MYR2,200 - MYR2,300 Per Month",19 hours ago,Brand Activation,contract-selangor
https://www.maukerja.my/job/26268378-event-promoter,26268378,Event Promoter,Syncmax Management,"MYR2,200 - MYR2,300 Per Month",Contract,"Petaling Jaya, Selangor","MYR2,200 - MYR2,300 Per Month",19 hours ago,Brand Activation,contract-selangor
https://www.maukerja.my/job/26267865-marketing-coordinator,26267865,Marketing Coordinator,Manpower Staffing Services (Malaysia) Sdn. Bhd.,"MYR3,000 - MYR3,500 Per Month",Contract,"Petaling Jaya, Selangor","MYR3,000 - MYR3,500 Per Month",21 hours ago,Organized,contract-selangor
https://www.maukerja.my/job/26254270-credit-recovery-field-visit-officer,26254270,Credit Recovery - Field Visit Officer,Mission Consultancy Services Malaysia Sdn Bhd,"MYR2,900 - MYR3,000 Per Month",Contract,"Petaling Jaya, Selangor","MYR2,900 - MYR3,000 Per Month",a day ago,"Communication, Driving",contract-selangor
https://www.maukerja.my/job/26268393-operation-specialist,26268393,Operation Specialist,Manpower Staffing Services (Malaysia) Sdn. Bhd.,"MYR3,800 - MYR4,500 Per Month",Contract,"Petaling Jaya, Selangor","MYR3,800 - MYR4,500 Per Month",18 hours ago,"Operations Management, Staffing Solutions",contract-selangor
https://www.maukerja.my/job/26248011-site-supervisor,26248011,Site Supervisor,Stone Blockchain Sdn Bhd,"MYR3,500 - MYR4,500 Per Month",Contract,"Sungai Buloh, Selangor","MYR3,500 - MYR4,500 Per Month",a day ago,"Site Supervision, Safety Management",contract-selangor
https://www.maukerja.my/job/26248016-building-admin-admin-executive,26248016,Building Admin / Admin Executive,Mccollum Property Management Sdn Bhd,"MYR2,000 - MYR2,500 Per Month",Contract,"Klang, Selangor","MYR2,000 - MYR2,500 Per Month",a day ago,"Administrative Support, Office Management",contract-selangor
https://www.maukerja.my/job/26248020-executive-assistant,26248020,Executive Assistant,Mccollum Property Management Sdn Bhd,"MYR2,000 - MYR2,500 Per Month",Contract,"Klang, Selangor","MYR2,000 - MYR2,500 Per Month",3 days ago,"Administrative Support, Office Management",contract-selangor
https://www.maukerja.my/job/26254891-client-relations-specialist,26254891,Client Relations Specialist,Manpower Staffing Services (Malaysia) Sdn. Bhd.,"MYR4,200 - MYR5,000 Per Month",Contract,"Petaling Jaya, Selangor","MYR4,200 - MYR5,000 Per Month",2 days ago,Adaptability,contract-selangor
https://www.maukerja.my/job/26254898-customer-engagement-specialist,26254898,Customer Engagement Specialist,Manpower Staffing Services (Malaysia) Sdn. Bhd.,"MYR4,200 - MYR5,000 Per Month",Contract,"Petaling Jaya, Selangor","MYR4,200 - MYR5,000 Per Month",2 days ago,Adaptability,contract-selangor
https://www.maukerja.my/job/26254889-customer-experience-representative,26254889,Customer Experience Representative,Manpower Staffing Services (Malaysia) Sdn. Bhd.,"MYR4,200 - MYR5,000 Per Month",Contract,"Petaling Jaya, Selangor","MYR4,200 - MYR5,000 Per Month",2 days ago,Adaptability,contract-selangor
https://www.maukerja.my/job/26254897-support-specialist,26254897,Support Specialist,Manpower Staffing Services (Malaysia) Sdn. Bhd.,"MYR4,200 - MYR5,000 Per Month",Contract,"Petaling Jaya, Selangor","MYR4,200 - MYR5,000 Per Month",2 days ago,Adaptability,contract-selangor
https://www.maukerja.my/job/26254877-ops-customer-experience-specialist,26254877,Ops - Customer Experience Specialist,Manpower Staffing Services (Malaysia) Sdn. Bhd.,"MYR4,200 - MYR5,000 Per Month",Contract,"Petaling Jaya, Selangor","MYR4,200 - MYR5,000 Per Month",2 days ago,Adaptability,contract-selangor
https://www.maukerja.my/job/26254893-service-desk-specialist,26254893,Service Desk Specialist,Manpower Staffing Services (Malaysia) Sdn. Bhd.,"MYR4,200 - MYR5,000 Per Month",Contract,"Petaling Jaya, Selangor","MYR4,200 - MYR5,000 Per Month",2 days ago,Adaptability,contract-selangor
https://www.maukerja.my/job/26248022-facilities-administrator,26248022,Facilities Administrator,Mccollum Property Management Sdn Bhd,"MYR2,000 - MYR2,500 Per Month",Contract,"Klang, Selangor","MYR2,000 - MYR2,500 Per Month",3 days ago,"Administrative Support, Office Management",contract-selangor
https://www.maukerja.my/job/26254894-help-desk-specialist,26254894,Help Desk Specialist,Manpower Staffing Services (Malaysia) Sdn. Bhd.,"MYR4,200 - MYR5,000 Per Month",Contract,"Petaling Jaya, Selangor","MYR4,200 - MYR5,000 Per Month",2 days ago,Adaptability,contract-selangor
https://www.maukerja.my/job/26248021-office-coordinator,26248021,Office Coordinator,Mccollum Property Management Sdn Bhd,"MYR2,000 - MYR2,500 Per Month",Contract,"Klang, Selangor","MYR2,000 - MYR2,500 Per Month",3 days ago,"Administrative Support, Office Management",contract-selangor
https://www.maukerja.my/job/26248019-office-administrator,26248019,Office Administrator,Mccollum Property Management Sdn Bhd,"MYR2,000 - MYR2,500 Per Month",Contract,"Klang, Selangor","MYR2,000 - MYR2,500 Per Month",3 days ago,"Administrative Support, Office Management",contract-selangor
https://www.maukerja.my/job/26254892-customer-support-agent,26254892,Customer Support Agent,Manpower Staffing Services (Malaysia) Sdn. Bhd.,"MYR4,200 - MYR5,000 Per Month",Contract,"Petaling Jaya, Selangor","MYR4,200 - MYR5,000 Per Month",2 days ago,Adaptability,contract-selangor
