url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,contract-selangor
https://www.maukerja.my/job/26444221-customer-service-executive-客戶服務主管,26444221,Customer Service Executive 客戶服務主管,Promicom Services (M) Sdn Bhd,"MYR3,400 - MYR4,000 monthly",Kontrak,"Subang Jaya, Selangor",14 hours ago,"Communication, Excel",contract-selangor
https://www.maukerja.my/job/26444222-customer-service-specialist,26444222,Customer Service Specialist,Promicom Services (M) Sdn Bhd,"MYR3,400 - MYR4,000 monthly",Kontrak,"Subang Jaya, Selangor",14 hours ago,"Communication, Excel",contract-selangor
https://www.maukerja.my/job/26268374-promoter-jangka-panjang,26268374,Promoter Jangka Panjang,Syncmax Management,"MYR2,200 - MYR2,300 Sebulan",Kontrak,"Petaling Jaya, Selangor",20 hours ago,Brand Activation,contract-selangor
https://www.maukerja.my/job/26416031-operations-assistant,26416031,Operations Assistant,Beeworks Food Sdn Bhd,"MYR2,000 - MYR2,500 Sebulan",Kontrak,"Puchong, Selangor",3 days ago,"Supply Chain Management, Procurement Support",contract-selangor
https://www.maukerja.my/job/26416027-supply-chain-coordinator,26416027,Supply Chain Coordinator,Beeworks Food Sdn Bhd,"MYR2,000 - MYR2,500 Sebulan",Kontrak,"Puchong, Selangor",3 days ago,"Supply Chain Management, Procurement Support",contract-selangor
https://www.maukerja.my/job/26416028-logistics-assistant,26416028,Logistics Assistant,Beeworks Food Sdn Bhd,"MYR2,000 - MYR2,500 Sebulan",Kontrak,"Puchong, Selangor",3 days ago,"Supply Chain Management, Procurement Support",contract-selangor
https://www.maukerja.my/job/26416029-procurement-assistant,26416029,Procurement Assistant,Beeworks Food Sdn Bhd,"MYR2,000 - MYR2,500 Sebulan",Kontrak,"Puchong, Selangor",3 days ago,"Supply Chain Management, Procurement Support",contract-selangor
https://www.maukerja.my/job/26416030-inventory-assistant,26416030,Inventory Assistant,Beeworks Food Sdn Bhd,"MYR2,000 - MYR2,500 Sebulan",Kontrak,"Puchong, Selangor",3 days ago,"Supply Chain Management, Procurement Support",contract-selangor
https://www.maukerja.my/job/26416007-supply-chain-assistant-contract-based,26416007,Supply Chain Assistant (Contract Based),Beeworks Food Sdn Bhd,"MYR2,000 - MYR2,500 Sebulan",Kontrak,"Puchong, Selangor",3 days ago,"Supply Chain Management, Procurement Support",contract-selangor
https://www.maukerja.my/job/26416159-assembly-line-worker,26416159,Assembly Line Worker,Lifework HR Services Sdn Bhd,"MYR1,800 - MYR2,800 Sebulan",Kontrak,"Kapar, Selangor",3 days ago,"Machine Operation, Manufacturing",contract-selangor
https://www.maukerja.my/job/26416152-glove-former-operator-meru-klang,26416152,Glove Former Operator (Meru Klang),Lifework HR Services Sdn Bhd,"MYR1,800 - MYR2,800 Sebulan",Kontrak,"Kapar, Selangor",3 days ago,"Machine Operation, Manufacturing",contract-selangor
https://www.maukerja.my/job/26416160-process-operator,26416160,Process Operator,Lifework HR Services Sdn Bhd,"MYR1,800 - MYR2,800 Sebulan",Kontrak,"Kapar, Selangor",3 days ago,"Machine Operation, Manufacturing",contract-selangor
https://www.maukerja.my/job/26416155-machine-operator,26416155,Machine Operator,Lifework HR Services Sdn Bhd,"MYR1,800 - MYR2,800 Sebulan",Kontrak,"Kapar, Selangor",3 days ago,"Machine Operation, Manufacturing",contract-selangor
https://www.maukerja.my/job/26416156-production-operator,26416156,Production Operator,Lifework HR Services Sdn Bhd,"MYR1,800 - MYR2,800 Sebulan",Kontrak,"Kapar, Selangor",3 days ago,"Machine Operation, Manufacturing",contract-selangor
https://www.maukerja.my/job/26416157-manufacturing-technician,26416157,Manufacturing Technician,Lifework HR Services Sdn Bhd,"MYR1,800 - MYR2,800 Sebulan",Kontrak,"Kapar, Selangor",3 days ago,"Machine Operation, Manufacturing",contract-selangor
https://www.maukerja.my/job/26418092-insurance-specialist-bank-p4,26418092,Insurance Specialist (Bank) - P4,Agensi Pekerjaan Achieve Career Consultant (M) Sdn. Bhd.,"MYR2,000 - MYR3,200 Sebulan",Kontrak,"Pelabuhan Klang, Selangor",2 days ago,"Sales, Insurance",contract-selangor
