url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,contract-shah-alam
https://www.maukerja.my/job/26450375-pembantu-akaun,26450375,Pembantu Akaun,Versatile Gateway Sdn. Bhd. (Proton 3S),"MYR2,000 - MYR3,000 Sebulan",Kontrak,"Shah Alam, Selangor",16 hours ago,"Proficiency in Excel, Attention to detail",contract-shah-alam
https://www.maukerja.my/job/26375457-penasihat-jualan,26375457,Penasihat Jualan,Edaran Tan Chong Motor (Selatan) Sdn Bhd,"MYR1,700 - MYR5,000 Sebulan",Kontrak,"Shah Alam, Selangor",8 days ago,"Communication, Customer Service",contract-shah-alam
https://www.maukerja.my/job/26366801-account-payable-executive,26366801,Account Payable Executive,Agensi Pekerjaan Times Management Consultancy Sdn. Bhd.,"MYR3,000 - MYR3,500 Sebulan",Kontrak,"Shah Alam, Selangor",9 days ago,"Account Payable, Account Management",contract-shah-alam
https://www.maukerja.my/job/26351537-maintenance-and-physical-setup-assistant,26351537,Maintenance and Physical Setup Assistant,Little Caliphs International Sdn Bhd,"MYR2,000 - MYR2,300 Sebulan",Kontrak,"Shah Alam, Selangor",3 days ago,"Facility Maintenance, Equipment Setup",contract-shah-alam
https://www.maukerja.my/job/26317592-pembantu-drop-of-point,26317592,Pembantu Drop of point,Manpower Staffing Services (Malaysia) Sdn. Bhd.,"MYR1,850 - MYR2,500 Sebulan",Kontrak,"Shah Alam, Selangor",11 days ago,"Customer Service, Front desk",contract-shah-alam
https://www.maukerja.my/job/26268676-retail-trainee,26268676,Retail Trainee,QL Maxincome Sdn Bhd (FamilyMart),"MYR4,000 - MYR4,900 Sebulan",Kontrak,"Shah Alam, Selangor",15 days ago,"沟通能力强，善于建立良好的人际关系, 以客户为中心，具备服务意识",contract-shah-alam
https://www.maukerja.my/job/26268675-retail-management-trainee-零售管理培训生,26268675,Retail Management Trainee 零售管理培训生,QL Maxincome Sdn Bhd (FamilyMart),"MYR4,000 - MYR4,900 Sebulan",Kontrak,"Shah Alam, Selangor",2 days ago,"沟通能力强，善于建立良好的人际关系, 以客户为中心，具备服务意识",contract-shah-alam
https://www.maukerja.my/job/26363611-contract-warehouse-assistant-hr-people-watsons-dc,26363611,Contract Warehouse Assistant (HR/People) - Watsons DC,Watsons Personal Care Stores Sdn Bhd,"MYR2,000 - MYR2,300 Sebulan",Kontrak,"Shah Alam, Selangor",10 days ago,"Communication, Attention to Detail",contract-shah-alam
https://www.maukerja.my/job/26122923-sorter,26122923,Sorter,Synergy Staffing Sdn Bhd,"MYR1,800 - MYR2,200 Sebulan",Kontrak,"Shah Alam, Selangor",3 days ago,"Sorting, Teamwork",contract-shah-alam
https://www.maukerja.my/job/26097696-retail-management-trainee,26097696,Retail Management Trainee,QL Maxincome Sdn Bhd (FamilyMart),"MYR4,000 - MYR4,900 Sebulan",Kontrak,"Shah Alam, Selangor",2 days ago,"Strong interpersonal and communication skills, Customer service orientation",contract-shah-alam
https://www.maukerja.my/job/25981633-mechanical-electrical-drafter-coordinator,25981633,Mechanical & Electrical Drafter/Coordinator,Embun Design Studio Sdn. Bhd.,"MYR2,500 - MYR4,000 Sebulan",Kontrak,"Shah Alam, Selangor",13 days ago,AutoCAD,contract-shah-alam
https://www.maukerja.my/job/26032822-admin-perodua-3s-bukit-rimau-shah-alam,26032822,"Admin (Perodua 3S, Bukit Rimau Shah Alam)",Bakateam Sdn. Bhd. (Perodua 3S),"MYR1,700 - MYR2,000 Sebulan",Kontrak,"Shah Alam, Selangor",2 days ago,"Phone Skills, Customer Inquiries",contract-shah-alam
https://www.maukerja.my/job/25211904-parts-assistant-perodua-3s-center-bukit-rimau-s-alam,25211904,"Parts Assistant (PERODUA 3S CENTER BUKIT RIMAU, S. ALAM)",Bakateam Sdn. Bhd. (Perodua 3S),"MYR1,700 - MYR2,000 Sebulan",Kontrak,"Shah Alam, Selangor",a month ago,"Inventory Management, Parts Ordering",contract-shah-alam
https://www.maukerja.my/job/25180454-technician-mechanic-tyreman-foreman-at-bukit-rimau-shah-alam,25180454,"Technician (mechanic/tyreman/foreman) at Bukit Rimau, Shah Alam.",Bakateam Sdn. Bhd. (Perodua 3S),"MYR1,700 - MYR2,700 Sebulan",Kontrak,"Shah Alam, Selangor",4 days ago,"Vehicle Maintenance, Tyre Fitting and Repair",contract-shah-alam
https://www.maukerja.my/job/25189689-service-operation-executive-bukit-rimau-shah-alam,25189689,"SERVICE OPERATION EXECUTIVE (BUKIT RIMAU, SHAH ALAM)",Bakateam Sdn. Bhd. (Perodua 3S),"MYR1,800 - MYR2,500 Sebulan",Kontrak,"Shah Alam, Selangor",5 months ago,"Problem Solving, Service Operations",contract-shah-alam
