url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,hybrid-kuala-lumpur
https://www.maukerja.my/job/26205885-international-bookkeeper-company-expanding,26205885,International Bookkeeper (company Expanding),AHA International Sdn Bhd,"MYR3,150 - MYR12,900 monthly","Sepenuh Masa,",WP Kuala Lumpur,11 hours ago,"Accounting, Xero",hybrid-kuala-lumpur
https://www.maukerja.my/job/26205887-bookkeeper,26205887,Bookkeeper,AHA International Sdn Bhd,"MYR3,150 - MYR12,900 monthly","Sepenuh Masa,",WP Kuala Lumpur,22 days ago,"Accounting, Xero",hybrid-kuala-lumpur
https://www.maukerja.my/job/26314578-part-time-financial-advisor,26314578,Part-Time Financial Advisor,YCN Group,"MYR400 - MYR16,000 monthly","Separuh Masa,","Ampang, WP Kuala Lumpur",10 days ago,"Interpersonal skill, Prospecting",hybrid-kuala-lumpur
https://www.maukerja.my/job/26314579-part-time-insurance-agent,26314579,Part-Time Insurance Agent,YCN Group,"MYR400 - MYR16,000 monthly","Separuh Masa,","Ampang, WP Kuala Lumpur",10 days ago,"Interpersonal skill, Prospecting",hybrid-kuala-lumpur
https://www.maukerja.my/job/26314581-part-time-client-relationship-manager-insurance,26314581,Part-Time Client Relationship Manager (Insurance),YCN Group,"MYR400 - MYR16,000 monthly","Separuh Masa,","Ampang, WP Kuala Lumpur",10 days ago,"Interpersonal skill, Prospecting",hybrid-kuala-lumpur
https://www.maukerja.my/job/26143872-aws-developer,26143872,AWS Developer,Agensi Pekerjaan & Perundingcara Bright Prospect Sdn Bhd,"MYR12,000 - MYR18,000 monthly","Sepenuh Masa,",WP Kuala Lumpur,a month ago,"Lambda, AWS",hybrid-kuala-lumpur
https://www.maukerja.my/job/26314580-part-time-wealth-management-advisor,26314580,Part-Time Wealth Management Advisor,YCN Group,"MYR400 - MYR16,000 monthly","Separuh Masa,","Ampang, WP Kuala Lumpur",10 days ago,"Interpersonal skill, Prospecting",hybrid-kuala-lumpur
https://www.maukerja.my/job/26226252-part-time-perancang-hayat,26226252,Part-Time Perancang Hayat,YCN Group,"MYR400 - MYR16,000 monthly","Separuh Masa,","Ampang, WP Kuala Lumpur",10 days ago,"Interpersonal skill, Prospecting",hybrid-kuala-lumpur
https://www.maukerja.my/job/26314582-part-time-financial-services-representative,26314582,Part-Time Financial Services Representative,YCN Group,"MYR400 - MYR16,000 monthly","Separuh Masa,","Ampang, WP Kuala Lumpur",10 days ago,"Interpersonal skill, Prospecting",hybrid-kuala-lumpur
https://www.maukerja.my/job/26043625-it-support,26043625,IT Support,Stack Network Sdn Bhd,"MYR3,000 - MYR3,500 monthly","Sepenuh Masa,",WP Kuala Lumpur,17 days ago,"Mandarin, Technical Support",hybrid-kuala-lumpur
https://www.maukerja.my/job/24878554-assistant-executive-officer,24878554,Assistant Executive Officer,WO WO Malaysia Sdn Bhd,"MYR2,400 - MYR3,500 Sebulan","Sepenuh Masa,","Cheras, WP Kuala Lumpur",8 days ago,"Administrative Support, Communication Skills",hybrid-kuala-lumpur
https://www.maukerja.my/job/23137894-senior-accounts-executive,23137894,Senior Accounts Executive,Agensi Pekerjaan JAC Sdn. Bhd.,"MYR5,500 - MYR6,000 Sebulan","Sepenuh Masa,","Bangsar, WP Kuala Lumpur",7 days ago,"Accounting, Financial Reporting",hybrid-kuala-lumpur
https://www.maukerja.my/job/25136126-financial-planner,25136126,Financial Planner,ORC Risk Consulting Group Sdn Bhd,"MYR3,000 - MYR4,500 Sebulan","Sepenuh Masa,","Mont Kiara, WP Kuala Lumpur",5 months ago,"Product Knowledge, Communication Skill",hybrid-kuala-lumpur
https://www.maukerja.my/job/24479316-admin-cum-account-assistant,24479316,Admin cum Account Assistant,Aurra Finacc Sdn. Bhd.,"MYR3,000 - MYR4,000 Sebulan","Sepenuh Masa,",WP Kuala Lumpur,2 days ago,"Communication Skills, Data Entry",hybrid-kuala-lumpur
https://www.maukerja.my/job/24976225-financial-advisor,24976225,Financial Advisor,JC Group Champion Sdn. Bhd.,"MYR2,500 - MYR9,000 Sebulan","Sepenuh Masa,","Bangsar, WP Kuala Lumpur",a day ago,"Financial Planning, Investment Management",hybrid-kuala-lumpur
