url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,internship-batu-pahat
https://www.maukerja.my/job/25875822-internship-for-admin,25875822,Internship For Admin,PCCS Group Berhad,MYR500 - MYR800 Sebulan,Latihan Industri,"Batu Pahat, Johor",MYR500 - MYR800 Sebulan,13 days ago,"Communication Skills, Microsoft Office",internship-batu-pahat
https://www.maukerja.my/job/25812758-internship-for-social-media-cum-marketing-retail,25812758,Internship For Social Media Cum Marketing (Retail),Agensi Pekerjaan Rosa Kowell Sdn Bhd,"MYR1,600 - MYR2,500 Sebulan",Latihan Industri,"Batu Pahat, Johor","MYR1,600 - MYR2,500 Sebulan",2 months ago,"Digital Marketing, Content Creation",internship-batu-pahat
https://www.maukerja.my/job/25875824-internship-for-hr-administrator,25875824,Internship For HR Administrator,PCCS Group Berhad,MYR500 - MYR800 Sebulan,Latihan Industri,"Batu Pahat, Johor",MYR500 - MYR800 Sebulan,2 months ago,"Communication Skills, Microsoft Office",internship-batu-pahat
https://www.maukerja.my/job/25875823-internship-for-administrative-assistant,25875823,Internship For Administrative Assistant,PCCS Group Berhad,MYR500 - MYR800 Sebulan,Latihan Industri,"Batu Pahat, Johor",MYR500 - MYR800 Sebulan,2 months ago,"Communication Skills, Microsoft Office",internship-batu-pahat
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,internship-batu-pahat
https://www.maukerja.my/job/25875822-internship-for-admin,25875822,Internship For Admin,PCCS Group Berhad,MYR500 - MYR800 Sebulan,Latihan Industri,"Batu Pahat, Johor",MYR500 - MYR800 Sebulan,13 days ago,"Communication Skills, Microsoft Office",internship-batu-pahat
https://www.maukerja.my/job/25812758-internship-for-social-media-cum-marketing-retail,25812758,Internship For Social Media Cum Marketing (Retail),Agensi Pekerjaan Rosa Kowell Sdn Bhd,"MYR1,600 - MYR2,500 Sebulan",Latihan Industri,"Batu Pahat, Johor","MYR1,600 - MYR2,500 Sebulan",2 months ago,"Digital Marketing, Content Creation",internship-batu-pahat
https://www.maukerja.my/job/25875824-internship-for-hr-administrator,25875824,Internship For HR Administrator,PCCS Group Berhad,MYR500 - MYR800 Sebulan,Latihan Industri,"Batu Pahat, Johor",MYR500 - MYR800 Sebulan,2 months ago,"Communication Skills, Microsoft Office",internship-batu-pahat
https://www.maukerja.my/job/25875823-internship-for-administrative-assistant,25875823,Internship For Administrative Assistant,PCCS Group Berhad,MYR500 - MYR800 Sebulan,Latihan Industri,"Batu Pahat, Johor",MYR500 - MYR800 Sebulan,2 months ago,"Communication Skills, Microsoft Office",internship-batu-pahat
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,internship-batu-pahat
https://www.maukerja.my/job/25875822-internship-for-admin,25875822,Internship For Admin,PCCS Group Berhad,MYR500 - MYR800 Sebulan,Latihan Industri,"Batu Pahat, Johor",MYR500 - MYR800 Sebulan,13 days ago,"Communication Skills, Microsoft Office",internship-batu-pahat
https://www.maukerja.my/job/25812758-internship-for-social-media-cum-marketing-retail,25812758,Internship For Social Media Cum Marketing (Retail),Agensi Pekerjaan Rosa Kowell Sdn Bhd,"MYR1,600 - MYR2,500 Sebulan",Latihan Industri,"Batu Pahat, Johor","MYR1,600 - MYR2,500 Sebulan",2 months ago,"Digital Marketing, Content Creation",internship-batu-pahat
https://www.maukerja.my/job/25875824-internship-for-hr-administrator,25875824,Internship For HR Administrator,PCCS Group Berhad,MYR500 - MYR800 Sebulan,Latihan Industri,"Batu Pahat, Johor",MYR500 - MYR800 Sebulan,2 months ago,"Communication Skills, Microsoft Office",internship-batu-pahat
https://www.maukerja.my/job/25875823-internship-for-administrative-assistant,25875823,Internship For Administrative Assistant,PCCS Group Berhad,MYR500 - MYR800 Sebulan,Latihan Industri,"Batu Pahat, Johor",MYR500 - MYR800 Sebulan,2 months ago,"Communication Skills, Microsoft Office",internship-batu-pahat
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,internship-batu-pahat
https://www.maukerja.my/job/25875822-internship-for-admin,25875822,Internship For Admin,PCCS Group Berhad,MYR500 - MYR800 Sebulan,Latihan Industri,"Batu Pahat, Johor",MYR500 - MYR800 Sebulan,13 days ago,"Communication Skills, Microsoft Office",internship-batu-pahat
