url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,internship-george-town
https://www.maukerja.my/job/26402738-internship-for-marketing-communications-specialist,26402738,Internship For Marketing Communications Specialist,Liger Infinity Sdn Bhd,"MYR2,800 - MYR5,000 Sebulan",Latihan Industri,Pulau Pinang,4 days ago,"Communication, Attention to Detail",internship-george-town
https://www.maukerja.my/job/26307855-internship-for-accounting,26307855,Internship For Accounting,Profaccsol Sdn. Bhd.,MYR800 - MYR900 Sebulan,Latihan Industri,Pulau Pinang,12 days ago,"Data Entry, Accounting",internship-george-town
https://www.maukerja.my/job/26053677-admin-internship,26053677,Admin internship,Ban Hin Bee Sdn Bhd,"MYR999 - MYR1,000 Sebulan",Latihan Industri,Pulau Pinang,a month ago,"Canva, Microsoft Excel",internship-george-town
https://www.maukerja.my/job/24586702-internship-for-sales-and-marketing,24586702,Internship For Sales and Marketing,JC Group Champion Sdn. Bhd.,"MYR1,000 - MYR1,500 Sebulan",Latihan Industri,Pulau Pinang,a day ago,"Sales Strategy, Marketing Management",internship-george-town
https://www.maukerja.my/job?jobId=26408235&slug=recruitment-seniors-juniors-recruitment-firm-headhunters-georgetown,N/A,Recruitment Seniors-Juniors- Recruitment Firm (Headhunters)- Georgetown,AG Staffing Malaysia,"MYR3,000 - MYR10,000 Sebulan","Latihan Industri,",George Town,3 days ago,N/A,internship-george-town
https://www.maukerja.my/job?jobId=26389857&slug=internship-in-human-resources,N/A,Internship in Human Resources,Robert Bosch Semiconductor Penang Sdn Bhd,Undisclosed,Latihan Industri,George Town,6 days ago,N/A,internship-george-town
https://www.maukerja.my/job?jobId=26353401&slug=paid-internship,N/A,Paid Internship,DM Solution Venture SDN BHD,"MYR500 - MYR1,000 Sebulan",Latihan Industri,George Town,9 days ago,N/A,internship-george-town
https://www.maukerja.my/job?jobId=26338519&slug=inventory-analyst-intern,N/A,Inventory Analyst Intern,Keysight Technologies,Undisclosed,Latihan Industri,George Town,10 days ago,N/A,internship-george-town
https://www.maukerja.my/job?jobId=26293890&slug=intern-business-development,N/A,Intern : Business Development,TIMES24 MALAYSIA SDN. BHD.,"MYR1,500 - MYR1,500 Sebulan",Latihan Industri,George Town,13 days ago,N/A,internship-george-town
https://www.maukerja.my/job?jobId=26285260&slug=it-internship-kidocode,N/A,IT internship @ Kidocode,Kidocode,"MYR1,000 - MYR1,000 Sebulan","Sepenuh Masa,",George Town,14 days ago,N/A,internship-george-town
https://www.maukerja.my/job?jobId=26283119&slug=summer-sales-internship,N/A,Summer Sales Internship,Greenix,Undisclosed,"Sepenuh Masa,",George Town,14 days ago,N/A,internship-george-town
https://www.maukerja.my/job?jobId=26273656&slug=internship-opportunity-penang,N/A,Internship Opportunity (Penang),SNS Network (M) Sdn Bhd,Undisclosed,Latihan Industri,George Town,14 days ago,N/A,internship-george-town
https://www.maukerja.my/job?jobId=26272530&slug=internship-videographer-editor-content-strategy-internship-part-time,N/A,"Internship Videographer, Editor, Content Strategy (Internship-Part-time)",Weavary Connection,"MYR800 - MYR1,000 Sebulan",Latihan Industri,George Town,14 days ago,N/A,internship-george-town
https://www.maukerja.my/job?jobId=26270586&slug=engineering-support-assistant-intern-2026-intake,N/A,Engineering Support Assistant Intern (2026 Intake),"City Of Shakopee, MN",Undisclosed,Latihan Industri,George Town,14 days ago,N/A,internship-george-town
https://www.maukerja.my/job?jobId=26270440&slug=r-d-software-qa-intern,N/A,R-D Software QA Intern,Keysight Technologies,Undisclosed,Latihan Industri,George Town,14 days ago,N/A,internship-george-town
https://www.maukerja.my/job?jobId=26219384&slug=paid-internship,N/A,Paid Internship,DM Solution Venture SDN BHD,"MYR500 - MYR1,000 Sebulan",Latihan Industri,George Town,21 days ago,N/A,internship-george-town
https://www.maukerja.my/job?jobId=26208736&slug=operations-associate,N/A,Operations Associate,Fit Two Shape Sdn. Bhd.,Undisclosed,Latihan Industri,George Town,22 days ago,N/A,internship-george-town
https://www.maukerja.my/job?jobId=26172582&slug=internship-videographer-editor-content-strategy-internship-part-time,N/A,"Internship Videographer, Editor, Content Strategy (Internship-Part-time)",Weavary Connection,"MYR800 - MYR1,000 Sebulan",Latihan Industri,George Town,a month ago,N/A,internship-george-town
