url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,internship-johor-bahru
https://www.maukerja.my/job/26443716-internship-for-eksekutif-pembangunan-perniagaan,26443716,Internship For Eksekutif Pembangunan Perniagaan,NMIT Resources Sdn Bhd,"MYR500 - MYR1,500 Sebulan",Latihan Industri,"Johor Bahru, Johor",2 days ago,"Communication, Presentation",internship-johor-bahru
https://www.maukerja.my/job/26428981-internship-for-account,26428981,Internship For Account,Wei Kwang Electrical & Air-cond Engineering Works,MYR600 - MYR800 Sebulan,Latihan Industri,"Johor Bahru, Johor",3 days ago,"Data Entry, Microsoft Office",internship-johor-bahru
https://www.maukerja.my/job/26428983-internship-for-admin,26428983,Internship For Admin,Wei Kwang Electrical & Air-cond Engineering Works,MYR600 - MYR800 Sebulan,Latihan Industri,"Johor Bahru, Johor",3 days ago,"Data Entry, Microsoft Office",internship-johor-bahru
https://www.maukerja.my/job/26441417-internship-for-data-centre-assistant,26441417,Internship For Data Centre Assistant,Agensi Pekerjaan XGiants Consulting Malaysia Sdn. Bhd.,"MYR3,000 - MYR4,500 Sebulan",Latihan Industri,"Johor Bahru, Johor",2 days ago,"PLC, Electrical Engineering",internship-johor-bahru
https://www.maukerja.my/job/26353986-internship-for-account-associate,26353986,Internship For Account Associate,SY Poh & Co,"MYR1,000 - MYR1,200 Sebulan",Latihan Industri,"Johor Bahru, Johor",10 days ago,"Accounting, Auditing",internship-johor-bahru
https://www.maukerja.my/job/26348999-internship-for-mechanical-electrical,26348999,Internship For Mechanical / Electrical,Sinetek Engineering Sdn. Bhd.,Up to MYR600 Sebulan,Latihan Industri,"Johor Bahru, Johor",11 days ago,"Mechanical Engineering, Electrical Engineering",internship-johor-bahru
https://www.maukerja.my/job/26363265-internship-for-quantity-surveyor,26363265,Internship For Quantity Surveyor,Woon Brothers Construction Sdn. Bhd.,Undisclosed,Latihan Industri,"Johor Bahru, Johor",10 days ago,"Quantity Take-off, Cost Estimation",internship-johor-bahru
https://www.maukerja.my/job/26351506-internship-for-internship-welcome,26351506,Internship For Internship Welcome!,Cadvision Systems Sdn Bhd,"MYR800 - MYR1,000 Sebulan",Latihan Industri,"Johor Bahru, Johor",11 days ago,"Communication, Learning and Development",internship-johor-bahru
https://www.maukerja.my/job/26213499-pereka-grafik-latihan-industri,26213499,Pereka Grafik (Latihan Industri),SOHO Labs Sdn Bhd,"MYR500 - MYR3,000 Sebulan",Latihan Industri,"Johor Bahru, Johor",23 days ago,"Graphic Design, Adobe Creative Suite",internship-johor-bahru
https://www.maukerja.my/job/26106718-internship-for-automotive-service,26106718,Internship For Automotive Service,Gagner Auto Sdn Bhd,Undisclosed,Latihan Industri,"Johor Bahru, Johor",11 days ago,"Automotive, Internship for service side",internship-johor-bahru
https://www.maukerja.my/job/26118868-pelatih-jualan-pembangunan-perniagaan,26118868,Pelatih Jualan / Pembangunan Perniagaan,Toys Park Marketing,"MYR400 - MYR1,000 Sebulan",Latihan Industri,"Johor Bahru, Johor",a day ago,"Social Media Marketing, Sales Strategy",internship-johor-bahru
https://www.maukerja.my/job/25923858-internship-for-marketing-content-creation,25923858,Internship For Marketing & Content Creation,Good Life Real Estate Sdn Bhd,"MYR800 - MYR1,000 Sebulan",Latihan Industri,"Johor Bahru, Johor",2 days ago,"Content Creation, Marketing Strategy",internship-johor-bahru
https://www.maukerja.my/job/26144902-internship-for-administrative-and-it-software-support,26144902,Internship For Administrative and IT Software Support,"SQL, Autocount, Doctor Partner,Fav365, Fingertech","MYR700 - MYR1,200 Sebulan",Latihan Industri,"Johor Bahru, Johor",a month ago,"Cold Calling, Time Management",internship-johor-bahru
https://www.maukerja.my/job/25923911-internship-for-finance-administration,25923911,Internship For Finance & Administration,Good Life Real Estate Sdn Bhd,"MYR800 - MYR1,000 Sebulan",Latihan Industri,"Johor Bahru, Johor",2 days ago,"Financial Management, Accounting",internship-johor-bahru
https://www.maukerja.my/job/25923828-internship-for-interior-design-project-support,25923828,Internship For Interior Design & Project Support,Good Life Real Estate Sdn Bhd,"MYR800 - MYR1,000 Sebulan",Latihan Industri,"Johor Bahru, Johor",2 days ago,"Interior Design, Project Management",internship-johor-bahru
