url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,internship-johor
https://www.maukerja.my/job/26443716-internship-for-eksekutif-pembangunan-perniagaan,26443716,Internship For Eksekutif Pembangunan Perniagaan,NMIT Resources Sdn Bhd,"MYR500 - MYR1,500 Sebulan",Latihan Industri,"Johor Bahru, Johor",8 hours ago,"Communication, Presentation",internship-johor
https://www.maukerja.my/job/26441417-internship-for-data-centre-assistant,26441417,Internship For Data Centre Assistant,Agensi Pekerjaan XGiants Consulting Malaysia Sdn. Bhd.,"MYR3,000 - MYR4,500 Sebulan",Latihan Industri,"Johor Bahru, Johor",11 hours ago,"PLC, Electrical Engineering",internship-johor
https://www.maukerja.my/job/26315766-internship-for-top-sales-kedai-emas,26315766,Internship For Top Sales Kedai Emas,Cantik Gold Sdn Bhd,"MYR500 - MYR1,000 Sebulan",Latihan Industri,"Masai, Johor",8 hours ago,"Sales Techniques, TikTok",internship-johor
https://www.maukerja.my/job/26428999-internship-for-audit,26428999,Internship For Audit,KC & Partners Plt,"MYR1,000 - MYR1,500 Sebulan",Latihan Industri,"Ulu Tiram, Johor",a day ago,"Auditing, Financial Reporting",internship-johor
https://www.maukerja.my/job/26428981-internship-for-account,26428981,Internship For Account,Wei Kwang Electrical & Air-cond Engineering Works,MYR600 - MYR800 Sebulan,Latihan Industri,"Johor Bahru, Johor",a day ago,"Data Entry, Microsoft Office",internship-johor
https://www.maukerja.my/job/26428983-internship-for-admin,26428983,Internship For Admin,Wei Kwang Electrical & Air-cond Engineering Works,MYR600 - MYR800 Sebulan,Latihan Industri,"Johor Bahru, Johor",a day ago,"Data Entry, Microsoft Office",internship-johor
https://www.maukerja.my/job/26404857-internship-in-accounts,26404857,Internship in Accounts,I K Management,MYR500 - MYR700 Sebulan,Latihan Industri,Johor,4 days ago,"Accounting Principles, Bookkeeping",internship-johor
https://www.maukerja.my/job/26428940-internship-for-for-business-development-marketing-intern,26428940,Internship For for Business Development / Marketing Intern,Smartpeep Sdn Bhd,MYR500 - MYR700 Sebulan,Latihan Industri,"Masai, Johor",a day ago,Digital Marketing,internship-johor
https://www.maukerja.my/job/26383117-internship-for-dental-assistant,26383117,Internship For Dental Assistant,Klinik Pergigian V-Smile,"MYR1,800 - MYR2,200 Sebulan",Latihan Industri,"Gelang Patah, Johor",7 days ago,"Chairside assisting, Receptionist",internship-johor
