url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,internship-kangar
https://www.maukerja.my/job?jobId=26288933&slug=internship-marketing,N/A,INTERNSHIP MARKETING,Idans Designs Sdn Bhd,MYR500 - MYR500 Sebulan,Latihan Industri,Kangar,MYR500 - MYR500 Sebulan,4 days ago,N/A,internship-kangar
https://www.maukerja.my/job?jobId=26274500&slug=internship-accounts-finance,N/A,Internship Accounts - Finance,Leader Energy Group Berhad,"MYR1,000 - MYR1,000 Sebulan",Latihan Industri,Kangar,"MYR1,000 - MYR1,000 Sebulan",4 days ago,N/A,internship-kangar
https://www.maukerja.my/job?jobId=26273600&slug=internship-e-commerce-intern,N/A,Internship E-Commerce Intern,BAN HIN BEE SDN BHD,"MYR999 - MYR1,000 Sebulan",Latihan Industri,Kangar,"MYR999 - MYR1,000 Sebulan",4 days ago,N/A,internship-kangar
https://www.maukerja.my/job?jobId=26273603&slug=internship-administrative-assistant,N/A,Internship Administrative Assistant,BAN HIN BEE SDN BHD,"MYR999 - MYR1,000 Sebulan",Latihan Industri,Kangar,"MYR999 - MYR1,000 Sebulan",4 days ago,N/A,internship-kangar
https://www.maukerja.my/job?jobId=26272027&slug=internship-in-event-marketing-representatives-can-start-immediately-one-on-one-training-provided-penang,N/A,Internship in Event Marketing Representatives (can start immediately-one-on-one training provided) - PENANG,Liger Infinity Sdn Bhd,"MYR2,800 - MYR5,000 Sebulan",Latihan Industri,Kangar,"MYR2,800 - MYR5,000 Sebulan",4 days ago,N/A,internship-kangar
https://www.maukerja.my/job?jobId=26271939&slug=internship-bread-baker,N/A,Internship Bread Baker,LOVE A LOAF BAKERY & CAFE SDN BHD,MYR800 - MYR800 Sebulan,Latihan Industri,Kangar,MYR800 - MYR800 Sebulan,4 days ago,N/A,internship-kangar
https://www.maukerja.my/job?jobId=26264315&slug=internship-account-coordinator-account-executive,N/A,Internship Account Coordinator-Account Executive,Leader Energy Group Berhad,"MYR1,000 - MYR1,000 Sebulan",Latihan Industri,Kangar,"MYR1,000 - MYR1,000 Sebulan",5 days ago,N/A,internship-kangar
https://www.maukerja.my/job?jobId=26208782&slug=internship-bread-baker,N/A,Internship Bread Baker,LOVE A LOAF BAKERY & CAFE SDN BHD,MYR800 - MYR800 Sebulan,Latihan Industri,Kangar,MYR800 - MYR800 Sebulan,12 days ago,N/A,internship-kangar
https://www.maukerja.my/job?jobId=26208444&slug=internship-in-sales-and-marketing,N/A,Internship IN SALES AND MARKETING,EKG Group,"MYR600 - MYR1,200 Sebulan",Latihan Industri,Kangar,"MYR600 - MYR1,200 Sebulan",12 days ago,N/A,internship-kangar
https://www.maukerja.my/job?jobId=26200141&slug=internship-in-event-marketing-representatives-can-start-immediately-one-on-one-training-provided-penang,N/A,Internship in Event Marketing Representatives (can start immediately-one-on-one training provided) - PENANG,Liger Infinity Sdn Bhd,"MYR2,800 - MYR5,000 Sebulan",Latihan Industri,Kangar,"MYR2,800 - MYR5,000 Sebulan",13 days ago,N/A,internship-kangar
https://www.maukerja.my/job?jobId=26112381&slug=internship-e-commerce-intern,N/A,Internship E-Commerce Intern,BAN HIN BEE SDN BHD,"MYR999 - MYR1,000 Sebulan",Latihan Industri,Kangar,"MYR999 - MYR1,000 Sebulan",24 days ago,N/A,internship-kangar
https://www.maukerja.my/job?jobId=26112382&slug=internship-e-commerce-intern,N/A,Internship E-Commerce Intern,Ban Hin Bee Sdn Bhd,"MYR999 - MYR1,000 Sebulan",Latihan Industri,Kangar,"MYR999 - MYR1,000 Sebulan",24 days ago,N/A,internship-kangar
https://www.maukerja.my/job?jobId=26112349&slug=internship-administrative-assistant,N/A,Internship Administrative Assistant,Ban Hin Bee Sdn Bhd,"MYR999 - MYR1,000 Sebulan",Latihan Industri,Kangar,"MYR999 - MYR1,000 Sebulan",24 days ago,N/A,internship-kangar
https://www.maukerja.my/job?jobId=26112348&slug=internship-administrative-assistant,N/A,Internship Administrative Assistant,BAN HIN BEE SDN BHD,"MYR999 - MYR1,000 Sebulan",Latihan Industri,Kangar,"MYR999 - MYR1,000 Sebulan",24 days ago,N/A,internship-kangar
https://www.maukerja.my/job?jobId=26071821&slug=internship-accounts-finance,N/A,Internship Accounts - Finance,Leader Energy Group Berhad,"MYR1,000 - MYR1,000 Sebulan",Latihan Industri,Kangar,"MYR1,000 - MYR1,000 Sebulan",a month ago,N/A,internship-kangar
https://www.maukerja.my/job?jobId=26065598&slug=it-intern,N/A,IT Intern,Leader Energy Group Berhad,"MYR1,000 - MYR1,000 Sebulan",Latihan Industri,Kangar,"MYR1,000 - MYR1,000 Sebulan",a month ago,N/A,internship-kangar
