url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,internship-kedah
https://www.maukerja.my/job/26425557-internship-for-food-processing-executive,26425557,Internship For Food Processing Executive,Ocean Papa Sdn Bhd,MYR600 - MYR800 Sebulan,Latihan Industri,"Sungai Petani, Kedah",2 days ago,"Food Safety Standards, Quality Control",internship-kedah
https://www.maukerja.my/job/26370699-internship-for-sales-executive,26370699,Internship For Sales Executive,Perfect Concrete Industries Sdn Bhd,Undisclosed,Latihan Industri,"Bukit Kayu Hitam, Kedah",8 days ago,"Sales experience, Communication skills",internship-kedah
https://www.maukerja.my/job/26366476-internship-for-inventory-stock-management,26366476,Internship For Inventory & Stock Management,Yonhin Sdn Bhd,"MYR800 - MYR1,000 Sebulan",Latihan Industri,"Alor Setar, Kedah",3 days ago,"Basic Excel skills, Data entry skills",internship-kedah
https://www.maukerja.my/job/26134006-internship-for-marketing-assistant,26134006,Internship For Marketing Assistant,Kulim Topwheels (Langkawi) Sdn Bhd,MYR300 - MYR500 Sebulan,Latihan Industri,Kedah,a month ago,"Communication, Creativity",internship-kedah
https://www.maukerja.my/job?jobId=26431847&slug=internship-student-finance,N/A,Internship Student Finance,PANTAI HOSPITAL LAGUNA MERBOK,MYR600 - MYR700 Sebulan,Latihan Industri,Sungai Petani,a day ago,N/A,internship-kedah
https://www.maukerja.my/job?jobId=26431849&slug=internship-student-finance,N/A,Internship Student Finance,Pantai Hospital Laguna Merbok,MYR600 - MYR700 Sebulan,Latihan Industri,Sungai Petani,a day ago,N/A,internship-kedah
https://www.maukerja.my/job?jobId=26398973&slug=internship-logistics,N/A,Internship - Logistics,Tiong Nam Logistics Solutions Sdn Bhd,MYR700 - MYR700 Sebulan,Latihan Industri,Kulim,5 days ago,N/A,internship-kedah
https://www.maukerja.my/job?jobId=26341373&slug=internship-for-sales-marketing,N/A,Internship for Sales - Marketing,Aman Setia Group,Undisclosed,Latihan Industri,Sungai Petani,10 days ago,N/A,internship-kedah
https://www.maukerja.my/job?jobId=26341369&slug=internship-for-media-arts-graphic-design,N/A,Internship for Media-Arts-Graphic Design,Aman Setia Group,Undisclosed,Latihan Industri,Sungai Petani,10 days ago,N/A,internship-kedah
https://www.maukerja.my/job?jobId=26301972&slug=digital-marketing-intern,N/A,Digital Marketing Intern,Spots Logistics,MYR500 - MYR700 Sebulan,Latihan Industri,Kulim,13 days ago,N/A,internship-kedah
https://www.maukerja.my/job?jobId=26291959&slug=internship-human-resource-hr-intake-end-of-april-may-2026,N/A,Internship – Human Resource (HR)- Intake end of April - May 2026,STERIS,"MYR1,000 - MYR1,000 Sebulan",Latihan Industri,Kuala Ketil,14 days ago,N/A,internship-kedah
https://www.maukerja.my/job?jobId=26287965&slug=audit-trainee,N/A,Audit Trainee,"POR, OOI & CO. PLT",Undisclosed,Latihan Industri,Alor Setar,14 days ago,N/A,internship-kedah
https://www.maukerja.my/job?jobId=26284811&slug=pelajar-praktikum-internship,N/A,PELAJAR PRAKTIKUM (INTERNSHIP),KALISTA CLARA SDN BHD,MYR300 - MYR300 Sebulan,"Sepenuh Masa,",Alor Setar,14 days ago,N/A,internship-kedah
https://www.maukerja.my/job?jobId=26279971&slug=legal-unit-internship,N/A,Legal Unit (Internship),DXN Holdings Bhd,Undisclosed,Latihan Industri,Alor Setar,14 days ago,N/A,internship-kedah
https://www.maukerja.my/job?jobId=26279972&slug=internship-finance-department,N/A,Internship - Finance Department,DXN Holdings Bhd,Undisclosed,Latihan Industri,Alor Setar,14 days ago,N/A,internship-kedah
https://www.maukerja.my/job?jobId=26279964&slug=hr-internship-may-intake-2026,N/A,HR Internship (May Intake 2026),DXN Holdings Bhd,Undisclosed,Latihan Industri,Alor Setar,14 days ago,N/A,internship-kedah
https://www.maukerja.my/job?jobId=26273540&slug=internship-quality-control-food-industry,N/A,Internship Quality Control (Food Industry),SERBA WANGI SDN BHD,MYR600 - MYR600 Sebulan,Latihan Industri,Alor Setar,14 days ago,N/A,internship-kedah
https://www.maukerja.my/job?jobId=26240047&slug=software-intern,N/A,Software Intern,Sophic Automation Sdn Bhd,"MYR1,000 - MYR1,100 Sebulan",Latihan Industri,Kulim,19 days ago,N/A,internship-kedah
https://www.maukerja.my/job?jobId=26219405&slug=internship-civil,N/A,INTERNSHIP CIVIL,DAIE ENGINEERING SDN BHD,"MYR1,000 - MYR1,000 Sebulan",Latihan Industri,Alor Setar,21 days ago,N/A,internship-kedah
https://www.maukerja.my/job/57760-internship-for-it-industrial-training-practical-student,57760,Internship for IT Industrial Training / Practical Student,Mesra Web,Undisclosed,N/A,"Alor Setar, Kedah",10 years ago,"Multimedia, computer science",internship-kedah
