url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,internship-kulai
https://www.maukerja.my/job/25842170-internship-for-business-development-residential,25842170,Internship For Business Development (Residential),Max Bell Sdn Bhd (AQ Energy),"MYR1,000 - MYR1,200 Per Month",Internship,"Kulai, Johor","MYR1,000 - MYR1,200 Per Month",2 months ago,"Sales Support, Communication Skills",internship-kulai
https://www.maukerja.my/job?jobId=26283594&slug=production-engineering-intern-manufacturing-supply-chain,N/A,Production Engineering Intern (Manufacturing-Supply Chain),Heraeus Materials Malaysia Sdn Bhd,"MYR1,700 - MYR1,700 Per Month",Internship,Kulai,"MYR1,700 - MYR1,700 Per Month",2 days ago,N/A,internship-kulai
https://www.maukerja.my/job?jobId=26274354&slug=internship-latihan-industri-praktikal,N/A,Internship Latihan Industri Praktikal,TOYSPARK JOHOR,"MYR500 - MYR1,000 Per Month",Internship,Kulai,"MYR500 - MYR1,000 Per Month",2 days ago,N/A,internship-kulai
https://www.maukerja.my/job?jobId=26080633&slug=production-intern-manufacturing,N/A,Production Intern (Manufacturing),Heraeus Materials Malaysia Sdn Bhd,"MYR1,700 - MYR1,700 Per Month",Internship,Kulai,"MYR1,700 - MYR1,700 Per Month",25 days ago,N/A,internship-kulai
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,internship-kulai
https://www.maukerja.my/job/25842170-internship-for-business-development-residential,25842170,Internship For Business Development (Residential),Max Bell Sdn Bhd (AQ Energy),"MYR1,000 - MYR1,200 Per Month",Internship,"Kulai, Johor","MYR1,000 - MYR1,200 Per Month",2 months ago,"Sales Support, Communication Skills",internship-kulai
https://www.maukerja.my/job?jobId=26283594&slug=production-engineering-intern-manufacturing-supply-chain,N/A,Production Engineering Intern (Manufacturing-Supply Chain),Heraeus Materials Malaysia Sdn Bhd,"MYR1,700 - MYR1,700 Per Month",Internship,Kulai,"MYR1,700 - MYR1,700 Per Month",2 days ago,N/A,internship-kulai
https://www.maukerja.my/job?jobId=26274354&slug=internship-latihan-industri-praktikal,N/A,Internship Latihan Industri Praktikal,TOYSPARK JOHOR,"MYR500 - MYR1,000 Per Month",Internship,Kulai,"MYR500 - MYR1,000 Per Month",2 days ago,N/A,internship-kulai
https://www.maukerja.my/job?jobId=26080633&slug=production-intern-manufacturing,N/A,Production Intern (Manufacturing),Heraeus Materials Malaysia Sdn Bhd,"MYR1,700 - MYR1,700 Per Month",Internship,Kulai,"MYR1,700 - MYR1,700 Per Month",25 days ago,N/A,internship-kulai
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,internship-kulai
