url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,internship-negeri-sembilan
https://www.maukerja.my/job/26165492-internship-for-logistics,26165492,Internship For Logistics,KVC Industrial Supplies Sdn Bhd,"MYR800 - MYR1,000 Sebulan",Latihan Industri,"Nilai, Negeri Sembilan","MYR800 - MYR1,000 Sebulan",17 days ago,"Documentation, Data Warehouse",internship-negeri-sembilan
https://www.maukerja.my/job/26106783-internship-for-admin-executive,26106783,Internship For Admin Executive,Millennium Autobeyond Sdn Bhd,Undisclosed,Latihan Industri,Negeri Sembilan,Undisclosed,24 days ago,"Administrative Support, Office Management",internship-negeri-sembilan
https://www.maukerja.my/job?jobId=26301902&slug=internship-student-preferably-12-months,N/A,Internship Student (Preferably 12-months),Sonoco Products (Malaysia) Sdn Bhd,"MYR800 - MYR1,000 Sebulan","Sepenuh Masa,",Nilai,"MYR800 - MYR1,000 Sebulan",3 days ago,N/A,internship-negeri-sembilan
https://www.maukerja.my/job?jobId=26294883&slug=maintenance-trainee-apprentice-vie,N/A,Maintenance Trainee-Apprentice-VIE,Valeo,Undisclosed,"Sepenuh Masa,",Nilai,Undisclosed,3 days ago,N/A,internship-negeri-sembilan
https://www.maukerja.my/job?jobId=26294390&slug=internship-business-administration-logistics,N/A,"Internship (Business Administration, Logistics)",Favelle Favco Cranes (M) Sdn Bhd,MYR600 - MYR700 Sebulan,Latihan Industri,Senawang,MYR600 - MYR700 Sebulan,3 days ago,N/A,internship-negeri-sembilan
https://www.maukerja.my/job?jobId=26294395&slug=internship-hr-logistics-purchasing,N/A,Internship (HR-LOGISTICS -PURCHASING),Favelle Favco Cranes (M) Sdn Bhd,MYR600 - MYR700 Sebulan,Latihan Industri,Senawang,MYR600 - MYR700 Sebulan,3 days ago,N/A,internship-negeri-sembilan
https://www.maukerja.my/job?jobId=26293493&slug=internship-logistic,N/A,INTERNSHIP LOGISTIC,TASCO Berhad,"MYR700 - MYR1,000 Sebulan","Sepenuh Masa,",Seremban,"MYR700 - MYR1,000 Sebulan",3 days ago,N/A,internship-negeri-sembilan
https://www.maukerja.my/job?jobId=26293491&slug=internship-logistics,N/A,Internship - Logistics,TASCO BERHAD,"MYR700 - MYR1,000 Sebulan",Latihan Industri,Seremban,"MYR700 - MYR1,000 Sebulan",3 days ago,N/A,internship-negeri-sembilan
https://www.maukerja.my/job?jobId=26288695&slug=nestle-internship-2026-ce,N/A,Nestle Internship 2026 - CE,Nestlé,Undisclosed,"Sepenuh Masa,",Malaysia,Undisclosed,3 days ago,N/A,internship-negeri-sembilan
