url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,internship-negeri-sembilan
https://www.maukerja.my/job/26165492-internship-for-logistics,26165492,Internship For Logistics,KVC Industrial Supplies Sdn Bhd,"MYR800 - MYR1,000 Sebulan",Latihan Industri,"Nilai, Negeri Sembilan",a month ago,"Documentation, Data Warehouse",internship-negeri-sembilan
https://www.maukerja.my/job/26106783-internship-for-admin-executive,26106783,Internship For Admin Executive,Millennium Autobeyond Sdn Bhd,Undisclosed,Latihan Industri,Negeri Sembilan,a month ago,"Administrative Support, Office Management",internship-negeri-sembilan
https://www.maukerja.my/job?jobId=26432341&slug=safety-health-environment-intern,N/A,"Safety, Health, - Environment Intern",Allnex,Undisclosed,Latihan Industri,Seremban,2 days ago,N/A,internship-negeri-sembilan
https://www.maukerja.my/job?jobId=26412009&slug=internship-internship-for-multi-position,N/A,Internship INTERNSHIP FOR MULTI-POSITION,DAN QING PACK (M) SDN BHD,"MYR800 - MYR1,200 Sebulan",Latihan Industri,Seremban,3 days ago,N/A,internship-negeri-sembilan
https://www.maukerja.my/job?jobId=26409006&slug=intern-procurement,N/A,Intern Procurement,Cypark Resources Berhad,MYR800 - MYR800 Sebulan,Latihan Industri,Port Dickson,4 days ago,N/A,internship-negeri-sembilan
https://www.maukerja.my/job?jobId=26408380&slug=intern-manufacturing-mechanical-engineering,N/A,Intern - Manufacturing- Mechanical Engineering,Emerson,Undisclosed,Latihan Industri,Nilai,4 days ago,N/A,internship-negeri-sembilan
https://www.maukerja.my/job?jobId=26399940&slug=internship-internship-for-multi-position,N/A,Internship INTERNSHIP FOR MULTI-POSITION,DAN QING PACK (M) SDN BHD,"MYR800 - MYR1,200 Sebulan",Latihan Industri,Seremban,5 days ago,N/A,internship-negeri-sembilan
https://www.maukerja.my/job?jobId=26398977&slug=marketing-internship,N/A,Marketing Internship,TOA Paint Products Sdn Bhd,"MYR800 - MYR1,000 Sebulan",Latihan Industri,Nilai,6 days ago,N/A,internship-negeri-sembilan
https://www.maukerja.my/job?jobId=26379203&slug=internship-logistics-student-sendayan,N/A,INTERNSHIP LOGISTICS STUDENT (SENDAYAN),Biforst Logistics Sdn Bhd,MYR500 - MYR500 Sebulan,Latihan Industri,Seremban,8 days ago,N/A,internship-negeri-sembilan
