url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,internship-nilai
https://www.maukerja.my/job/26165492-internship-for-logistics,26165492,Internship For Logistics,KVC Industrial Supplies Sdn Bhd,"MYR800 - MYR1,000 Sebulan",Latihan Industri,"Nilai, Negeri Sembilan",a month ago,"Documentation, Data Warehouse",internship-nilai
https://www.maukerja.my/job?jobId=26408380&slug=intern-manufacturing-mechanical-engineering,N/A,Intern - Manufacturing- Mechanical Engineering,Emerson,Undisclosed,Latihan Industri,Nilai,4 days ago,N/A,internship-nilai
https://www.maukerja.my/job?jobId=26398977&slug=marketing-internship,N/A,Marketing Internship,TOA Paint Products Sdn Bhd,"MYR800 - MYR1,000 Sebulan",Latihan Industri,Nilai,6 days ago,N/A,internship-nilai
https://www.maukerja.my/job?jobId=26301902&slug=internship-student-preferably-12-months,N/A,Internship Student (Preferably 12-months),Sonoco Products (Malaysia) Sdn Bhd,"MYR800 - MYR1,000 Sebulan","Sepenuh Masa,",Nilai,14 days ago,N/A,internship-nilai
https://www.maukerja.my/job?jobId=26294883&slug=maintenance-trainee-apprentice-vie,N/A,Maintenance Trainee-Apprentice-VIE,Valeo,Undisclosed,"Sepenuh Masa,",Nilai,14 days ago,N/A,internship-nilai
https://www.maukerja.my/job?jobId=26287880&slug=internship-welder,N/A,INTERNSHIP (WELDER),PETROMART SDN BHD,MYR500 - MYR600 Sebulan,"Sepenuh Masa,",Nilai,14 days ago,N/A,internship-nilai
https://www.maukerja.my/job?jobId=26287867&slug=internship-welder,N/A,INTERNSHIP (WELDER),PETROMART SDN BHD,MYR500 - MYR600 Sebulan,"Sepenuh Masa,",Nilai,14 days ago,N/A,internship-nilai
https://www.maukerja.my/job?jobId=26285040&slug=logistics-intern,N/A,Logistics Intern,KVC Industrial Supplies Sdn Bhd,"MYR800 - MYR1,000 Sebulan",Latihan Industri,Nilai,14 days ago,N/A,internship-nilai
https://www.maukerja.my/job?jobId=26284139&slug=internship-admin-documentation-controllers,N/A,INTERNSHIP - ADMIN - DOCUMENTATION CONTROLLERS,EPE SWITCHGEAR (M) SDN BHD,MYR600 - MYR600 Sebulan,Latihan Industri,Nilai,14 days ago,N/A,internship-nilai
https://www.maukerja.my/job?jobId=26282859&slug=sales-advisor,N/A,Sales Advisor,Global Amity Sdn Bhd,"MYR1,700 - MYR1,700 Sebulan","Sepenuh Masa,",Nilai,14 days ago,N/A,internship-nilai
https://www.maukerja.my/job?jobId=26272642&slug=internship-intern-administration,N/A,Internship Intern Administration,Fresh Feast,MYR600 - MYR600 Sebulan,Latihan Industri,Nilai,14 days ago,N/A,internship-nilai
https://www.maukerja.my/job?jobId=26159715&slug=internship-intern-administration,N/A,Internship Intern Administration,Fresh Feast,MYR600 - MYR600 Sebulan,Latihan Industri,Nilai,a month ago,N/A,internship-nilai
