url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26353528&slug=intern-project-management,N/A,Intern - Project Management,Gamuda Land,"MYR1,000 - MYR1,000 Sebulan",Latihan Industri,Sepang,9 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26316419&slug=intern-project-management-office-pmo,N/A,"Intern, Project Management Office (PMO)",AirAsia,Undisclosed,"Latihan Industri,",Sepang,11 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26309522&slug=freelance-videographer-photographer,N/A,Freelance Videographer-Photographer,PIX ASIA MEDIA,Undisclosed,Latihan Industri,Sepang,12 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26296260&slug=intern-product-innovation,N/A,"Intern, Product Innovation",AirAsia,Undisclosed,"Sepenuh Masa,",Sepang,13 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26296259&slug=intern-marketing,N/A,"Intern, Marketing",AirAsia,Undisclosed,"Latihan Industri,",Sepang,13 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26296253&slug=intern-scheduling,N/A,"Intern, Scheduling",AirAsia,Undisclosed,"Sepenuh Masa,",Sepang,13 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26295682&slug=intern-trackwork-railway-engineering,N/A,Intern - Trackwork - Railway Engineering,YTL Construction Sdn. Bhd.,Undisclosed,Latihan Industri,Sepang,13 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26295663&slug=intern-civil-engineering,N/A,Intern: Civil Engineering,YTL Construction Sdn. Bhd.,Undisclosed,"Sepenuh Masa,",Sepang,13 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26288119&slug=kitchen-crew-commis-iii,N/A,Kitchen Crew (Commis III),Padi House,"MYR2,200 - MYR2,500 Sebulan","Sepenuh Masa,",Sepang,14 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26288114&slug=service-crew-waiter-waitress,N/A,Service Crew (Waiter-Waitress),Padi House,"MYR2,200 - MYR2,500 Sebulan","Sepenuh Masa,",Sepang,14 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26285332&slug=internship-logistics-warehouse-operation,N/A,Internship (Logistics Warehouse Operation),KINTETSU WORLD EXPRESS,"MYR1,000 - MYR1,000 Sebulan",Latihan Industri,Sepang,14 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26285325&slug=internship-custom-operation-zb,N/A,Internship - Custom Operation (ZB),KINTETSU WORLD EXPRESS,"MYR1,000 - MYR1,000 Sebulan","Sepenuh Masa,",Sepang,14 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26282714&slug=intern-sales-admin-june-intake,N/A,Intern - Sales Admin (June Intake),Gamuda Land,"MYR1,000 - MYR1,000 Sebulan",Latihan Industri,Sepang,14 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26282701&slug=intern-branding-marketing,N/A,Intern - Branding - Marketing,Gamuda Land,"MYR1,000 - MYR1,000 Sebulan",Latihan Industri,Sepang,14 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26279019&slug=internship-student,N/A,Internship Student,IBIS STYLES,Undisclosed,Latihan Industri,Sepang,14 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26273308&slug=internship-marketing-intern,N/A,Internship Marketing Intern,Brican Network Sdn Bhd,MYR800 - MYR800 Sebulan,Latihan Industri,Sepang,14 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26240049&slug=software-intern,N/A,Software Intern,Sophic Automation Sdn Bhd,"MYR1,000 - MYR1,100 Sebulan",Latihan Industri,Sepang,19 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26222397&slug=internship-children-leadership-coach,N/A,Internship Children Leadership Coach,HANKidz Zone Sdn Bhd,"MYR2,500 - MYR6,000 Sebulan",Latihan Industri,Sepang,21 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26213511&slug=internship-tourism,N/A,INTERNSHIP - TOURISM,CCI TRAVEL AND TOURS SDN. BHD.,MYR500 - MYR500 Sebulan,"Latihan Industri,",Sepang,22 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26213509&slug=internship-accounting,N/A,INTERNSHIP - ACCOUNTING,CCI TRAVEL AND TOURS SDN. BHD.,MYR500 - MYR500 Sebulan,"Latihan Industri,",Sepang,22 days ago,N/A,internship-sepang
https://www.maukerja.my/job?jobId=26213505&slug=intership-marketing,N/A,INTERSHIP - MARKETING,CCI TRAVEL AND TOURS SDN. BHD.,MYR500 - MYR500 Sebulan,"Latihan Industri,",Sepang,22 days ago,N/A,internship-sepang
