url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,jasin-all
https://www.maukerja.my/job/13085311-barista-mcdonalds-pandu-lalu-jasin,13085311,Barista ( McDonald's Pandu Lalu Jasin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Jasin, Melaka",2 months ago,Any Skill,jasin-all
https://www.maukerja.my/job/26266848-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-jasin,26266848,Kru Kasual - Hari Raya Haji ( McDonald's Pandu Lalu Jasin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Jasin, Melaka",16 days ago,Any Skill,jasin-all
https://www.maukerja.my/job/24217696-production-executive,24217696,Production Executive,Rubber Leisure Products Sdn Bhd,"MYR3,500 - MYR5,000 Sebulan",Sepenuh Masa,Melaka,a day ago,"Problem-solving, Quality Control",jasin-all
https://www.maukerja.my/job?jobId=26421624&slug=admin-clerk-purchaser,N/A,ADMIN CLERK PURCHASER,Tixon Decoration,Undisclosed,Sepenuh Masa,Jasin,4 days ago,N/A,jasin-all
https://www.maukerja.my/job?jobId=26390332&slug=admin-clerk-account,N/A,ADMIN CLERK ACCOUNT,Tixon Decoration,Undisclosed,Sepenuh Masa,Jasin,8 days ago,N/A,jasin-all
https://www.maukerja.my/job/24282471-graduate-employability-program-mcdonalds-pandu-lalu-jasin,24282471,Graduate Employability Program ( McDonald's Pandu Lalu Jasin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Jasin, Melaka",9 months ago,Any Skill,jasin-all
https://www.maukerja.my/job/22956058-technical-assistant-mcdonalds-pandu-lalu-jasin,22956058,Technical Assistant ( McDonald's Pandu Lalu Jasin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Jasin, Melaka",a year ago,Any Skill,jasin-all
https://www.maukerja.my/job/19895007-general-worker-pekerja-am-mcdonalds-pandu-lalu-jasin,19895007,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Jasin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Jasin, Melaka",2 years ago,Any Skill,jasin-all
https://www.maukerja.my/job/13085312-kru-restaurant-mcdonalds-pandu-lalu-jasin,13085312,Kru Restaurant ( McDonald's Pandu Lalu Jasin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Jasin, Melaka",3 years ago,Any Skill,jasin-all
https://www.maukerja.my/job/13085313-guest-experience-leader-mcdonalds-pandu-lalu-jasin,13085313,Guest Experience Leader ( McDonald's Pandu Lalu Jasin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,600 Sebulan",N/A,"Jasin, Melaka",3 years ago,Any Skill,jasin-all
https://www.maukerja.my/job/12962948-ejen-penghantar-makanan-mcdonalds-pandu-lalu-jasin,12962948,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Jasin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,900 Sebulan",N/A,"Jasin, Melaka",3 years ago,Any Skill,jasin-all
