url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,jerantut-all
https://www.maukerja.my/job/26266624-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-jerantut,26266624,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Jerantut ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Jerantut, Pahang",16 days ago,Any Skill,jerantut-all
https://www.maukerja.my/job/26351616-internship-for-mining-engineer,26351616,Internship For Mining Engineer,OUS Resources Sdn. Bhd.,"MYR1,300 - MYR1,700 monthly",Latihan Industri,"Jerantut, Pahang",3 days ago,mining software,jerantut-all
https://www.maukerja.my/job/21950328-crew-member-part-time-dominos-pizza-jerantut,21950328,Crew Member (Part Time) ( Domino's Pizza Jerantut ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Jerantut, Pahang",2 months ago,Any Skill,jerantut-all
https://www.maukerja.my/job/21950174-delivery-rider-part-time-dominos-pizza-jerantut,21950174,Delivery Rider (Part Time) ( Domino's Pizza Jerantut ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Jerantut, Pahang",2 months ago,Any Skill,jerantut-all
https://www.maukerja.my/job/21842746-delivery-rider-full-time-dominos-pizza-jerantut,21842746,Delivery Rider (Full Time) ( Domino's Pizza Jerantut ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Jerantut, Pahang",2 months ago,Any Skill,jerantut-all
https://www.maukerja.my/job?jobId=26451627&slug=qaqc-engineer-kuala-tahan,N/A,QAQC ENGINEER (KUALA TAHAN),Pintas Utama Sdn Bhd,Undisclosed,Sepenuh Masa,Jerantut,a day ago,N/A,jerantut-all
https://www.maukerja.my/job?jobId=26380638&slug=district-sales-executive-sarawak,N/A,District Sales Executive (Sarawak),Nestlé,Undisclosed,Sepenuh Masa,Jerantut,9 days ago,N/A,jerantut-all
https://www.maukerja.my/job?jobId=26379788&slug=safety-health-coordinator,N/A,Safety - Health Coordinator,OUS Group Of Companies,"MYR3,000 - MYR4,500 Sebulan",Sepenuh Masa,Jerantut,9 days ago,N/A,jerantut-all
https://www.maukerja.my/job?jobId=26342789&slug=graduate-trainee-program-2026-assistant-civil-engineering-pahang,N/A,GRADUATE TRAINEE PROGRAM 2026 : ASSISTANT CIVIL ENGINEERING - Pahang,Pintas Utama Sdn Bhd,"MYR2,000 - MYR2,000 Sebulan",Sepenuh Masa,Jerantut,12 days ago,N/A,jerantut-all
https://www.maukerja.my/job?jobId=26342523&slug=environmental-officer-kuala-tahan,N/A,ENVIRONMENTAL OFFICER (KUALA TAHAN),Pintas Utama Sdn Bhd,Undisclosed,Sepenuh Masa,Jerantut,12 days ago,N/A,jerantut-all
https://www.maukerja.my/job?jobId=26316158&slug=district-sales-executive-sarawak,N/A,District Sales Executive (Sarawak),Nestlé,Undisclosed,Sepenuh Masa,Jerantut,12 days ago,N/A,jerantut-all
https://www.maukerja.my/job?jobId=26300007&slug=safety-healthy-officer,N/A,Safety - Healthy Officer,Maju Jaya Pasarana Sdn Bhd,"MYR3,000 - MYR4,000 Sebulan",Sepenuh Masa,Jerantut,15 days ago,N/A,jerantut-all
https://www.maukerja.my/job?jobId=26291877&slug=retail-sales,N/A,RETAIL SALES,SSF Creative Life Centre Sdn Bhd,"MYR1,900 - MYR2,300 Sebulan",Sepenuh Masa,Jerantut,15 days ago,N/A,jerantut-all
https://www.maukerja.my/job?jobId=26260729&slug=project-planner-kuala-tahan,N/A,PROJECT PLANNER (KUALA TAHAN),Pintas Utama Sdn Bhd,Undisclosed,Sepenuh Masa,Jerantut,17 days ago,N/A,jerantut-all
https://www.maukerja.my/job?jobId=26260660&slug=traffic-management-officer-kuala-tahan,N/A,TRAFFIC MANAGEMENT OFFICER (KUALA TAHAN),Pintas Utama Sdn Bhd,Undisclosed,Sepenuh Masa,Jerantut,17 days ago,N/A,jerantut-all
https://www.maukerja.my/job?jobId=26260659&slug=qaqc-engineer-kuala-tahan,N/A,QAQC ENGINEER (KUALA TAHAN),Pintas Utama Sdn Bhd,Undisclosed,Sepenuh Masa,Jerantut,17 days ago,N/A,jerantut-all
https://www.maukerja.my/job?jobId=26260379&slug=site-supervisor-kuala-tahan,N/A,SITE SUPERVISOR (KUALA TAHAN),Pintas Utama Sdn Bhd,Undisclosed,Sepenuh Masa,Jerantut,17 days ago,N/A,jerantut-all
https://www.maukerja.my/job?jobId=26259394&slug=management-trainee,N/A,Management Trainee,LTH Group Asia Company,"MYR2,000 - MYR5,000 Sebulan",Sepenuh Masa,Jerantut,17 days ago,N/A,jerantut-all
https://www.maukerja.my/job?jobId=26221935&slug=district-sales-executive-sarawak,N/A,District Sales Executive (Sarawak),Nestlé,Undisclosed,Sepenuh Masa,Jerantut,23 days ago,N/A,jerantut-all
https://www.maukerja.my/job?jobId=26219306&slug=family-doctor,N/A,Family Doctor,ALPRO CLINIC,"MYR8,000 - MYR11,000 Sebulan",Sepenuh Masa,Jerantut,23 days ago,N/A,jerantut-all
https://www.maukerja.my/job?jobId=26185649&slug=sales-promoter,N/A,SALES PROMOTER,GALERI HIDAYAH (M) SDN BHD,Undisclosed,Sepenuh Masa,Jerantut,a month ago,N/A,jerantut-all
https://www.maukerja.my/job?jobId=26167868&slug=retail-sales,N/A,RETAIL SALES,SSF Creative Life Centre Sdn Bhd,"MYR1,900 - MYR2,300 Sebulan",Sepenuh Masa,Jerantut,a month ago,N/A,jerantut-all
https://www.maukerja.my/job/24282287-graduate-employability-program-mcdonalds-pandu-lalu-jerantut,24282287,Graduate Employability Program ( McDonald’s Pandu Lalu Jerantut ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Jerantut, Pahang",9 months ago,Any Skill,jerantut-all
https://www.maukerja.my/job/22955880-technical-assistant-mcdonalds-pandu-lalu-jerantut,22955880,Technical Assistant ( McDonald’s Pandu Lalu Jerantut ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Jerantut, Pahang",a year ago,Any Skill,jerantut-all
https://www.maukerja.my/job/2313317-juruteknik-mcdonalds-pandu-lalu-jerantut,2313317,JuruTeknik ( McDonald’s Pandu Lalu Jerantut ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,"Jerantut, Pahang",4 years ago,Any Skill,jerantut-all
https://www.maukerja.my/job/1527370-ejen-penghantar-makanan-mcdonalds-pandu-lalu-jerantut,1527370,Ejen Penghantar Makanan ( McDonald’s Pandu Lalu Jerantut ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Jerantut, Pahang",5 years ago,Any Skill,jerantut-all
https://www.maukerja.my/job/1469216-barista-mcdonalds-pandu-lalu-jerantut,1469216,Barista ( McDonald’s Pandu Lalu Jerantut ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Jerantut, Pahang",6 years ago,Any Skill,jerantut-all
https://www.maukerja.my/job/1469217-kru-restaurant-mcdonalds-pandu-lalu-jerantut,1469217,Kru Restaurant ( McDonald’s Pandu Lalu Jerantut ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Jerantut, Pahang",6 years ago,Any Skill,jerantut-all
https://www.maukerja.my/job/1551354-kru-restaurant-mcdonalds-pandu-lalu-jerantut,1551354,Kru Restaurant ( McDonald’s Pandu Lalu Jerantut ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Jerantut, Pahang",5 years ago,Any Skill,jerantut-all
https://www.maukerja.my/job/1606206-kru-restaurant-mcdonalds-pandu-lalu-jerantut,1606206,Kru Restaurant ( McDonald’s Pandu Lalu Jerantut ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Jerantut, Pahang",5 years ago,Any Skill,jerantut-all
