url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kangar-all
https://www.maukerja.my/job/26366479-internship-for-inventory-stock-management,26366479,Internship For Inventory & Stock Management,Yonhin Sdn Bhd,"MYR800 - MYR1,000 Sebulan",Latihan Industri,"Kangar, Perlis",3 hours ago,"Basic Excel skills, Data entry skills",kangar-all
https://www.maukerja.my/job/26407206-media-buyer,26407206,Media Buyer,Hairos Destiny Sdn. Bhd.,"MYR2,800 - MYR4,500 Sebulan",Sepenuh Masa,"Kangar, Perlis",5 days ago,Paid Advertising,kangar-all
https://www.maukerja.my/job/26407202-paid-media-specialist,26407202,Paid Media Specialist,Hairos Destiny Sdn. Bhd.,"MYR2,800 - MYR4,500 Sebulan",Sepenuh Masa,"Kangar, Perlis",5 days ago,Paid Advertising,kangar-all
https://www.maukerja.my/job/26407204-ppc-specialist,26407204,PPC Specialist,Hairos Destiny Sdn. Bhd.,"MYR2,800 - MYR4,500 Sebulan",Sepenuh Masa,"Kangar, Perlis",5 days ago,Paid Advertising,kangar-all
https://www.maukerja.my/job/26407203-social-media-advertising-specialist,26407203,Social Media Advertising Specialist,Hairos Destiny Sdn. Bhd.,"MYR2,800 - MYR4,500 Sebulan",Sepenuh Masa,"Kangar, Perlis",5 days ago,Paid Advertising,kangar-all
https://www.maukerja.my/job/26407205-digital-advertising-coordinator,26407205,Digital Advertising Coordinator,Hairos Destiny Sdn. Bhd.,"MYR2,800 - MYR4,500 Sebulan",Sepenuh Masa,"Kangar, Perlis",5 days ago,Paid Advertising,kangar-all
https://www.maukerja.my/job/26407200-pakar-iklan-berbayar,26407200,Pakar Iklan Berbayar,Hairos Destiny Sdn. Bhd.,"MYR2,800 - MYR4,500 Sebulan",Sepenuh Masa,"Kangar, Perlis",3 days ago,Paid Advertising,kangar-all
https://www.maukerja.my/job/26417994-care-assistant-operation-theatre,26417994,"Care Assistant, Operation Theatre",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kangar, Perlis",4 days ago,Healthcare,kangar-all
https://www.maukerja.my/job/26407741-assistant-purchasing,26407741,"Assistant, Purchasing",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kangar, Perlis",5 days ago,"Purchasing, Procurement",kangar-all
https://www.maukerja.my/job/26266822-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-kangar,26266822,Kru Kasual - Hari Raya Haji ( McDonald's Pandu lalu Kangar ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kangar, Perlis",16 days ago,Any Skill,kangar-all
https://www.maukerja.my/job/26312238-executive-finance,26312238,"Executive, Finance",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kangar, Perlis",13 days ago,Finance,kangar-all
https://www.maukerja.my/job/26247676-safety-health-officer-safety,26247676,"Safety & Health Officer, Safety",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kangar, Perlis",18 days ago,Safety Procedures,kangar-all
https://www.maukerja.my/job/26205882-sales-assistant-at-grand-senheng-kangar,26205882,Sales Assistant at Grand Senheng Kangar,Senheng Electric (KL) Sdn Bhd,"MYR1,700 - MYR1,800 Sebulan",Sepenuh Masa,"Kangar, Perlis",24 days ago,sales,kangar-all
https://www.maukerja.my/job/21842733-delivery-rider-full-time-dominos-pizza-kangar,21842733,Delivery Rider (Full Time) ( Domino's Pizza Kangar ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kangar, Perlis",2 months ago,Any Skill,kangar-all
https://www.maukerja.my/job/21950163-delivery-rider-part-time-dominos-pizza-kangar,21950163,Delivery Rider (Part Time) ( Domino's Pizza Kangar ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kangar, Perlis",2 months ago,Any Skill,kangar-all
https://www.maukerja.my/job?jobId=26453610&slug=waiter-waitress,N/A,WAITER-WAITRESS,MST Golf Group Berhad,Undisclosed,Sepenuh Masa,Kangar,a day ago,N/A,kangar-all
https://www.maukerja.my/job?jobId=26454614&slug=tax-manager,N/A,Tax Manager,Cheng & Co Group,Undisclosed,Sepenuh Masa,Kangar,a day ago,N/A,kangar-all
https://www.maukerja.my/job?jobId=26456822&slug=executive-business-channels-operations-customer-service,N/A,Executive - Business Channels (Operations - Customer Service),Hong Leong Bank,Undisclosed,Sepenuh Masa,Kangar,21 hours ago,N/A,kangar-all
https://www.maukerja.my/job?jobId=26457853&slug=marketing-lead-generation-specialist,N/A,Marketing - Lead Generation Specialist,HashTaqs Pte Ltd,Undisclosed,Sepenuh Masa,Kangar,21 hours ago,N/A,kangar-all
https://www.maukerja.my/job?jobId=26457326&slug=retail-store-supervisor-kangar-jaya,N/A,Retail Store Supervisor (Kangar Jaya),Panda Eyes Sdn Bhd,"MYR3,000 - MYR4,000 Sebulan",Sepenuh Masa,Kangar,21 hours ago,N/A,kangar-all
https://www.maukerja.my/job?jobId=26432942&slug=district-area-managers-northern-popular-footwear-fashion-stores-mnc,N/A,District-Area Managers (Northern) Popular Footwear-Fashion Stores- MNC,AG Staffing Malaysia,"MYR8,000 - MYR12,000 Sebulan",Sepenuh Masa,Kangar,3 days ago,N/A,kangar-all
https://www.maukerja.my/job?jobId=26437898&slug=internship-digital-content-social-media-assistant,N/A,Internship Digital Content - Social Media Assistant,Agilistic Technology Sdn Bhd,"MYR2,500 - MYR3,000 Sebulan",Latihan Industri,Kangar,3 days ago,N/A,kangar-all
https://www.maukerja.my/job?jobId=26444017&slug=ai-hardware-engineer,N/A,AI Hardware Engineer,"Efinix, Inc.",Undisclosed,Sepenuh Masa,Kangar,2 days ago,N/A,kangar-all
https://www.maukerja.my/job?jobId=26443991&slug=sales-executive-northern-region,N/A,Sales Executive (Northern Region),COFFEX COFFEE MALAYSIA,Undisclosed,Sepenuh Masa,Kangar,2 days ago,N/A,kangar-all
https://www.maukerja.my/job?jobId=26444012&slug=executive-business-channels-operations-customer-service,N/A,Executive - Business Channels (Operations - Customer Service),Hong Leong Bank Berhad,Undisclosed,Sepenuh Masa,Kangar,2 days ago,N/A,kangar-all
https://www.maukerja.my/job?jobId=26440296&slug=audit-senior-semi-senior-georgetown-penang,N/A,"Audit Senior - Semi-Senior (Georgetown, Penang)",UHY Malaysia,Undisclosed,Sepenuh Masa,Kangar,2 days ago,N/A,kangar-all
https://www.maukerja.my/job?jobId=26446630&slug=sr-software-system-engineer,N/A,Sr. Software System Engineer,Nordson Corporation,Undisclosed,Sepenuh Masa,Kangar,2 days ago,N/A,kangar-all
https://www.maukerja.my/job?jobId=26446942&slug=sales-associate-part-time-st-louis-mo-southtown-centre,N/A,"Sales Associate (Part-Time) - St Louis, MO ( Southtown Centre )",Hibbett,Undisclosed,Sepenuh Masa,Kangar,2 days ago,N/A,kangar-all
https://www.maukerja.my/job?jobId=26446997&slug=nutritionist,N/A,Nutritionist,Revo Healthcare Sdn. Bhd.,Undisclosed,Sepenuh Masa,Kangar,2 days ago,N/A,kangar-all
https://www.maukerja.my/job?jobId=26447364&slug=assistant-store-manager-full-time-st-louis-mo,N/A,"Assistant Store Manager (Full-time) - ST. Louis, MO",Hibbett,Undisclosed,Sepenuh Masa,Kangar,2 days ago,N/A,kangar-all
