url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kelantan-all
https://www.maukerja.my/job/21950158-delivery-rider-part-time-dominos-pizza-kubang-kerian,21950158,Delivery Rider (Part Time) ( Domino’s Pizza Kubang Kerian ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kota Bharu, Kelantan",2 months ago,Any Skill,kelantan-all
https://www.maukerja.my/job/21950227-delivery-rider-part-time-dominos-pizza-pasir-pekan,21950227,Delivery Rider (Part Time) ( Domino's Pizza Pasir Pekan ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kota Bharu, Kelantan",2 months ago,Any Skill,kelantan-all
https://www.maukerja.my/job/21952220-crew-member-full-time-dominos-pizza-pasir-pekan,21952220,Crew Member (Full Time) ( Domino's Pizza Pasir Pekan ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Kota Bharu, Kelantan",2 months ago,Any Skill,kelantan-all
https://www.maukerja.my/job/21842728-delivery-rider-full-time-dominos-pizza-kubang-kerian,21842728,Delivery Rider (Full Time) ( Domino’s Pizza Kubang Kerian ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kota Bharu, Kelantan",2 months ago,Any Skill,kelantan-all
https://www.maukerja.my/job/26428955-internship-for-video-editor-content-creator-live-host-operation,26428955,Internship For Video Editor/Content Creator/Live Host/Operation,Haliqa Global Sdn Bhd,MYR300 - MYR450 Sebulan,Latihan Industri,"Kota, Kelantan",2 days ago,"Multitasking, Problem Solving",kelantan-all
https://www.maukerja.my/job/26405322-finance-manager,26405322,Finance Manager,Ahmad Zaki Resources Berhad,"MYR8,000 - MYR9,000 Sebulan",Sepenuh Masa,Kelantan,4 days ago,"Account Management, Account Payable",kelantan-all
https://www.maukerja.my/job/26375958-sales-advisor-nissan-tanah-merah,26375958,SALES ADVISOR | NISSAN TANAH MERAH,Edaran Tan Chong Motor (Selatan) Sdn Bhd,"MYR1,700 - MYR5,000 Sebulan",Sepenuh Masa,"Tanah Merah, Kelantan",8 days ago,Sales experience,kelantan-all
https://www.maukerja.my/job/26213579-digital-marketer,26213579,Digital Marketer,Faiz Ilman Solution,"MYR2,000 - MYR3,500 Sebulan",Sepenuh Masa,Kelantan,10 hours ago,"Content Marketing, Copywriting",kelantan-all
https://www.maukerja.my/job/26375737-sales-advisor-nissan-kota-bharu,26375737,SALES ADVISOR | NISSAN KOTA BHARU,Edaran Tan Chong Motor (Selatan) Sdn Bhd,"MYR1,700 - MYR5,000 Sebulan",Sepenuh Masa,"Kota Bharu, Kelantan",8 days ago,Sales experience,kelantan-all
https://www.maukerja.my/job/26367099-digital-content-producer,26367099,Digital Content Producer,Sobella Beauty Sdn Bhd,"MYR1,700 - MYR2,000 Sebulan",Sepenuh Masa,"Kota Bharu, Kelantan",9 days ago,"Content Creation, Social Media Marketing",kelantan-all
https://www.maukerja.my/job/26314960-assistant-manager-trainee,26314960,Assistant Manager Trainee,Black Canyon Restaurant,"Up to MYR2,200 Sebulan",Sepenuh Masa,"Kota, Kelantan",11 days ago,"Customer Service, Team Leadership",kelantan-all
https://www.maukerja.my/job/26367098-content-creator,26367098,Content Creator,Sobella Beauty Sdn Bhd,"MYR1,700 - MYR2,000 Sebulan",Sepenuh Masa,"Kota Bharu, Kelantan",3 days ago,"Content Creation, Social Media Marketing",kelantan-all
https://www.maukerja.my/job/26266859-kru-kasual-hari-raya-haji-mcdonalds-kuala-krai-dt,26266859,Kru Kasual - Hari Raya Haji ( McDonald's Kuala Krai DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,Kelantan,16 days ago,Any Skill,kelantan-all
https://www.maukerja.my/job/26314533-state-registered-nurse-dahlia-ward,26314533,"State Registered Nurse, Dahlia Ward",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,Kelantan,11 days ago,nurse,kelantan-all
https://www.maukerja.my/job/26314537-radiographer-diagnostic-imaging-services,26314537,"Radiographer, Diagnostic Imaging Services",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,Kelantan,11 days ago,radiographer,kelantan-all
https://www.maukerja.my/job/26266834-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-gua-musang,26266834,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Gua Musang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Gua Musang, Kelantan",16 days ago,Any Skill,kelantan-all
https://www.maukerja.my/job/26268038-service-kitchen-crew,26268038,Service & Kitchen Crew,Black Canyon Restaurant,"MYR1,900 - MYR2,200 Sebulan",Sepenuh Masa,"Kota, Kelantan",15 days ago,"Customer Service, Food Preparation",kelantan-all
https://www.maukerja.my/job/26245229-pereka-grafik,26245229,Pereka Grafik,Nur Tijari Sdn. Bhd.,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,"Pasir Mas, Kelantan",10 hours ago,"Graphic Design, Branding",kelantan-all
https://www.maukerja.my/job/26266777-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-petronas-tanah-merah,26266777,Kru Kasual - Hari Raya Haji ( McDonald's Pandu Lalu Petronas Tanah Merah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Tanah Merah, Kelantan",16 days ago,Any Skill,kelantan-all
https://www.maukerja.my/job/26311657-host-live,26311657,Host Live,SNF Online,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,"Machang, Kelantan",2 days ago,"Presentation skills, Product knowledge",kelantan-all
https://www.maukerja.my/job/26311656-e-commerce-executive-customer-service,26311656,E-Commerce Executive (Customer Service),SNF Online,"MYR1,700 - MYR2,000 monthly",Sepenuh Masa,"Machang, Kelantan",2 days ago,"Customer Service, E-Commerce Platforms",kelantan-all
https://www.maukerja.my/job/26206421-business-development-representative,26206421,Business Development Representative,Faiz Ilman Solution,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,Kelantan,23 days ago,"Sales Management, Customer Relationship Management (CRM)",kelantan-all
https://www.maukerja.my/job/26213581-online-marketing-coordinator,26213581,Online Marketing Coordinator,Faiz Ilman Solution,"MYR2,000 - MYR3,500 Sebulan",Sepenuh Masa,Kelantan,22 days ago,"Content Marketing, Copywriting",kelantan-all
https://www.maukerja.my/job/26213582-marketing-communications-specialist,26213582,Marketing Communications Specialist,Faiz Ilman Solution,"MYR2,000 - MYR3,500 Sebulan",Sepenuh Masa,Kelantan,22 days ago,"Content Marketing, Copywriting",kelantan-all
https://www.maukerja.my/job/26213583-content-marketing-specialist,26213583,Content Marketing Specialist,Faiz Ilman Solution,"MYR2,000 - MYR3,500 Sebulan",Sepenuh Masa,Kelantan,22 days ago,"Content Marketing, Copywriting",kelantan-all
https://www.maukerja.my/job/26213584-social-media-marketing-specialist,26213584,Social Media Marketing Specialist,Faiz Ilman Solution,"MYR2,000 - MYR3,500 Sebulan",Sepenuh Masa,Kelantan,22 days ago,"Content Marketing, Copywriting",kelantan-all
https://www.maukerja.my/job/26224828-sales-group-leader,26224828,Sales Group Leader,Swang Chai Chuan Sdn Bhd,"MYR2,300 - MYR2,700 Sebulan",Sepenuh Masa,"Gua Musang, Kelantan",21 days ago,"Sales Management, Team Leadership",kelantan-all
https://www.maukerja.my/job/26206420-account-executive,26206420,Account Executive,Faiz Ilman Solution,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,Kelantan,23 days ago,"Sales Management, Customer Relationship Management (CRM)",kelantan-all
https://www.maukerja.my/job/26213580-digital-marketing-specialist,26213580,Digital Marketing Specialist,Faiz Ilman Solution,"MYR2,000 - MYR3,500 Sebulan",Sepenuh Masa,Kelantan,22 days ago,"Content Marketing, Copywriting",kelantan-all
https://www.maukerja.my/job/26224827-sales-operations-supervisor,26224827,Sales Operations Supervisor,Swang Chai Chuan Sdn Bhd,"MYR2,300 - MYR2,700 Sebulan",Sepenuh Masa,"Gua Musang, Kelantan",21 days ago,"Sales Management, Team Leadership",kelantan-all
