url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kota-kinabalu-all
https://www.maukerja.my/job/26443748-pembantu-percukaian,26443748,Pembantu Percukaian,CTW Consultants,"MYR1,700 - MYR2,700 Sebulan",Sepenuh Masa,"Kota Kinabalu, Sabah",21 hours ago,"Tax Preparation, Client Communication",kota-kinabalu-all
https://www.maukerja.my/job/26443745-audit-associate,26443745,Audit Associate,CTW Consultants,"MYR3,200 - MYR4,200 Sebulan",Sepenuh Masa,"Kota Kinabalu, Sabah",21 hours ago,"audit, accounting",kota-kinabalu-all
https://www.maukerja.my/job/26443749-kakitangan-akaun-simpan-kira,26443749,Kakitangan Akaun / Simpan Kira,CTW Consultants,"MYR1,700 - MYR2,700 Sebulan",Sepenuh Masa,"Kota Kinabalu, Sabah",21 hours ago,"Bookkeeping, Accounts Payable",kota-kinabalu-all
https://www.maukerja.my/job/26454860-pharmacist-pharmacy,26454860,"Pharmacist, Pharmacy",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kota Kinabalu, Sabah",16 hours ago,Pharmacy,kota-kinabalu-all
https://www.maukerja.my/job/26454694-medical-interpreter-translator-health-tourism-chinese-indonesian-korean,26454694,"Medical Interpreter & Translator, Health Tourism (Chinese/ Indonesian/ Korean)",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kota Kinabalu, Sabah",16 hours ago,Interpretation,kota-kinabalu-all
https://www.maukerja.my/job/26454588-state-registered-nurse-medical-ward,26454588,"State Registered Nurse, Medical Ward",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kota Kinabalu, Sabah",16 hours ago,nurse,kota-kinabalu-all
https://www.maukerja.my/job/15678065-delivery-rider-part-time-dominos-pizza-dsulaman,15678065,Delivery Rider (Part Time) ( Domino's Pizza D'Sulaman ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kota Kinabalu, Sabah",2 months ago,Any Skill,kota-kinabalu-all
https://www.maukerja.my/job/15678064-delivery-rider-part-time-dominos-pizza-riverson,15678064,Delivery Rider (Part Time) ( Domino's Pizza Riverson ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kota Kinabalu, Sabah",2 months ago,Any Skill,kota-kinabalu-all
https://www.maukerja.my/job/15678045-crew-member-full-time-dominos-pizza-riverson,15678045,Crew Member (Full Time) ( Domino's Pizza Riverson ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Kota Kinabalu, Sabah",2 months ago,Any Skill,kota-kinabalu-all
https://www.maukerja.my/job/15678046-crew-member-full-time-dominos-pizza-dsulaman,15678046,Crew Member (Full Time) ( Domino's Pizza D'Sulaman ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Kota Kinabalu, Sabah",2 months ago,Any Skill,kota-kinabalu-all
https://www.maukerja.my/job/15678083-crew-member-part-time-dominos-pizza-riverson,15678083,Crew Member (Part Time) ( Domino's Pizza Riverson ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Kota Kinabalu, Sabah",2 months ago,Any Skill,kota-kinabalu-all
https://www.maukerja.my/job/15678084-crew-member-part-time-dominos-pizza-dsulaman,15678084,Crew Member (Part Time) ( Domino's Pizza D'Sulaman ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Kota Kinabalu, Sabah",2 months ago,Any Skill,kota-kinabalu-all
https://www.maukerja.my/job/13086998-barista-mcdonalds-kkia-airside,13086998,Barista ( McDonald's KKIA Airside ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Kota Kinabalu, Sabah",2 months ago,Any Skill,kota-kinabalu-all
https://www.maukerja.my/job/26429626-sales-marketing-executive,26429626,Sales & Marketing Executive,Artworld Technology Sdn Bhd,"MYR3,000 - MYR10,000 Sebulan",Sepenuh Masa,"Kota Kinabalu, Sabah",a day ago,N/A,kota-kinabalu-all
https://www.maukerja.my/job/26266664-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-shell-jalan-sulaman,26266664,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Shell Jalan Sulaman ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",16 days ago,Any Skill,kota-kinabalu-all
https://www.maukerja.my/job/26266857-kru-kasual-hari-raya-haji-mcdonalds-kkia-airside,26266857,Kru Kasual - Hari Raya Haji ( McDonald's KKIA Airside ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",16 days ago,Any Skill,kota-kinabalu-all
https://www.maukerja.my/job/26266840-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-bandar-sierra-petronas-station,26266840,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu lalu Bandar Sierra Petronas Station ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",16 days ago,Any Skill,kota-kinabalu-all
https://www.maukerja.my/job/26266668-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-jalan-sulaman,26266668,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Jalan Sulaman ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",16 days ago,Any Skill,kota-kinabalu-all
https://www.maukerja.my/job/26266896-kru-kasual-hari-raya-haji-mcdonalds-pss-jalan-lintas-dt,26266896,Kru Kasual - Hari Raya Haji ( McDonald’s PSS Jalan Lintas DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",16 days ago,Any Skill,kota-kinabalu-all
https://www.maukerja.my/job/26266715-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-beverly-hills,26266715,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Beverly Hills ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kota Kinabalu, Sabah",16 days ago,Any Skill,kota-kinabalu-all
