url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kuala-pilah-all
https://www.maukerja.my/job/26266717-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-kuala-pilah,26266717,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Kuala Pilah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Kuala Pilah, Negeri Sembilan",16 days ago,Any Skill,kuala-pilah-all
https://www.maukerja.my/job/25911275-cafe-supervisor,25911275,Café Supervisor,Melang Inn Sdn Bhd (Hotel),"MYR2,000 - MYR2,500 Sebulan",Sepenuh Masa,"Kuala Pilah, Negeri Sembilan",2 months ago,"Supervisory experience, Strong leadership and team management skills",kuala-pilah-all
https://www.maukerja.my/job/25911274-technician,25911274,Technician,Melang Inn Sdn Bhd (Hotel),"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Kuala Pilah, Negeri Sembilan",2 months ago,"Technical Support, Troubleshooting",kuala-pilah-all
https://www.maukerja.my/job/25911277-fb-cost-purchasing-executive,25911277,F&B Cost & Purchasing Executive,Melang Inn Sdn Bhd (Hotel),"MYR1,800 - MYR2,000 Sebulan",Sepenuh Masa,"Kuala Pilah, Negeri Sembilan",2 months ago,"Cost Control, Purchasing",kuala-pilah-all
https://www.maukerja.my/job?jobId=26437622&slug=pembantu-kedai-packing,N/A,Pembantu Kedai - Packing,Jun Seng Trading,"MYR1,700 - MYR4,000 Sebulan",Sepenuh Masa,Kuala Pilah,3 days ago,N/A,kuala-pilah-all
https://www.maukerja.my/job/24282363-graduate-employability-program-mcdonalds-pandu-lalu-kuala-pilah,24282363,Graduate Employability Program ( McDonald’s Pandu Lalu Kuala Pilah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Kuala Pilah, Negeri Sembilan",9 months ago,Any Skill,kuala-pilah-all
https://www.maukerja.my/job/22955957-technical-assistant-mcdonalds-pandu-lalu-kuala-pilah,22955957,Technical Assistant ( McDonald’s Pandu Lalu Kuala Pilah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Kuala Pilah, Negeri Sembilan",a year ago,Any Skill,kuala-pilah-all
https://www.maukerja.my/job/1527426-ejen-penghantar-makanan-mcdonalds-pandu-lalu-kuala-pilah,1527426,Ejen Penghantar Makanan ( McDonald’s Pandu Lalu Kuala Pilah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Kuala Pilah, Negeri Sembilan",5 years ago,Any Skill,kuala-pilah-all
https://www.maukerja.my/job/2313390-juruteknik-mcdonalds-pandu-lalu-kuala-pilah,2313390,JuruTeknik ( McDonald’s Pandu Lalu Kuala Pilah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,"Kuala Pilah, Negeri Sembilan",4 years ago,Any Skill,kuala-pilah-all
https://www.maukerja.my/job/1606310-kru-restaurant-mcdonalds-pandu-lalu-kuala-pilah,1606310,Kru Restaurant ( McDonald’s Pandu Lalu Kuala Pilah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Kuala Pilah, Negeri Sembilan",5 years ago,Any Skill,kuala-pilah-all
https://www.maukerja.my/job/19894902-general-worker-pekerja-am-mcdonalds-pandu-lalu-kuala-pilah,19894902,General Worker (Pekerja AM) ( McDonald’s Pandu Lalu Kuala Pilah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Kuala Pilah, Negeri Sembilan",2 years ago,Any Skill,kuala-pilah-all
