url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kuantan-all
https://www.maukerja.my/job/26451599-specialist-nurse-operation-theatre,26451599,"Specialist Nurse, Operation Theatre",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kuantan, Pahang",a day ago,nurse,kuantan-all
https://www.maukerja.my/job/26451651-state-registered-nurse-orthopaedic-ward,26451651,"State Registered Nurse, Orthopaedic Ward",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kuantan, Pahang",a day ago,nurse,kuantan-all
https://www.maukerja.my/job/26451510-assistant-cashier,26451510,"Assistant, Cashier",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kuantan, Pahang",a day ago,cashier,kuantan-all
https://www.maukerja.my/job/15678306-delivery-rider-part-time-dominos-pizza-tun-ismail,15678306,Delivery Rider (Part Time) ( Domino's Pizza Tun Ismail ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kuantan, Pahang",2 months ago,Any Skill,kuantan-all
https://www.maukerja.my/job/21950326-crew-member-part-time-dominos-pizza-indera-mahkota,21950326,Crew Member (Part Time) ( Domino's Pizza Indera Mahkota ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Kuantan, Pahang",2 months ago,Any Skill,kuantan-all
https://www.maukerja.my/job/15678307-crew-member-part-time-dominos-pizza-tun-ismail,15678307,Crew Member (Part Time) ( Domino's Pizza Tun Ismail ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Kuantan, Pahang",2 months ago,Any Skill,kuantan-all
https://www.maukerja.my/job/15678305-crew-member-full-time-dominos-pizza-tun-ismail,15678305,Crew Member (Full Time) ( Domino's Pizza Tun Ismail ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Kuantan, Pahang",2 months ago,Any Skill,kuantan-all
https://www.maukerja.my/job/15678304-delivery-rider-full-time-dominos-pizza-tun-ismail,15678304,Delivery Rider (Full Time) ( Domino's Pizza Tun Ismail ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kuantan, Pahang",2 months ago,Any Skill,kuantan-all
https://www.maukerja.my/job/26418557-sales-administrator,26418557,Sales Administrator,Merison (M) Sdn Bhd,"MYR2,300 - MYR2,500 Sebulan",Sepenuh Masa,"Kuantan, Pahang",4 days ago,Sales Administration,kuantan-all
