url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kuching-all
https://www.maukerja.my/job/26454893-care-assistant-paediatric-ward-3,26454893,"Care Assistant, Paediatric Ward-3",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kuching, Sarawak",2 hours ago,Healthcare,kuching-all
https://www.maukerja.my/job/26454883-pharmacy-technician-pharmacy,26454883,"Pharmacy Technician, Pharmacy",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kuching, Sarawak",2 hours ago,Pharmacy,kuching-all
https://www.maukerja.my/job/26451225-retail-department-leader-kkv-bintulu-have-retail-team-lead-experience,26451225,Retail Department Leader - KKV Bintulu (Have Retail Team Lead Experience),KKV Supply Chain Sdn Bhd,"MYR2,800 - MYR4,500 Sebulan",Sepenuh Masa,"Kuching, Sarawak",10 hours ago,"Retail Management, Inventory Control",kuching-all
https://www.maukerja.my/job/26451413-clinic-receptionist-consultant-clinic,26451413,"Clinic Receptionist, Consultant Clinic",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kuching, Sarawak",10 hours ago,"receptionist, Customer Service",kuching-all
https://www.maukerja.my/job/26406394-retail-department-leader-kkv-kuching-have-retail-team-lead-experience,26406394,Retail Department Leader - KKV Kuching (Have Retail Team Lead Experience),KKV Supply Chain Sdn Bhd,Undisclosed,Sepenuh Masa,"Kuching, Sarawak",11 hours ago,"Retail Management, Inventory Control",kuching-all
https://www.maukerja.my/job/17937297-delivery-rider-part-time-dominos-pizza-jalan-green,17937297,Delivery Rider (Part Time) ( Domino's Pizza Jalan Green ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kuching, Sarawak",2 months ago,Any Skill,kuching-all
https://www.maukerja.my/job/17937298-delivery-rider-part-time-dominos-pizza-tabuan-tranquility,17937298,Delivery Rider (Part Time) ( Domino's Pizza Tabuan Tranquility ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kuching, Sarawak",2 months ago,Any Skill,kuching-all
https://www.maukerja.my/job/17937299-delivery-rider-part-time-dominos-pizza-metrocity,17937299,Delivery Rider (Part Time) ( Domino's Pizza Metrocity ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kuching, Sarawak",2 months ago,Any Skill,kuching-all
https://www.maukerja.my/job/17937296-crew-member-full-time-dominos-pizza-metrocity,17937296,Crew Member (Full Time) ( Domino's Pizza Metrocity ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Kuching, Sarawak",2 months ago,Any Skill,kuching-all
