url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kuching-all
https://www.maukerja.my/job/26451225-retail-department-leader-kkv-bintulu-have-retail-team-lead-experience,26451225,Retail Department Leader - KKV Bintulu (Have Retail Team Lead Experience),KKV Supply Chain Sdn Bhd,"MYR2,800 - MYR4,500 Sebulan",Sepenuh Masa,"Kuching, Sarawak",an hour ago,"Retail Management, Inventory Control",kuching-all
https://www.maukerja.my/job/26454893-care-assistant-paediatric-ward-3,26454893,"Care Assistant, Paediatric Ward-3",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kuching, Sarawak",15 hours ago,Healthcare,kuching-all
https://www.maukerja.my/job/26454883-pharmacy-technician-pharmacy,26454883,"Pharmacy Technician, Pharmacy",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kuching, Sarawak",15 hours ago,Pharmacy,kuching-all
https://www.maukerja.my/job/26451413-clinic-receptionist-consultant-clinic,26451413,"Clinic Receptionist, Consultant Clinic",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kuching, Sarawak",a day ago,"receptionist, Customer Service",kuching-all
https://www.maukerja.my/job/26440509-pembantu-analisis-data-pelaporan,26440509,Pembantu Analisis Data & Pelaporan,Lea Holdings (M) Sdn Bhd,"MYR1,800 - MYR2,300 Sebulan",Sepenuh Masa,"Kuching, Sarawak",2 days ago,"Data Analysis, Reporting",kuching-all
https://www.maukerja.my/job/26426976-restaurant-manager,26426976,Restaurant Manager,Souper Tang Group Sdn. Bhd.,"MYR4,000 - MYR7,000 Sebulan",Sepenuh Masa,"Kuching, Sarawak",3 days ago,"Leadership, Customer Service",kuching-all
https://www.maukerja.my/job/26406590-logistics-coordinator,26406590,Logistics Coordinator,Aicha Food My Sdn. Bhd.,"MYR2,000 - MYR3,500 monthly",Sepenuh Masa,"Kuching, Sarawak",5 days ago,"Logistics, Data Warehouse",kuching-all
https://www.maukerja.my/job/26406592-supply-chain-analyst,26406592,Supply Chain Analyst,Aicha Food My Sdn. Bhd.,"MYR2,000 - MYR3,500 monthly",Sepenuh Masa,"Kuching, Sarawak",5 days ago,"Logistics, Data Warehouse",kuching-all
https://www.maukerja.my/job/26406593-inventory-control-specialist,26406593,Inventory Control Specialist,Aicha Food My Sdn. Bhd.,"MYR2,000 - MYR3,500 monthly",Sepenuh Masa,"Kuching, Sarawak",5 days ago,"Logistics, Data Warehouse",kuching-all
https://www.maukerja.my/job/26406594-operations-coordinator,26406594,Operations Coordinator,Aicha Food My Sdn. Bhd.,"MYR2,000 - MYR3,500 monthly",Sepenuh Masa,"Kuching, Sarawak",5 days ago,"Logistics, Data Warehouse",kuching-all
https://www.maukerja.my/job/26406591-warehouse-supervisor,26406591,Warehouse Supervisor,Aicha Food My Sdn. Bhd.,"MYR2,000 - MYR3,500 monthly",Sepenuh Masa,"Kuching, Sarawak",5 days ago,"Logistics, Data Warehouse",kuching-all
https://www.maukerja.my/job/26406579-logistics-and-warehouse-executive,26406579,Logistics and Warehouse Executive,Aicha Food My Sdn. Bhd.,"MYR2,000 - MYR3,500 monthly",Sepenuh Masa,"Kuching, Sarawak",3 days ago,"Logistics, Data Warehouse",kuching-all
