url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,labuan-all
https://www.maukerja.my/job/15678068-delivery-rider-part-time-dominos-pizza-labuan,15678068,Delivery Rider (Part Time) ( Domino's Pizza Labuan ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Labuan, Sabah",2 months ago,Any Skill,labuan-all
https://www.maukerja.my/job/15678049-crew-member-full-time-dominos-pizza-labuan,15678049,Crew Member (Full Time) ( Domino's Pizza Labuan ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Labuan, Sabah",2 months ago,Any Skill,labuan-all
https://www.maukerja.my/job/15678087-crew-member-part-time-dominos-pizza-labuan,15678087,Crew Member (Part Time) ( Domino's Pizza Labuan ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Labuan, Sabah",2 months ago,Any Skill,labuan-all
https://www.maukerja.my/job/26266812-kru-kasual-hari-raya-haji-mcdonalds-labuan-sf-shop-front,26266812,Kru Kasual - Hari Raya Haji ( McDonald’s Labuan (SF-Shop front) ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Labuan, Sabah",16 days ago,Any Skill,labuan-all
https://www.maukerja.my/job/26266667-kru-kasual-hari-raya-haji-mcdonalds-labuan-airport,26266667,Kru Kasual - Hari Raya Haji ( McDonald’s Labuan Airport ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Labuan, Sabah",16 days ago,Any Skill,labuan-all
https://www.maukerja.my/job?jobId=26429931&slug=materials-management-lead,N/A,Materials Management Lead,Shell,Undisclosed,Sepenuh Masa,Labuan,3 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26422091&slug=industrial-trainee-inventory-logistics,N/A,Industrial Trainee - Inventory - Logistics,Deleum Group,Undisclosed,Sepenuh Masa,Labuan,4 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26410912&slug=wce-field-specialist-dpm,N/A,WCE Field Specialist - DPM,SLB,Undisclosed,Sepenuh Masa,Labuan,5 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26405020&slug=associate-captive-administration-based-in-labuan,N/A,"Associate, Captive Administration (based in Labuan)",Howden Insurance Brokers Limited,Undisclosed,Sepenuh Masa,Wilayah Persekutuan Labuan,5 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26390023&slug=technical-assistant,N/A,Technical Assistant,TKR Engineering,Undisclosed,Sepenuh Masa,Labuan,8 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26389933&slug=insurance-accounts-settlements-coordinator,N/A,Insurance Accounts - Settlements Coordinator,PolicyStreet,Undisclosed,Sepenuh Masa,Labuan,8 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26380776&slug=project-controller-labuan-ft,N/A,Project Controller (Labuan F.T.),Pemborong Maju Bersatu Sdn Bhd,"MYR10,000 - MYR12,999 Sebulan",Sepenuh Masa,Labuan,9 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26379661&slug=project-controller-labuan-ft,N/A,Project Controller (Labuan F.T.),PEMBORONG MAJU BERSATU SDN BHD,"MYR10,000 - MYR14,000 Sebulan",Sepenuh Masa,Labuan,9 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26375649&slug=engineer,N/A,Engineer,Synigence Global Services,Undisclosed,Sepenuh Masa,Wilayah Persekutuan Labuan,9 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26364836&slug=maintenance-engineer,N/A,Maintenance Engineer,DELEUM,Undisclosed,Sepenuh Masa,Wilayah Persekutuan Labuan,10 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26354987&slug=social-media-marketing-executive,N/A,Social Media Marketing Executive,Private Company,"MYR700 - MYR2,500 Sebulan",Sepenuh Masa,Labuan,11 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26354986&slug=social-media-marketing-executive,N/A,Social Media Marketing Executive,Private Company,"MYR700 - MYR2,500 Sebulan",Sepenuh Masa,Labuan,11 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26354982&slug=office-administrator,N/A,Office Administrator,Private Company,"MYR1,000 - MYR1,000 Sebulan",Sepenuh Masa,Labuan,11 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26354981&slug=office-administrator,N/A,Office Administrator,Private Company,"MYR1,000 - MYR1,000 Sebulan",Sepenuh Masa,Labuan,11 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26350303&slug=engineer-sales-electrical-instrumentations,N/A,"Engineer, Sales - Electrical - Instrumentations",Sime Darby Industrial Sdn Bhd,Undisclosed,Sepenuh Masa,Wilayah Persekutuan Labuan,11 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26338690&slug=payroll-and-c-b-lead,N/A,Payroll and C-B Lead,Labuan Shipyard And Engineering,Undisclosed,Sepenuh Masa,Labuan,12 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26337739&slug=human-resources-executive-based-labuan-ft,N/A,HUMAN RESOURCES EXECUTIVE (BASED LABUAN FT),Nuri Cerah,Undisclosed,Sepenuh Masa,Labuan,12 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26332567&slug=analyst-finance-admin,N/A,"Analyst, Finance - Admin",Vena Group,Undisclosed,Sepenuh Masa,Wilayah Persekutuan Labuan,12 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26309761&slug=admin-assistant,N/A,Admin Assistant,Company Confidential,Undisclosed,Sepenuh Masa,Labuan,14 days ago,N/A,labuan-all
https://www.maukerja.my/job?jobId=26309488&slug=technical-finance-support-executive,N/A,Technical - Finance Support Executive,Challenge Group Underwriters & Managers (L) Inc,Undisclosed,Sepenuh Masa,Labuan,14 days ago,N/A,labuan-all
