url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,langkawi-all
https://www.maukerja.my/job/26266804-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-langkawi-kuah,26266804,Kru Kasual - Hari Raya Haji ( McDonald's Pandu Lalu Langkawi Kuah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Langkawi, Kedah",16 days ago,Any Skill,langkawi-all
https://www.maukerja.my/job/26266675-kru-kasual-hari-raya-haji-mcdonalds-langkawi,26266675,Kru Kasual - Hari Raya Haji ( McDonald's Langkawi ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Langkawi, Kedah",16 days ago,Any Skill,langkawi-all
https://www.maukerja.my/job/26266824-kru-kasual-hari-raya-haji-mcdonalds-underwater-world-langkawi,26266824,Kru Kasual - Hari Raya Haji ( McDonald's Underwater world Langkawi ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Langkawi, Kedah",16 days ago,Any Skill,langkawi-all
https://www.maukerja.my/job/26351223-pembantu-jualan,26351223,Pembantu Jualan,Gans Warehouse Langkawi Sdn Bhd,"MYR2,000 - MYR2,200 monthly",Sepenuh Masa,"Langkawi, Kedah",11 days ago,"Customer Service, Retail Sales",langkawi-all
https://www.maukerja.my/job/24489342-service-crew,24489342,Service Crew,Frank Fun Sdn Bhd,"MYR1,750 - MYR2,200 Sebulan",Sepenuh Masa,"Langkawi, Kedah",14 minutes ago,"Customer Service, Communication Skills",langkawi-all
https://www.maukerja.my/job/24282452-graduate-employability-program-mcdonalds-underwater-world-langkawi,24282452,Graduate Employability Program ( McDonald's Underwater world Langkawi ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Langkawi, Kedah",9 months ago,Any Skill,langkawi-all
https://www.maukerja.my/job/24282434-graduate-employability-program-mcdonalds-pandu-lalu-langkawi-kuah,24282434,Graduate Employability Program ( McDonald's Pandu Lalu Langkawi Kuah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Langkawi, Kedah",9 months ago,Any Skill,langkawi-all
https://www.maukerja.my/job/24282331-graduate-employability-program-mcdonalds-langkawi,24282331,Graduate Employability Program ( McDonald's Langkawi ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Langkawi, Kedah",9 months ago,Any Skill,langkawi-all
https://www.maukerja.my/job/22956037-technical-assistant-mcdonalds-underwater-world-langkawi,22956037,Technical Assistant ( McDonald's Underwater world Langkawi ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Langkawi, Kedah",a year ago,Any Skill,langkawi-all
https://www.maukerja.my/job/22956020-technical-assistant-mcdonalds-pandu-lalu-langkawi-kuah,22956020,Technical Assistant ( McDonald's Pandu Lalu Langkawi Kuah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Langkawi, Kedah",a year ago,Any Skill,langkawi-all
https://www.maukerja.my/job/22955926-technical-assistant-mcdonalds-langkawi,22955926,Technical Assistant ( McDonald's Langkawi ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Langkawi, Kedah",a year ago,Any Skill,langkawi-all
https://www.maukerja.my/job/1551077-kru-restaurant-mcdonalds-langkawi,1551077,Kru Restaurant ( McDonald's Langkawi ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Langkawi, Kedah",5 years ago,Any Skill,langkawi-all
https://www.maukerja.my/job/2505729-barista-mcdonalds-pandu-lalu-langkawi-kuah,2505729,Barista ( McDonald's Pandu Lalu Langkawi Kuah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Langkawi, Kedah",4 years ago,Any Skill,langkawi-all
https://www.maukerja.my/job/2505731-kru-restaurant-mcdonalds-pandu-lalu-langkawi-kuah,2505731,Kru Restaurant ( McDonald's Pandu Lalu Langkawi Kuah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Langkawi, Kedah",4 years ago,Any Skill,langkawi-all
https://www.maukerja.my/job/2505733-guest-experience-leader-mcdonalds-pandu-lalu-langkawi-kuah,2505733,Guest Experience Leader ( McDonald's Pandu Lalu Langkawi Kuah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,600 Sebulan",N/A,"Langkawi, Kedah",4 years ago,Any Skill,langkawi-all
