url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,manjung-all
https://www.maukerja.my/job/26266652-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-sri-manjung-1,26266652,Kru Kasual - Hari Raya Haji ( McDonald's Pandu Lalu Sri Manjung 1 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,Perak,16 days ago,Any Skill,manjung-all
https://www.maukerja.my/job/26266617-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-sri-manjung-2,26266617,Kru Kasual - Hari Raya Haji ( McDonald's Pandu Lalu Sri Manjung 2 ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,Perak,16 days ago,Any Skill,manjung-all
https://www.maukerja.my/job?jobId=26458192&slug=account-executive-full-set-acc-mnc-manufacturer-lumut,N/A,Account Executive - Full Set Acc (MNC Manufacturer) Lumut,AG Staffing Malaysia,"MYR4,000 - MYR6,000 Sebulan",Sepenuh Masa,Seri Manjung,21 hours ago,N/A,manjung-all
https://www.maukerja.my/job?jobId=26458190&slug=account-executive-full-set-acc-mnc-manufacturer-lumut,N/A,Account Executive- Full Set Acc (MNC Manufacturer) Lumut,AG Staffing Malaysia,"MYR4,000 - MYR6,000 Sebulan",Sepenuh Masa,Seri Manjung,21 hours ago,N/A,manjung-all
https://www.maukerja.my/job?jobId=26457451&slug=event-crew-executive,N/A,EVENT CREW EXECUTIVE,SIMANA NETWORK SDN BHD,"MYR1,700 - MYR2,500 Sebulan","Latihan Industri,",Seri Manjung,21 hours ago,N/A,manjung-all
https://www.maukerja.my/job?jobId=26432676&slug=assistant-finance-admin-sri-manjung,N/A,"Assistant, Finance Admin (Sri Manjung)",Lagenda Properties Berhad,"MYR2,000 - MYR2,500 Sebulan",Sepenuh Masa,Seri Manjung,3 days ago,N/A,manjung-all
https://www.maukerja.my/job?jobId=26432678&slug=assistant-administration-at-bbsap-clubhouse,N/A,"Assistant, Administration at BBSAP Clubhouse",Lagenda Properties Berhad,"MYR1,700 - MYR2,300 Sebulan",Sepenuh Masa,Seri Manjung,3 days ago,N/A,manjung-all
https://www.maukerja.my/job?jobId=26399021&slug=graphic-design-cum-content-creator,N/A,Graphic Design cum Content Creator,HRPROXMY,"MYR1,700 - MYR2,000 Sebulan",Sepenuh Masa,Seri Manjung,7 days ago,N/A,manjung-all
https://www.maukerja.my/job?jobId=26380636&slug=executive-business-channels-personal-banker-associate,N/A,Executive - Business Channels (Personal Banker Associate),Hong Leong Bank,Undisclosed,Sepenuh Masa,Seri Manjung,9 days ago,N/A,manjung-all
https://www.maukerja.my/job?jobId=26380635&slug=executive-business-channels-personal-banker-associate,N/A,Executive - Business Channels (Personal Banker Associate),Hong Leong Bank,Undisclosed,Sepenuh Masa,Seri Manjung,9 days ago,N/A,manjung-all
