url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,melaka-all
https://www.maukerja.my/job/26454321-quality-assurance-qa,26454321,Quality Assurance (QA),Lim Weng Wah Brothers Printing Press Sdn Bhd,"MYR2,000 - MYR2,300 Sebulan",Sepenuh Masa,Melaka,17 hours ago,"Quality Assurance, Defect Tracking",melaka-all
https://www.maukerja.my/job/26454277-procurement-purchasing-executive,26454277,Procurement / Purchasing Executive,LK Global Engineering Sdn. Bhd.,"MYR2,800 - MYR3,500 Sebulan",Sepenuh Masa,Melaka,18 hours ago,"Procurement, Purchasing",melaka-all
https://www.maukerja.my/job/21950286-crew-member-part-time-dominos-pizza-bukit-baru,21950286,Crew Member (Part Time) ( Domino's Pizza Bukit Baru ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,Melaka,2 months ago,Any Skill,melaka-all
https://www.maukerja.my/job/21952091-crew-member-full-time-dominos-pizza-bukit-baru,21952091,Crew Member (Full Time) ( Domino's Pizza Bukit Baru ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,Melaka,2 months ago,Any Skill,melaka-all
https://www.maukerja.my/job/13085311-barista-mcdonalds-pandu-lalu-jasin,13085311,Barista ( McDonald's Pandu Lalu Jasin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Jasin, Melaka",2 months ago,Any Skill,melaka-all
https://www.maukerja.my/job/26430416-territory-sales-executive,26430416,Territory Sales Executive,Agensi Pekerjaan Dream Career Sdn Bhd,"MYR3,000 - MYR5,500 Sebulan",Sepenuh Masa,"Ayer Keroh, Melaka",3 days ago,"Sales, Sales Techniques",melaka-all
https://www.maukerja.my/job/26430412-business-development-executive,26430412,Business Development Executive,Agensi Pekerjaan Dream Career Sdn Bhd,"MYR3,000 - MYR5,500 Sebulan",Sepenuh Masa,"Ayer Keroh, Melaka",3 days ago,"Sales, Sales Techniques",melaka-all
https://www.maukerja.my/job/26430413-junior-sales-executive,26430413,Junior Sales Executive,Agensi Pekerjaan Dream Career Sdn Bhd,"MYR3,000 - MYR5,500 Sebulan",Sepenuh Masa,"Ayer Keroh, Melaka",3 days ago,"Sales, Sales Techniques",melaka-all
https://www.maukerja.my/job/26430415-field-sales-executive,26430415,Field Sales Executive,Agensi Pekerjaan Dream Career Sdn Bhd,"MYR3,000 - MYR5,500 Sebulan",Sepenuh Masa,"Ayer Keroh, Melaka",3 days ago,"Sales, Sales Techniques",melaka-all
https://www.maukerja.my/job/26430417-client-relationship-executive,26430417,Client Relationship Executive,Agensi Pekerjaan Dream Career Sdn Bhd,"MYR3,000 - MYR5,500 Sebulan",Sepenuh Masa,"Ayer Keroh, Melaka",3 days ago,"Sales, Sales Techniques",melaka-all
https://www.maukerja.my/job/26427058-claims-specialist,26427058,Claims Specialist,Merison (M) Sdn Bhd,"MYR1,900 - MYR2,000 Sebulan",Sepenuh Masa,Melaka,3 days ago,"Finance, Claims Processing",melaka-all
