url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,muar-all
https://www.maukerja.my/job/26428342-marketing-executive,26428342,Marketing Executive,Aestech Pro Sdn Bhd,"MYR2,500 - MYR4,000 Sebulan",Sepenuh Masa,"Muar, Johor",3 days ago,"Brand Awareness, Marketing Strategy",muar-all
https://www.maukerja.my/job/26375497-penasihat-jualan,26375497,Penasihat Jualan,Super Ceramic Tiles & Design Sdn Bhd,"MYR1,800 - MYR2,200 monthly",Sepenuh Masa,"Muar, Johor",8 days ago,"Sales, Customer Service",muar-all
https://www.maukerja.my/job/26385055-penasihat-jualan,26385055,Penasihat Jualan,Super Ceramic Tiles & Design Sdn Bhd,"MYR1,800 - MYR2,200 Sebulan",Sepenuh Masa,"Muar, Johor",8 days ago,"Sales, Customer Service",muar-all
https://www.maukerja.my/job/26375499-sales-executive-tc-trucks-sales-sdn-bhd-johor-bahru,26375499,"SALES EXECUTIVE (TC TRUCKS SALES SDN BHD, JOHOR BAHRU)",Edaran Tan Chong Motor (Selatan) Sdn Bhd,"MYR1,700 - MYR5,000 Sebulan",Kontrak,"Muar, Johor",9 days ago,Sales,muar-all
https://www.maukerja.my/job/26266886-kru-kasual-hari-raya-haji-mcdonalds-muar-dt,26266886,Kru Kasual - Hari Raya Haji ( McDonald’s Muar DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Muar, Johor",16 days ago,Any Skill,muar-all
https://www.maukerja.my/job/26266885-kru-kasual-hari-raya-haji-mcdonalds-wetex-muar,26266885,Kru Kasual - Hari Raya Haji ( McDonald’s Wetex Muar ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Muar, Johor",16 days ago,Any Skill,muar-all
https://www.maukerja.my/job/26088016-eksekutif-jualan,26088016,Eksekutif Jualan,Lead Solution Management Sdn Bhd,"MYR3,000 - MYR8,000 Sebulan",Sepenuh Masa,"Muar, Johor",42 minutes ago,"Communication, Sales Strategy",muar-all
https://www.maukerja.my/job/26124548-pembantu-cukai,26124548,Pembantu Cukai,SC & Associates Plt,"MYR1,700 - MYR4,000 Sebulan",Latihan Industri,"Muar, Johor",4 days ago,"Tax Law Knowledge, Microsoft Excel",muar-all
https://www.maukerja.my/job/26124554-pembantu-cukai,26124554,Pembantu Cukai,SC & Associates Plt,"MYR1,700 - MYR4,000 Sebulan",Latihan Industri,"Muar, Johor",4 days ago,"Tax Law Knowledge, Microsoft Excel",muar-all
