url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pahang-all
https://www.maukerja.my/job/26451599-specialist-nurse-operation-theatre,26451599,"Specialist Nurse, Operation Theatre",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kuantan, Pahang",a day ago,nurse,pahang-all
https://www.maukerja.my/job/26451651-state-registered-nurse-orthopaedic-ward,26451651,"State Registered Nurse, Orthopaedic Ward",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kuantan, Pahang",a day ago,nurse,pahang-all
https://www.maukerja.my/job/26451510-assistant-cashier,26451510,"Assistant, Cashier",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kuantan, Pahang",a day ago,cashier,pahang-all
https://www.maukerja.my/job/26367108-account-assistant,26367108,Account Assistant,Lian Gang Logistics Sdn Bhd,"MYR2,600 - MYR3,200 Sebulan",Sepenuh Masa,"Balok, Pahang",33 minutes ago,"Accounting Principles, Accounting Software",pahang-all
https://www.maukerja.my/job/15678306-delivery-rider-part-time-dominos-pizza-tun-ismail,15678306,Delivery Rider (Part Time) ( Domino's Pizza Tun Ismail ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kuantan, Pahang",2 months ago,Any Skill,pahang-all
https://www.maukerja.my/job/21950329-crew-member-part-time-dominos-pizza-bentong,21950329,Crew Member (Part Time) ( Domino's Pizza Bentong ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Bentong, Pahang",2 months ago,Any Skill,pahang-all
https://www.maukerja.my/job/21950326-crew-member-part-time-dominos-pizza-indera-mahkota,21950326,Crew Member (Part Time) ( Domino's Pizza Indera Mahkota ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Kuantan, Pahang",2 months ago,Any Skill,pahang-all
https://www.maukerja.my/job/21950360-crew-member-part-time-dominos-pizza-raub,21950360,Crew Member (Part Time) ( Domino's Pizza Raub ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Raub, Pahang",2 months ago,Any Skill,pahang-all
https://www.maukerja.my/job/21950327-crew-member-part-time-dominos-pizza-temerloh,21950327,Crew Member (Part Time) ( Domino's Pizza Temerloh ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Temerloh, Pahang",2 months ago,Any Skill,pahang-all
https://www.maukerja.my/job/15678307-crew-member-part-time-dominos-pizza-tun-ismail,15678307,Crew Member (Part Time) ( Domino's Pizza Tun Ismail ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Kuantan, Pahang",2 months ago,Any Skill,pahang-all
https://www.maukerja.my/job/15678305-crew-member-full-time-dominos-pizza-tun-ismail,15678305,Crew Member (Full Time) ( Domino's Pizza Tun Ismail ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Kuantan, Pahang",2 months ago,Any Skill,pahang-all
https://www.maukerja.my/job/21950328-crew-member-part-time-dominos-pizza-jerantut,21950328,Crew Member (Part Time) ( Domino's Pizza Jerantut ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Jerantut, Pahang",2 months ago,Any Skill,pahang-all
https://www.maukerja.my/job/20963519-barista-mcdonalds-pandu-lalu-bhp-raub,20963519,Barista ( McDonald’s Pandu Lalu BHP Raub ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Bentong, Pahang",2 months ago,Any Skill,pahang-all
https://www.maukerja.my/job/15678304-delivery-rider-full-time-dominos-pizza-tun-ismail,15678304,Delivery Rider (Full Time) ( Domino's Pizza Tun Ismail ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kuantan, Pahang",2 months ago,Any Skill,pahang-all
https://www.maukerja.my/job/26407223-laboratory-technician,26407223,Laboratory Technician,Ahmad Zaki Resources Berhad,"MYR2,500 - MYR3,500 Sebulan",Kontrak,"Pekan, Pahang",5 days ago,"IMS Knowledge, Test Reporting",pahang-all
https://www.maukerja.my/job/26384669-food-and-beverage-crew,26384669,FOOD AND BEVERAGE CREW,Qaseh Manis Foodsphere Sdn Bhd,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,"Tanah Rata, Pahang",a day ago,"Food preparation, Kitchen management",pahang-all
https://www.maukerja.my/job/26266761-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-cameron-highland,26266761,Kru Kasual - Hari Raya Haji ( McDonald's Pandu Lalu Cameron Highland ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Cameron Highland, Pahang",16 days ago,Any Skill,pahang-all
https://www.maukerja.my/job/26245443-wakil-jualan,26245443,Wakil Jualan,Julie’s Marketing Sdn. Bhd.,"MYR1,700 - MYR2,000 Sebulan",Sepenuh Masa,"Bentong, Pahang",a day ago,"Sales, Sales experience",pahang-all
https://www.maukerja.my/job/26418557-sales-administrator,26418557,Sales Administrator,Merison (M) Sdn Bhd,"MYR2,300 - MYR2,500 Sebulan",Sepenuh Masa,"Kuantan, Pahang",4 days ago,Sales Administration,pahang-all
https://www.maukerja.my/job/26418559-sales-assistant,26418559,Sales Assistant,Merison (M) Sdn Bhd,"MYR2,300 - MYR2,500 Sebulan",Sepenuh Masa,"Kuantan, Pahang",4 days ago,Sales Administration,pahang-all
https://www.maukerja.my/job/26418561-junior-sales-administrator,26418561,Junior Sales Administrator,Merison (M) Sdn Bhd,"MYR2,300 - MYR2,500 Sebulan",Sepenuh Masa,"Kuantan, Pahang",4 days ago,Sales Administration,pahang-all
https://www.maukerja.my/job/26418558-sales-support-specialist,26418558,Sales Support Specialist,Merison (M) Sdn Bhd,"MYR2,300 - MYR2,500 Sebulan",Sepenuh Masa,"Kuantan, Pahang",4 days ago,Sales Administration,pahang-all
https://www.maukerja.my/job/26418560-administrative-assistant-sales,26418560,"Administrative Assistant, Sales",Merison (M) Sdn Bhd,"MYR2,300 - MYR2,500 Sebulan",Sepenuh Masa,"Kuantan, Pahang",4 days ago,Sales Administration,pahang-all
https://www.maukerja.my/job/26366424-senior-me-engineer-pekan-pahang,26366424,"Senior M&E Engineer (Pekan, Pahang)",Ahmad Zaki Resources Berhad,"MYR5,000 - MYR6,500 Sebulan",Kontrak,"Pekan, Pahang",10 days ago,"Mechanical, Electrical Engineering",pahang-all
https://www.maukerja.my/job/26418555-sales-coordinator,26418555,Sales Coordinator,Merison (M) Sdn Bhd,"MYR2,300 - MYR2,500 Sebulan",Sepenuh Masa,"Kuantan, Pahang",2 days ago,Sales Administration,pahang-all
https://www.maukerja.my/job/26266657-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-pekan,26266657,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Pekan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Pekan, Pahang",16 days ago,Any Skill,pahang-all
https://www.maukerja.my/job/26266595-kru-kasual-hari-raya-haji-mcdonalds-mentakab-star-mall-f,26266595,Kru Kasual - Hari Raya Haji ( McDonald’s Mentakab Star Mall(F) ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Mentakab, Pahang",16 days ago,Any Skill,pahang-all
https://www.maukerja.my/job/26407230-bim-modeller,26407230,BIM Modeller,Ahmad Zaki Resources Berhad,"MYR3,000 - MYR4,000 Sebulan",Kontrak,"Kuantan, Pahang",5 days ago,"AutoCAD, Building Information Modeling (BIM)",pahang-all
