url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,papar-all
https://www.maukerja.my/job/15678067-delivery-rider-part-time-dominos-pizza-papar,15678067,Delivery Rider (Part Time) ( Domino's Pizza Papar ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Papar, Sabah",2 months ago,Any Skill,papar-all
https://www.maukerja.my/job/15678086-crew-member-part-time-dominos-pizza-papar,15678086,Crew Member (Part Time) ( Domino's Pizza Papar ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Papar, Sabah",2 months ago,Any Skill,papar-all
https://www.maukerja.my/job/15678048-crew-member-full-time-dominos-pizza-papar,15678048,Crew Member (Full Time) ( Domino's Pizza Papar ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Papar, Sabah",2 months ago,Any Skill,papar-all
https://www.maukerja.my/job/13983462-barista-mcdonalds-pandu-lalu-papar-f,13983462,Barista ( McDonald's Pandu Lalu Papar(F) ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Papar, Sabah",2 months ago,Any Skill,papar-all
https://www.maukerja.my/job/15678025-delivery-rider-full-time-dominos-pizza-papar,15678025,Delivery Rider (Full Time) ( Domino's Pizza Papar ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Papar, Sabah",2 months ago,Any Skill,papar-all
https://www.maukerja.my/job/26266858-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-papar-f,26266858,Kru Kasual - Hari Raya Haji ( McDonald's Pandu Lalu Papar(F) ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Papar, Sabah",16 days ago,Any Skill,papar-all
https://www.maukerja.my/job?jobId=26409281&slug=spa-therapist,N/A,Spa Therapist,Thai Odyssey Management Services Sdn. Bhd.,"MYR2,967 - MYR2,967 Sebulan",Sepenuh Masa,Papar,5 days ago,N/A,papar-all
https://www.maukerja.my/job?jobId=26309520&slug=cafe-manager,N/A,Cafe Manager,GOODCOCO,Undisclosed,Sepenuh Masa,Papar,14 days ago,N/A,papar-all
https://www.maukerja.my/job?jobId=26269234&slug=assistant-branch-manager,N/A,Assistant Branch Manager,U Mobile,Undisclosed,Sepenuh Masa,Papar,16 days ago,N/A,papar-all
https://www.maukerja.my/job?jobId=26237455&slug=site-supervisor-m-e-electrical-plumbing,N/A,Site Supervisor (M-E – Electrical - Plumbing),Alam Kotamas,Undisclosed,Sepenuh Masa,Papar,21 days ago,N/A,papar-all
https://www.maukerja.my/job?jobId=26237355&slug=security,N/A,Security,Alam Kotamas,Undisclosed,Sepenuh Masa,Papar,21 days ago,N/A,papar-all
https://www.maukerja.my/job/24282480-graduate-employability-program-mcdonalds-pandu-lalu-papar,24282480,Graduate Employability Program ( McDonald's Pandu Lalu Papar ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Papar, Sabah",9 months ago,Any Skill,papar-all
https://www.maukerja.my/job/22956067-technical-assistant-mcdonalds-pandu-lalu-papar,22956067,Technical Assistant ( McDonald's Pandu Lalu Papar ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Papar, Sabah",a year ago,Any Skill,papar-all
https://www.maukerja.my/job/19895016-general-worker-pekerja-am-mcdonalds-pandu-lalu-papar,19895016,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Papar ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Papar, Sabah",2 years ago,Any Skill,papar-all
https://www.maukerja.my/job/13983464-kru-restaurant-mcdonalds-pandu-lalu-papar,13983464,Kru Restaurant ( McDonald's Pandu Lalu Papar ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Papar, Sabah",3 years ago,Any Skill,papar-all
https://www.maukerja.my/job/13983465-guest-experience-leader-mcdonalds-pandu-lalu-papar,13983465,Guest Experience Leader ( McDonald's Pandu Lalu Papar ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,600 Sebulan",N/A,"Papar, Sabah",3 years ago,Any Skill,papar-all
