url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/17979537-health-advisor-mydin-jengka-pahang,17979537,Health Advisor ( MYDIN JENGKA PAHANG ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Pahang,"Up to MYR2,100 Sebulan",8 days ago,Any Skill,part-time-all
https://www.maukerja.my/job/17979518-health-advisor-wangsa-walk-relocation,17979518,Health Advisor ( WANGSA WALK (RELOCATION) ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Wangsa Maju, WP Kuala Lumpur","Up to MYR2,100 Sebulan",8 days ago,Any Skill,part-time-all
https://www.maukerja.my/job/17979538-health-advisor-jerantut-relocation-from-m247,17979538,Health Advisor ( JERANTUT (RELOCATION FROM M247) ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Jerantut, Pahang","Up to MYR2,100 Sebulan",8 days ago,Any Skill,part-time-all
https://www.maukerja.my/job/17979553-health-advisor-dataran-pahlawan-2,17979553,Health Advisor ( DATARAN PAHLAWAN 2 ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Melaka,"Up to MYR2,100 Sebulan",8 days ago,Any Skill,part-time-all
https://www.maukerja.my/job/26269093-personal-assistant,26269093,Personal Assistant,Yew Sow Wah,"MYR2,500 - MYR3,500 Sebulan",Separuh Masa,WP Kuala Lumpur,"MYR2,500 - MYR3,500 Sebulan",4 hours ago,"Secretarial, PC Skill",part-time-all
https://www.maukerja.my/job/26269576-eksekutif-akaun,26269576,Eksekutif Akaun,WSE Co,"MYR1,800 - MYR3,800 Sehari",Separuh Masa,"Perai, Pulau Pinang","MYR1,800 - MYR3,800 Sehari",3 hours ago,"Financial Management, Bookeeping",part-time-all
https://www.maukerja.my/job/26269077-part-time-pastry-decorator-assistant,26269077,Part-Time Pastry Decorator Assistant,Wish You Good Sdn Bhd,MYR10 - MYR12 Sejam,Separuh Masa,"Setapak, WP Kuala Lumpur",MYR10 - MYR12 Sejam,6 hours ago,"Pastry, decoration",part-time-all
https://www.maukerja.my/job/26269064-part-time-baker-pastry-assistant-decoration,26269064,Part-Time Baker/ Pastry Assistant (Decoration),Wish You Good Sdn Bhd,MYR10 - MYR12 Sejam,Separuh Masa,"Setapak, WP Kuala Lumpur",MYR10 - MYR12 Sejam,6 hours ago,"Pastry, decoration",part-time-all
https://www.maukerja.my/job/26269079-part-time-cake-decorator-assistant,26269079,Part-Time Cake Decorator Assistant,Wish You Good Sdn Bhd,MYR10 - MYR12 Sejam,Separuh Masa,"Setapak, WP Kuala Lumpur",MYR10 - MYR12 Sejam,6 hours ago,"Pastry, decoration",part-time-all
https://www.maukerja.my/job/26269078-part-time-bakery-decoration-assistant,26269078,Part-Time Bakery Decoration Assistant,Wish You Good Sdn Bhd,MYR10 - MYR12 Sejam,Separuh Masa,"Setapak, WP Kuala Lumpur",MYR10 - MYR12 Sejam,6 hours ago,"Pastry, decoration",part-time-all
https://www.maukerja.my/job/26268359-perunding-takaful,26268359,Perunding Takaful,GT 3 SOLUTION,Undisclosed,Separuh Masa,"Johor Bahru, Johor",Undisclosed,10 hours ago,"Any Skills, Sales Strategy",part-time-all
https://www.maukerja.my/job/26268360-part-time-sales-and-marketing-specialist,26268360,Part-Time Sales and Marketing Specialist,GT 3 SOLUTION,Undisclosed,Separuh Masa,"Johor Bahru, Johor",Undisclosed,10 hours ago,"Any Skills, Sales Strategy",part-time-all
https://www.maukerja.my/job/26269045-doktor-locum,26269045,Doktor Locum,Wellness Lab,MYR50 - MYR80 Sejam,Separuh Masa,"Johor Bahru, Johor",MYR50 - MYR80 Sejam,6 hours ago,"Sonographer, Sonography",part-time-all
