url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/22955960-technical-assistant-mcdonalds-pandu-lalu-stulang,22955960,Technical Assistant ( McDonald’s Pandu Lalu Stulang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Per Month",N/A,"Johor Bahru, Johor","Up to MYR2,500 Per Month",a year ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/22955741-technical-assistant-mcdonalds-plaza-pelangi,22955741,Technical Assistant ( McDonald’s Plaza Pelangi ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Per Month",N/A,"Johor Bahru, Johor","Up to MYR2,500 Per Month",a year ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/22955843-technical-assistant-mcdonalds-pandu-lalu-mount-austin,22955843,Technical Assistant ( McDonald’s Pandu Lalu Mount Austin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Johor Bahru, Johor","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/22956006-technical-assistant-mcdonalds-pandu-lalu-petronas-jln-tar-jb,22956006,Technical Assistant ( McDonald's Pandu Lalu Petronas Jln TAR JB ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Johor Bahru, Johor","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/1527282-ejen-penghantar-makanan-mcdonalds-pandu-lalu-jalan-tebrau,1527282,Ejen Penghantar Makanan ( McDonald’s Pandu Lalu Jalan Tebrau ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Johor Bahru, Johor",Undisclosed,5 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/1527304-ejen-penghantar-makanan-mcdonalds-pandu-lalu-pelangi-indah,1527304,Ejen Penghantar Makanan ( McDonald’s Pandu Lalu Pelangi Indah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Johor Bahru, Johor",Undisclosed,5 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/2313181-juruteknik-mcdonalds-holiday-plaza,2313181,JuruTeknik ( McDonald’s Holiday Plaza ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,"Johor Bahru, Johor","Up to MYR1,800 Sebulan",4 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/2313187-juruteknik-mcdonalds-plaza-pelangi,2313187,JuruTeknik ( McDonald’s Plaza Pelangi ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,"Johor Bahru, Johor","Up to MYR1,800 Sebulan",4 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/2313285-juruteknik-mcdonalds-pandu-lalu-mount-austin,2313285,JuruTeknik ( McDonald’s Pandu Lalu Mount Austin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,600 Sebulan",N/A,"Johor Bahru, Johor","Up to MYR1,600 Sebulan",4 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/2313286-juruteknik-mcdonalds-pandu-lalu-setia-tropika,2313286,JuruTeknik ( McDonald’s Pandu Lalu Setia Tropika ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,"Johor Bahru, Johor","Up to MYR1,800 Sebulan",4 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/2313313-juruteknik-mcdonalds-pandu-lalu-taman-daya,2313313,JuruTeknik ( McDonald’s Pandu Lalu Taman Daya ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,"Johor Bahru, Johor","Up to MYR1,800 Sebulan",4 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/1527335-ejen-penghantar-makanan-mcdonalds-pandu-lalu-bukit-indah,1527335,Ejen Penghantar Makanan ( McDonald’s Pandu Lalu Bukit Indah ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Johor Bahru, Johor",Undisclosed,5 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/1527428-ejen-penghantar-makanan-mcdonalds-pandu-lalu-educity-jb,1527428,Ejen Penghantar Makanan ( McDonald’s Pandu Lalu Educity JB ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Johor Bahru, Johor",Undisclosed,5 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/1551040-kru-restaurant-mcdonalds-permas-jaya,1551040,Kru Restaurant ( McDonald’s Permas Jaya ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Johor Bahru, Johor",Undisclosed,5 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/19894788-general-worker-pekerja-am-mcdonalds-pandu-lalu-setia-tropika,19894788,General Worker (Pekerja AM) ( McDonald’s Pandu Lalu Setia Tropika ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Johor Bahru, Johor",Undisclosed,2 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/19894793-general-worker-pekerja-am-mcdonalds-pandu-lalu-tuta,19894793,General Worker (Pekerja AM) ( McDonald’s Pandu Lalu TUTA ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Johor Bahru, Johor",Undisclosed,2 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/19894802-general-worker-pekerja-am-mcdonalds-pandu-lalu-nong-chik,19894802,General Worker (Pekerja AM) ( McDonald’s Pandu Lalu Nong Chik ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Johor Bahru, Johor",Undisclosed,2 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/19894815-general-worker-pekerja-am-mcdonalds-pandu-lalu-taman-daya,19894815,General Worker (Pekerja AM) ( McDonald’s Pandu Lalu Taman Daya ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Johor Bahru, Johor",Undisclosed,2 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/1580679-ejen-penghantar-makanan-mcdonalds-pandu-lalu-petronas-taman-perling,1580679,Ejen Penghantar Makanan ( McDonald’s Pandu Lalu Petronas Taman Perling ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Johor Bahru, Johor",Undisclosed,5 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/1527343-ejen-penghantar-makanan-mcdonalds-pandu-lalu-setia-tropika,1527343,Ejen Penghantar Makanan ( McDonald’s Pandu Lalu Setia Tropika ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Johor Bahru, Johor",Undisclosed,5 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/19894904-general-worker-pekerja-am-mcdonalds-pandu-lalu-educity-jb,19894904,General Worker (Pekerja AM) ( McDonald’s Pandu Lalu Educity JB ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Johor Bahru, Johor",Undisclosed,2 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/1501718-barista-mcdonalds-taman-tan-sri-yaakob,1501718,Barista ( McDonald’s Taman Tan Sri Yaakob ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Johor Bahru, Johor",Undisclosed,6 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/1501867-barista-mcdonalds-pandu-lalu-ulu-tiram,1501867,Barista ( McDonald’s Pandu Lalu Ulu Tiram ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Johor Bahru, Johor",Undisclosed,6 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/1502117-kru-restaurant-mcdonalds-paradigm-mall,1502117,Kru Restaurant ( McDonald's Paradigm Mall ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Johor Bahru, Johor",Undisclosed,6 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/1527348-ejen-penghantar-makanan-mcdonalds-pandu-lalu-tuta,1527348,Ejen Penghantar Makanan ( McDonald’s Pandu Lalu TUTA ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Johor Bahru, Johor",Undisclosed,5 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/2313215-juruteknik-mcdonalds-city-square,2313215,JuruTeknik ( McDonald’s City Square ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,"Johor Bahru, Johor","Up to MYR1,800 Sebulan",4 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/2313218-juruteknik-mcdonalds-pandu-lalu-jalan-tebrau,2313218,JuruTeknik ( McDonald’s Pandu Lalu Jalan Tebrau ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,800 Sebulan",N/A,"Johor Bahru, Johor","Up to MYR1,800 Sebulan",4 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/1501919-barista-mcdonalds-pandu-lalu-nong-chik,1501919,Barista ( McDonald’s Pandu Lalu Nong Chik ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Johor Bahru, Johor",Undisclosed,6 years ago,Any Skill,part-time-johor-bahru
https://www.maukerja.my/job/1516627-barista-mcdonalds-pandu-lalu-seri-austin,1516627,Barista ( McDonald's Pandu Lalu Seri Austin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Johor Bahru, Johor",Undisclosed,5 years ago,Any Skill,part-time-johor-bahru
