url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-kuala-lumpur
https://www.maukerja.my/job/20844433-beauty-expert-damai-perdana,20844433,Beauty Expert ( Damai Perdana ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR1,600 Sebulan",N/A,"Cheras, WP Kuala Lumpur",22 days ago,Any Skill,part-time-kuala-lumpur
https://www.maukerja.my/job/20263863-beauty-expert-dataran-c180-cheras,20263863,Beauty Expert ( DATARAN C180 CHERAS ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR1,600 Sebulan",N/A,"Cheras, WP Kuala Lumpur",22 days ago,Any Skill,part-time-kuala-lumpur
https://www.maukerja.my/job/26453886-part-time-restaurant-host-hotess,26453886,Part-Time Restaurant Host / Hotess,Du Du Hotpot Sdn Bhd,MYR10 - MYR12 Sejam,Separuh Masa,"Sri Petaling, WP Kuala Lumpur",7 hours ago,"* Good communication and customer service skills * Friendly, polite",part-time-kuala-lumpur
https://www.maukerja.my/job/26453881-part-time-speech-therapist,26453881,Part-Time Speech Therapist,Firststep Child Specialist Clinic,MYR100 - MYR150 Sejam,Separuh Masa,WP Kuala Lumpur,6 hours ago,Good communication and interpersonal skills,part-time-kuala-lumpur
https://www.maukerja.my/job/26453528-part-time-swim-coach,26453528,Part-Time Swim Coach,V Diversify Group Sdn Bhd,MYR10 - MYR30 Sejam,Separuh Masa,WP Kuala Lumpur,9 hours ago,"Swimming Instruction, Water Safety",part-time-kuala-lumpur
https://www.maukerja.my/job/26453530-part-time-water-safety-instructor,26453530,Part-Time Water Safety Instructor,V Diversify Group Sdn Bhd,MYR10 - MYR30 Sejam,Separuh Masa,WP Kuala Lumpur,9 hours ago,"Swimming Instruction, Water Safety",part-time-kuala-lumpur
https://www.maukerja.my/job/26453531-part-time-learn-to-swim-teacher,26453531,Part-Time Learn-to-Swim Teacher,V Diversify Group Sdn Bhd,MYR10 - MYR30 Sejam,Separuh Masa,WP Kuala Lumpur,9 hours ago,"Swimming Instruction, Water Safety",part-time-kuala-lumpur
https://www.maukerja.my/job/26453529-part-time-aquatics-instructor,26453529,Part-Time Aquatics Instructor,V Diversify Group Sdn Bhd,MYR10 - MYR30 Sejam,Separuh Masa,WP Kuala Lumpur,9 hours ago,"Swimming Instruction, Water Safety",part-time-kuala-lumpur
https://www.maukerja.my/job/26453532-part-time-pool-instructor,26453532,Part-Time Pool Instructor,V Diversify Group Sdn Bhd,MYR10 - MYR30 Sejam,Separuh Masa,WP Kuala Lumpur,9 hours ago,"Swimming Instruction, Water Safety",part-time-kuala-lumpur
