url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/26124475-part-time-tax-preparer,26124475,Part-Time Tax Preparer,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",18 days ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26124478-part-time-entry-level-tax-specialist,26124478,Part-Time Entry-Level Tax Specialist,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",18 days ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26124474-pembantu-cukai,26124474,Pembantu Cukai,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",8 days ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26124480-part-time-tax-preparer,26124480,Part-Time Tax Preparer,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",18 days ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26124483-part-time-entry-level-tax-specialist,26124483,Part-Time Entry-Level Tax Specialist,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",18 days ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26124484-part-time-tax-support-staff,26124484,Part-Time Tax Support Staff,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",18 days ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26124488-part-time-entry-level-tax-specialist,26124488,Part-Time Entry-Level Tax Specialist,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",18 days ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26124489-part-time-tax-support-staff,26124489,Part-Time Tax Support Staff,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",18 days ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26124479-part-time-tax-support-staff,26124479,Part-Time Tax Support Staff,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",18 days ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26124481-part-time-junior-tax-associate,26124481,Part-Time Junior Tax Associate,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",18 days ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26124476-part-time-junior-tax-associate,26124476,Part-Time Junior Tax Associate,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",18 days ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26124477-part-time-tax-clerk,26124477,Part-Time Tax Clerk,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",18 days ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26124485-part-time-tax-preparer,26124485,Part-Time Tax Preparer,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",18 days ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26124486-part-time-junior-tax-associate,26124486,Part-Time Junior Tax Associate,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",18 days ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26124482-part-time-tax-clerk,26124482,Part-Time Tax Clerk,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",18 days ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26124487-part-time-tax-clerk,26124487,Part-Time Tax Clerk,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",18 days ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26042732-part-time-tax-specialist,26042732,Part-Time Tax Specialist,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",a month ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26042733-part-time-tax-analyst,26042733,Part-Time Tax Analyst,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",a month ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26042730-part-time-tax-specialist,26042730,Part-Time Tax Specialist,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",a month ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26042731-part-time-tax-analyst,26042731,Part-Time Tax Analyst,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",a month ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26042729-part-time-tax-analyst,26042729,Part-Time Tax Analyst,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",a month ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26042690-pembantu-cukai,26042690,Pembantu Cukai,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",14 days ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
https://www.maukerja.my/job/26042728-part-time-tax-specialist,26042728,Part-Time Tax Specialist,SC & Associates Plt,"MYR1,700 - MYR4,000 Per Month",Part Time,"Muar, Johor","MYR1,700 - MYR4,000 Per Month",24 days ago,"Tax Law Knowledge, Microsoft Excel",part-time-muar
