url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-pulau-pinang
https://www.maukerja.my/job/25810867-math-instructor,25810867,Math Instructor,Pusat Perkembangan Minda Cemerlang IQ,MYR35 - MYR60 Sehari,Separuh Masa,"Seberang Jaya, Pulau Pinang",MYR35 - MYR60 Sehari,21 days ago,"Mathematics Instruction, English Language Arts (ELA)",part-time-pulau-pinang
https://www.maukerja.my/job/25636990-barista-mcdonalds-botanica-balik-pulau-dt,25636990,Barista ( McDonald’s Botanica Balik Pulau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Balik Pulau, Pulau Pinang","Up to MYR1,500 Sebulan",a month ago,Any Skill,part-time-pulau-pinang
https://www.maukerja.my/job/25636992-guest-experience-leader-mcdonalds-botanica-balik-pulau-dt,25636992,Guest Experience Leader ( McDonald’s Botanica Balik Pulau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,600 Sebulan",N/A,"Balik Pulau, Pulau Pinang","Up to MYR2,600 Sebulan",3 months ago,Any Skill,part-time-pulau-pinang
https://www.maukerja.my/job/25636991-kru-restoran-mcdonalds-botanica-balik-pulau-dt,25636991,Kru Restoran ( McDonald’s Botanica Balik Pulau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Balik Pulau, Pulau Pinang","Up to MYR1,500 Sebulan",3 months ago,Any Skill,part-time-pulau-pinang
https://www.maukerja.my/job/25636993-ejen-penghantar-makanan-mcdonalds-botanica-balik-pulau-dt,25636993,Ejen Penghantar Makanan ( McDonald’s Botanica Balik Pulau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,900 Sebulan",N/A,"Balik Pulau, Pulau Pinang","Up to MYR1,900 Sebulan",3 months ago,Any Skill,part-time-pulau-pinang
https://www.maukerja.my/job/17979735-health-advisor-mydin-bukit-jambul,17979735,Health Advisor ( MYDIN BUKIT JAMBUL ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Pulau Pinang,"Up to MYR2,100 Sebulan",10 days ago,Any Skill,part-time-pulau-pinang
https://www.maukerja.my/job/17979727-health-advisor-first-avenue-penang,17979727,Health Advisor ( FIRST AVENUE PENANG ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Pulau Pinang,"Up to MYR2,100 Sebulan",10 days ago,Any Skill,part-time-pulau-pinang
https://www.maukerja.my/job/21952174-crew-member-full-time-dominos-pizza-sunway-carnival,21952174,Crew Member (Full Time) ( Domino's Pizza Sunway Carnival ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,Pulau Pinang,"Up to MYR1,700 Sebulan",a month ago,Any Skill,part-time-pulau-pinang
https://www.maukerja.my/job/17979729-health-advisor-tesco-tanjung-penang,17979729,Health Advisor ( TESCO TANJUNG PENANG ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Pulau Pinang,"Up to MYR2,100 Sebulan",10 days ago,Any Skill,part-time-pulau-pinang
https://www.maukerja.my/job/17979734-health-advisor-vantage-point,17979734,Health Advisor ( VANTAGE POINT ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Jelutong, Pulau Pinang","Up to MYR2,100 Sebulan",10 days ago,Any Skill,part-time-pulau-pinang
https://www.maukerja.my/job/15678898-crew-member-full-time-dominos-pizza-green-lane,15678898,Crew Member (Full Time) ( Domino's Pizza Green Lane ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Gelugor, Pulau Pinang","Up to MYR1,700 Sebulan",a month ago,Any Skill,part-time-pulau-pinang
https://www.maukerja.my/job/17979723-health-advisor-lotuss-bertam-perdana,17979723,Health Advisor ( LOTUS'S BERTAM PERDANA ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Pulau Pinang,"Up to MYR2,100 Sebulan",10 days ago,Any Skill,part-time-pulau-pinang
https://www.maukerja.my/job/17979744-health-advisor-auto-city-penang,17979744,Health Advisor ( AUTO CITY PENANG ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Pulau Pinang,"Up to MYR2,100 Sebulan",10 days ago,Any Skill,part-time-pulau-pinang
https://www.maukerja.my/job/17979732-health-advisor-macalister-vista-penang,17979732,"Health Advisor ( MACALISTER VISTA, PENANG )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Pulau Pinang,"Up to MYR2,100 Sebulan",10 days ago,Any Skill,part-time-pulau-pinang
https://www.maukerja.my/job/17979733-health-advisor-ideal-avenue-penang,17979733,"Health Advisor ( IDEAL AVENUE, PENANG )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Bayan Lepas, Pulau Pinang","Up to MYR2,100 Sebulan",10 days ago,Any Skill,part-time-pulau-pinang
https://www.maukerja.my/job/21842765-delivery-rider-full-time-dominos-pizza-sunway-carnival,21842765,Delivery Rider (Full Time) ( Domino's Pizza Sunway Carnival ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,Pulau Pinang,"Up to MYR2,500 Sebulan",a month ago,Any Skill,part-time-pulau-pinang
https://www.maukerja.my/job/15678897-crew-member-full-time-dominos-pizza-tanjung-bungah,15678897,Crew Member (Full Time) ( Domino's Pizza Tanjung Bungah ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Tanjong Bungah, Pulau Pinang","Up to MYR1,700 Sebulan",a month ago,Any Skill,part-time-pulau-pinang
https://www.maukerja.my/job/15678893-delivery-rider-full-time-dominos-pizza-green-lane,15678893,Delivery Rider (Full Time) ( Domino's Pizza Green Lane ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Gelugor, Pulau Pinang","Up to MYR2,500 Sebulan",a month ago,Any Skill,part-time-pulau-pinang
https://www.maukerja.my/job/15678489-delivery-rider-full-time-dominos-batu-ferringhi,15678489,Delivery Rider (Full Time) ( Domino’s Batu Ferringhi ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Batu Ferringhi, Pulau Pinang","Up to MYR2,500 Sebulan",a month ago,Any Skill,part-time-pulau-pinang
https://www.maukerja.my/job/21950348-crew-member-part-time-dominos-pizza-sunway-carnival,21950348,Crew Member (Part Time) ( Domino's Pizza Sunway Carnival ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,Pulau Pinang,Up to MYR8.72 Sejam,a month ago,Any Skill,part-time-pulau-pinang
