url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/26270767-pembantu-peribadi-merangkap-pemandu,26270767,Pembantu Peribadi Merangkap Pemandu,Jenny & Associates,"MYR1,800 - MYR4,000 Sebulan",Separuh Masa,"Petaling Jaya, Selangor","MYR1,800 - MYR4,000 Sebulan",7 hours ago,"Driving License, Patience",part-time-selangor
https://www.maukerja.my/job/26080756-part-time-krew-servis,26080756,Part Time Krew Servis,KBN Beef Noodle Sdn Bhd,MYR8 - MYR15 Sejam,Separuh Masa,"Petaling Jaya, Selangor",MYR8 - MYR15 Sejam,2 days ago,"Order Taking, Communication",part-time-selangor
https://www.maukerja.my/job/26077766-part-time-optician,26077766,Part-Time Optician,Optical 88 Eyecare (M) Sdn Bhd,"MYR4,000 - MYR6,000 Sehari",Separuh Masa,"Puchong, Selangor","MYR4,000 - MYR6,000 Sehari",24 days ago,"Customer Service, Attention to Detail",part-time-selangor
https://www.maukerja.my/job/26077765-part-time-optometrist,26077765,Part-Time Optometrist,Optical 88 Eyecare (M) Sdn Bhd,"MYR4,000 - MYR6,000 Sehari",Separuh Masa,"Puchong, Selangor","MYR4,000 - MYR6,000 Sehari",24 days ago,"Customer Service, Attention to Detail",part-time-selangor
https://www.maukerja.my/job/26088516-part-time-property-negotiator,26088516,Part-Time Property Negotiator,gt Nelson Realty Sdn Bhd,Undisclosed,Separuh Masa,"Cyberjaya, Selangor",Undisclosed,23 days ago,"Call, appointment",part-time-selangor
https://www.maukerja.my/job/26088518-part-time-property-negotiator,26088518,Part-Time Property Negotiator,gt Nelson Realty Sdn Bhd,Undisclosed,Separuh Masa,"Cyberjaya, Selangor",Undisclosed,23 days ago,"Call, appointment",part-time-selangor
https://www.maukerja.my/job/26088514-part-time-property-negotiator,26088514,Part-Time Property Negotiator,gt Nelson Realty Sdn Bhd,Undisclosed,Separuh Masa,"Cyberjaya, Selangor",Undisclosed,23 days ago,"Call, appointment",part-time-selangor
https://www.maukerja.my/job/26088515-part-time-real-estate-agent,26088515,Part-Time Real Estate Agent,gt Nelson Realty Sdn Bhd,Undisclosed,Separuh Masa,"Cyberjaya, Selangor",Undisclosed,23 days ago,"Call, appointment",part-time-selangor
https://www.maukerja.my/job/26088513-part-time-real-estate-agent,26088513,Part-Time Real Estate Agent,gt Nelson Realty Sdn Bhd,Undisclosed,Separuh Masa,"Cyberjaya, Selangor",Undisclosed,23 days ago,"Call, appointment",part-time-selangor
https://www.maukerja.my/job/26088517-part-time-real-estate-agent,26088517,Part-Time Real Estate Agent,gt Nelson Realty Sdn Bhd,Undisclosed,Separuh Masa,"Cyberjaya, Selangor",Undisclosed,23 days ago,"Call, appointment",part-time-selangor
https://www.maukerja.my/job/26188832-part-time-accountant,26188832,Part-Time Accountant,Binary Construction & Trading Sdn Bhd,"MYR3,000 - MYR3,800 Sebulan",Separuh Masa,"Petaling Jaya, Selangor","MYR3,000 - MYR3,800 Sebulan",10 days ago,"General Ledger Management, Financial Reporting",part-time-selangor
https://www.maukerja.my/job/26077764-part-time-optician,26077764,Part-Time Optician,Optical 88 Eyecare (M) Sdn Bhd,"MYR4,000 - MYR6,000 Sehari",Separuh Masa,"Puchong, Selangor","MYR4,000 - MYR6,000 Sehari",24 days ago,"Customer Service, Attention to Detail",part-time-selangor
