url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-selangor
https://www.maukerja.my/job/26248031-part-time-ip-paralegal,26248031,Part-Time IP Paralegal,DCC Advanz Malaysia Sdn Bhd,MYR64 - MYR80 Per Day,Part Time,"Petaling Jaya, Selangor",MYR64 - MYR80 Per Day,4 days ago,"Communication, Organisation",part-time-selangor
https://www.maukerja.my/job/26248030-part-time-legal-administrator-trademarks,26248030,Part-Time Legal Administrator - Trademarks,DCC Advanz Malaysia Sdn Bhd,MYR64 - MYR80 Per Day,Part Time,"Petaling Jaya, Selangor",MYR64 - MYR80 Per Day,4 days ago,"Communication, Organisation",part-time-selangor
https://www.maukerja.my/job/26248029-part-time-intellectual-property-assistant,26248029,Part-Time Intellectual Property Assistant,DCC Advanz Malaysia Sdn Bhd,MYR64 - MYR80 Per Day,Part Time,"Petaling Jaya, Selangor",MYR64 - MYR80 Per Day,4 days ago,"Communication, Organisation",part-time-selangor
https://www.maukerja.my/job/26248032-part-time-trademark-coordinator,26248032,Part-Time Trademark Coordinator,DCC Advanz Malaysia Sdn Bhd,MYR64 - MYR80 Per Day,Part Time,"Petaling Jaya, Selangor",MYR64 - MYR80 Per Day,4 days ago,"Communication, Organisation",part-time-selangor
https://www.maukerja.my/job/26248028-part-time-trademark-paralegal,26248028,Part-Time Trademark Paralegal,DCC Advanz Malaysia Sdn Bhd,MYR64 - MYR80 Per Day,Part Time,"Petaling Jaya, Selangor",MYR64 - MYR80 Per Day,4 days ago,"Communication, Organisation",part-time-selangor
https://www.maukerja.my/job/26248027-part-time-trademarks-department,26248027,Part-Time Trademarks Department,DCC Advanz Malaysia Sdn Bhd,MYR64 - MYR80 Per Day,Part Time,"Petaling Jaya, Selangor",MYR64 - MYR80 Per Day,2 days ago,"Communication, Organisation",part-time-selangor
https://www.maukerja.my/job/26267282-part-time-pet-fair-event-promoter-pet-expo-malaysia,26267282,Part-Time Pet Fair Event Promoter (PET EXPO MALAYSIA),Noble Paws Sdn. Bhd.,MYR120 - MYR180 Per Day,Part Time,"Seri Kembangan, Selangor",MYR120 - MYR180 Per Day,2 days ago,"Event Promotion, Marketing",part-time-selangor
https://www.maukerja.my/job/26248772-part-time-product-demonstrator,26248772,Part-Time Product Demonstrator,Trendy Brand Hub Sdn. Bhd.,MYR100 - MYR120 Per Day,Part Time,"Balakong, Selangor",MYR100 - MYR120 Per Day,4 days ago,Communication,part-time-selangor
https://www.maukerja.my/job/26248771-part-time-promoter,26248771,Part-Time Promoter,Trendy Brand Hub Sdn. Bhd.,MYR100 - MYR120 Per Day,Part Time,"Balakong, Selangor",MYR100 - MYR120 Per Day,4 days ago,Communication,part-time-selangor
https://www.maukerja.my/job/26247669-ejen-takaful,26247669,Ejen Takaful,Ikhwan PJ Agency,"MYR2,000 - MYR5,000 monthly",Part Time,"Puchong, Selangor","MYR2,000 - MYR5,000 monthly",4 days ago,"Financial Management, Takaful Advisor",part-time-selangor
https://www.maukerja.my/job/26250374-part-time-barista,26250374,Part-Time Barista,Ticco Success Sdn Bhd,MYR40 - MYR80 Per Day,Part Time,"Subang Jaya, Selangor",MYR40 - MYR80 Per Day,3 days ago,"coffee machine, teamwork",part-time-selangor
https://www.maukerja.my/job/26248079-part-time-luxury-sales-assistant-part-time-mitsui-outlet,26248079,Part-Time Luxury Sales Assistant (Part Time) | Mitsui Outlet,Agensi Pekerjaan Cornerstone Global Partners (Malaysia) Sdn Bhd,MYR12 - MYR13 Per Hour,Part Time,Selangor,MYR12 - MYR13 Per Hour,4 days ago,"friendly, presentable",part-time-selangor
https://www.maukerja.my/job/26270767-pembantu-peribadi-merangkap-pemandu,26270767,Pembantu Peribadi Merangkap Pemandu,Jenny & Associates,"MYR1,800 - MYR4,000 Per Month",Part Time,"Petaling Jaya, Selangor","MYR1,800 - MYR4,000 Per Month",a day ago,"Driving License, Patience",part-time-selangor
