url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-tawau
https://www.maukerja.my/job/14922249-delivery-rider-part-time-dominos-tawau,14922249,Delivery Rider (Part Time) ( Domino’s Tawau ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tawau, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,part-time-tawau
https://www.maukerja.my/job/14922248-crew-member-full-time-dominos-tawau,14922248,Crew Member (Full Time) ( Domino’s Tawau ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Tawau, Sabah","Up to MYR1,700 Sebulan",2 months ago,Any Skill,part-time-tawau
https://www.maukerja.my/job/14922250-crew-member-part-time-dominos-tawau,14922250,Crew Member (Part Time) ( Domino’s Tawau ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Tawau, Sabah",Up to MYR8.72 Sejam,2 months ago,Any Skill,part-time-tawau
https://www.maukerja.my/job/14922246-delivery-rider-full-time-dominos-tawau,14922246,Delivery Rider (Full Time) ( Domino’s Tawau ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tawau, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,part-time-tawau
https://www.maukerja.my/job/26266807-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-jln-apas-tawau-f,26266807,Kru Kasual - Hari Raya Haji ( McDonald's Pandu Lalu Jln Apas Tawau (F) ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Tawau, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-tawau
https://www.maukerja.my/job/25825270-health-advisor-balung-tawau,25825270,"Health Advisor ( BALUNG, TAWAU )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Tawau, Sabah","Up to MYR2,100 Sebulan",2 months ago,Any Skill,part-time-tawau
https://www.maukerja.my/job/25701313-health-advisor-balung-tawau,25701313,"Health Advisor ( BALUNG, TAWAU )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Tawau, Sabah","Up to MYR2,100 Sebulan",2 months ago,Any Skill,part-time-tawau
https://www.maukerja.my/job/25700813-health-advisor-balung-tawau,25700813,"Health Advisor ( BALUNG, TAWAU )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Tawau, Sabah","Up to MYR2,100 Sebulan",2 months ago,Any Skill,part-time-tawau
https://www.maukerja.my/job/24451921-crew-member-part-time-dominos-tawau-kubota-cawangan-baru,24451921,Crew Member (Part Time) ( Domino's Tawau Kubota (CAWANGAN BARU) ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Tawau, Sabah",Up to MYR8.72 Sejam,2 months ago,Any Skill,part-time-tawau
https://www.maukerja.my/job/24451918-crew-member-full-time-dominos-tawau-kubota-cawangan-baru,24451918,Crew Member (Full Time) ( Domino's Tawau Kubota (CAWANGAN BARU) ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Tawau, Sabah","Up to MYR1,700 Sebulan",2 months ago,Any Skill,part-time-tawau
https://www.maukerja.my/job/24451917-delivery-rider-full-time-dominos-tawau-kubota-cawangan-baru,24451917,Delivery Rider (Full Time) ( Domino's Tawau Kubota (CAWANGAN BARU) ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tawau, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,part-time-tawau
https://www.maukerja.my/job/24451920-delivery-rider-part-time-dominos-tawau-kubota-cawangan-baru,24451920,Delivery Rider (Part Time) ( Domino's Tawau Kubota (CAWANGAN BARU) ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tawau, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,part-time-tawau
https://www.maukerja.my/job/24282437-graduate-employability-program-mcdonalds-pandu-lalu-jln-apas-tawau-f,24282437,Graduate Employability Program ( McDonald's Pandu Lalu Jln Apas Tawau (F) ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Tawau, Sabah",Up to MYR12 Sejam,8 months ago,Any Skill,part-time-tawau
https://www.maukerja.my/job/24717720-unit-trust-consultant-utc,24717720,Unit Trust Consultant ( Utc ),Public Mutual Berhad,Undisclosed,"Sepenuh Masa,","Tawau, Sabah",Undisclosed,7 hours ago,"Customer Relationship Management, Financial Planning",part-time-tawau
