url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-tuaran
https://www.maukerja.my/job/26266878-kru-kasual-hari-raya-haji-mcdonalds-pss-tuaran-town,26266878,Kru Kasual - Hari Raya Haji ( McDonald’s PSS Tuaran Town ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Tuaran, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-tuaran
https://www.maukerja.my/job/26266856-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-tuaran-bypass,26266856,Kru Kasual - Hari Raya Haji ( McDonald's Pandu Lalu Tuaran Bypass ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Tuaran, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-tuaran
https://www.maukerja.my/job/16581472-delivery-rider-part-time-dominos-pizza-tuaran,16581472,Delivery Rider (Part Time) ( Domino's Pizza TUARAN ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tuaran, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,part-time-tuaran
https://www.maukerja.my/job/16581469-crew-member-full-time-dominos-pizza-tuaran,16581469,Crew Member (Full Time) ( Domino's Pizza TUARAN ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Tuaran, Sabah","Up to MYR1,700 Sebulan",2 months ago,Any Skill,part-time-tuaran
https://www.maukerja.my/job/16581475-crew-member-part-time-dominos-pizza-tuaran,16581475,Crew Member (Part Time) ( Domino's Pizza TUARAN ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Tuaran, Sabah",Up to MYR8.72 Sejam,2 months ago,Any Skill,part-time-tuaran
https://www.maukerja.my/job/13086795-barista-mcdonalds-pandu-lalu-tuaran-bypass,13086795,Barista ( McDonald's Pandu Lalu Tuaran Bypass ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Tuaran, Sabah","Up to MYR1,500 Sebulan",2 months ago,Any Skill,part-time-tuaran
https://www.maukerja.my/job/20426290-barista-mcdonalds-pss-tuaran-town,20426290,Barista ( McDonald’s PSS Tuaran Town ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Tuaran, Sabah","Up to MYR1,500 Sebulan",2 months ago,Any Skill,part-time-tuaran
https://www.maukerja.my/job/16581466-delivery-rider-full-time-dominos-pizza-tuaran,16581466,Delivery Rider (Full Time) ( Domino's Pizza TUARAN ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Tuaran, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,part-time-tuaran
https://www.maukerja.my/job/24282478-graduate-employability-program-mcdonalds-pandu-lalu-tuaran-bypass,24282478,Graduate Employability Program ( McDonald's Pandu Lalu Tuaran Bypass ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Tuaran, Sabah",Up to MYR12 Sejam,8 months ago,Any Skill,part-time-tuaran
https://www.maukerja.my/job/24282492-graduate-employability-program-mcdonalds-pss-tuaran-town,24282492,Graduate Employability Program ( McDonald’s PSS Tuaran Town ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Tuaran, Sabah",Up to MYR12 Sejam,8 months ago,Any Skill,part-time-tuaran
