url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pekan-all
https://www.maukerja.my/job/26429473-reporting-specialist,26429473,Reporting Specialist,Agensi Pekerjaan Amforce Sdn Bhd,"MYR3,000 - MYR3,500 Sebulan",Sepenuh Masa,Johor,3 days ago,"Data Reporting, Administrative Support",pekan-all
https://www.maukerja.my/job/26429474-administrative-support-specialist,26429474,Administrative Support Specialist,Agensi Pekerjaan Amforce Sdn Bhd,"MYR3,000 - MYR3,500 Sebulan",Sepenuh Masa,Johor,3 days ago,"Data Reporting, Administrative Support",pekan-all
https://www.maukerja.my/job/26429472-administrative-assistant,26429472,Administrative Assistant,Agensi Pekerjaan Amforce Sdn Bhd,"MYR3,000 - MYR3,500 Sebulan",Sepenuh Masa,Johor,3 days ago,"Data Reporting, Administrative Support",pekan-all
https://www.maukerja.my/job/26429471-data-entry-clerk,26429471,Data Entry Clerk,Agensi Pekerjaan Amforce Sdn Bhd,"MYR3,000 - MYR3,500 Sebulan",Sepenuh Masa,Johor,3 days ago,"Data Reporting, Administrative Support",pekan-all
https://www.maukerja.my/job/26429453-office-statistician-administrative-assistant-erp-reporting,26429453,Office Statistician/Administrative Assistant (ERP & Reporting),Agensi Pekerjaan Amforce Sdn Bhd,"MYR3,000 - MYR3,500 Sebulan",Sepenuh Masa,Johor,a day ago,"Data Reporting, Administrative Support",pekan-all
https://www.maukerja.my/job/19938621-barista-mcdonalds-pandu-lalu-pss-pekan-nanas,19938621,Barista ( McDonald’s Pandu Lalu PSS Pekan Nanas ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,Johor,2 months ago,Any Skill,pekan-all
https://www.maukerja.my/job/26407223-laboratory-technician,26407223,Laboratory Technician,Ahmad Zaki Resources Berhad,"MYR2,500 - MYR3,500 Sebulan",Kontrak,"Pekan, Pahang",5 days ago,"IMS Knowledge, Test Reporting",pekan-all
https://www.maukerja.my/job/26266875-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-pss-pekan-nanas,26266875,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu PSS Pekan Nanas ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,Johor,16 days ago,Any Skill,pekan-all
https://www.maukerja.my/job/26366424-senior-me-engineer-pekan-pahang,26366424,"Senior M&E Engineer (Pekan, Pahang)",Ahmad Zaki Resources Berhad,"MYR5,000 - MYR6,500 Sebulan",Kontrak,"Pekan, Pahang",10 days ago,"Mechanical, Electrical Engineering",pekan-all
https://www.maukerja.my/job/26266657-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-pekan,26266657,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Pekan ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Pekan, Pahang",16 days ago,Any Skill,pekan-all
https://www.maukerja.my/job/26268032-me-coordinator,26268032,M&E Coordinator,Ahmad Zaki Resources Berhad,"MYR3,500 - MYR4,000 Sebulan",Kontrak,"Pekan, Pahang",16 days ago,"Mechanical Engineering, Electrical Engineering",pekan-all
https://www.maukerja.my/job/26094238-sales-administrator,26094238,Sales Administrator,MXM Surfaces Sdn Bhd,"MYR3,000 - MYR5,000 Sebulan",Sepenuh Masa,Johor,a month ago,"Sales Support, Sales Administration",pekan-all
https://www.maukerja.my/job/26094225-admin-jualan-bertutur-mandarin-graduan-baharu-dialu-alukan,26094225,Admin Jualan (Bertutur Mandarin) - Graduan Baharu Dialu-alukan,MXM Surfaces Sdn Bhd,"MYR3,000 - MYR5,000 Sebulan",Sepenuh Masa,Johor,3 days ago,"Sales Support, Sales Administration",pekan-all
https://www.maukerja.my/job/25825254-health-advisor-pekan-sentral,25825254,Health Advisor ( PEKAN SENTRAL ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Johor,2 months ago,Any Skill,pekan-all
https://www.maukerja.my/job/25701298-health-advisor-pekan-sentral,25701298,Health Advisor ( PEKAN SENTRAL ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Johor,3 months ago,Any Skill,pekan-all
https://www.maukerja.my/job/25700798-health-advisor-pekan-sentral,25700798,Health Advisor ( PEKAN SENTRAL ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Johor,3 months ago,Any Skill,pekan-all
https://www.maukerja.my/job?jobId=26430942&slug=site-supervisor-pahang,N/A,SITE SUPERVISOR (PAHANG),AGGRESSIVE TRANSASIA HOLDING GROUP SDN BHD,"MYR1,800 - MYR1,800 Sebulan",Sepenuh Masa,Pekan,3 days ago,N/A,pekan-all
https://www.maukerja.my/job?jobId=26421185&slug=2392-engineer,N/A,2392 - Engineer,PERUSAHAAN GETAH ASAS SDN BHD (P2),Undisclosed,Sepenuh Masa,Pekan,4 days ago,N/A,pekan-all
https://www.maukerja.my/job?jobId=26406837&slug=health-safety-officer-greenbook-holder,N/A,Health - Safety Officer (Greenbook Holder),Quess Malaysia,Undisclosed,Sepenuh Masa,Pekan Nanas,5 days ago,N/A,pekan-all
https://www.maukerja.my/job?jobId=26406800&slug=sales-engineer,N/A,Sales Engineer,FRIMEC International,Undisclosed,Sepenuh Masa,Pekan,5 days ago,N/A,pekan-all
https://www.maukerja.my/job?jobId=26354681&slug=pengawal-keselamatan,N/A,Pengawal Keselamatan,Ancasa Royale Pekan Pahang,"MYR1,800 - MYR1,800 Sebulan",Sepenuh Masa,Pekan,11 days ago,N/A,pekan-all
https://www.maukerja.my/job?jobId=26354679&slug=pengawal-keselamatan,N/A,Pengawal Keselamatan,AnCasa Royale Pekan Pahang,"MYR1,800 - MYR1,800 Sebulan",Sepenuh Masa,Pekan,11 days ago,N/A,pekan-all
https://www.maukerja.my/job?jobId=26300472&slug=site-safety-supervisor,N/A,Site Safety Supervisor,Potensi Cekal Sdn Bhd,"MYR3,000 - MYR4,500 Sebulan",Sepenuh Masa,Pekan,15 days ago,N/A,pekan-all
https://www.maukerja.my/job?jobId=26285434&slug=shift-supervisor-pekan-peramu,N/A,Shift Supervisor - Pekan Peramu,Kopi Kenangan Sdn Bhd,"MYR2,000 - MYR2,500 Sebulan",Sepenuh Masa,Pekan,15 days ago,N/A,pekan-all
https://www.maukerja.my/job?jobId=26285430&slug=partime-barista-pekan-peramu,N/A,Partime Barista - Pekan Peramu,Kopi Kenangan Sdn Bhd,"MYR1,700 - MYR1,700 Sebulan",Separuh Masa,Pekan,15 days ago,N/A,pekan-all
https://www.maukerja.my/job?jobId=26260106&slug=pastry-commis,N/A,PASTRY COMMIS,Ancasa Royale Pekan Pahang,"MYR1,800 - MYR2,000 Sebulan",Sepenuh Masa,Pekan,17 days ago,N/A,pekan-all
https://www.maukerja.my/job?jobId=26260105&slug=pastry-commis,N/A,PASTRY COMMIS,AnCasa Royale Pekan Pahang,"MYR1,800 - MYR2,000 Sebulan",Sepenuh Masa,Pekan,17 days ago,N/A,pekan-all
https://www.maukerja.my/job?jobId=26260100&slug=hr-admin-assistant,N/A,HR ADMIN Assistant,AnCasa Royale Pekan Pahang,"MYR1,800 - MYR2,000 Sebulan",Sepenuh Masa,Pekan,17 days ago,N/A,pekan-all
https://www.maukerja.my/job?jobId=26221327&slug=safety-and-health-officer,N/A,Safety and Health Officer,Potensi Cekal Sdn Bhd,"MYR6,500 - MYR8,000 Sebulan",Sepenuh Masa,Pekan,23 days ago,N/A,pekan-all
https://www.maukerja.my/job?jobId=26186254&slug=health-safety-officer-greenbook-holder,N/A,Health - Safety Officer (Greenbook Holder),Quess Malaysia,Undisclosed,Sepenuh Masa,Pekan Nanas,a month ago,N/A,pekan-all
