url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,perak-all
https://www.maukerja.my/job/26452009-pembantu-pentadbir,26452009,Pembantu Pentadbir,Papan Memorial Berhad,"MYR2,000 - MYR2,500",Sepenuh Masa,"Ipoh, Perak",a day ago,"Record Keeping, Office Management",perak-all
https://www.maukerja.my/job/26454895-assistant-customer-care-experience,26454895,"Assistant, Customer Care & Experience",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Ipoh, Perak",15 hours ago,Customer Care,perak-all
https://www.maukerja.my/job/26454337-specialist-nurse-icu-ccu-cicu-nicu,26454337,"Specialist Nurse, ICU/CCU/CICU/NICU",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Ipoh, Perak",17 hours ago,nurse,perak-all
https://www.maukerja.my/job/26454885-care-assistant-haemodialysis,26454885,"Care Assistant, Haemodialysis",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Ipoh, Perak",15 hours ago,Haemodialysis,perak-all
https://www.maukerja.my/job/26366464-sales-manager,26366464,SALES MANAGER,N/A,Undisclosed,Sepenuh Masa,Perak,33 minutes ago,"Sales Management, Business Development",perak-all
https://www.maukerja.my/job/26427459-finance-analyst,26427459,Finance Analyst,Cretev Sdn Bhd,"MYR3,200 - MYR3,500 monthly",Sepenuh Masa,"Sitiawan, Perak",2 days ago,"Financial Analysis, SAP",perak-all
https://www.maukerja.my/job/15678460-delivery-rider-part-time-dominos-pizza-kinta-city,15678460,Delivery Rider (Part Time) ( Domino's Pizza Kinta City ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Ipoh, Perak",2 months ago,Any Skill,perak-all
https://www.maukerja.my/job/15678465-delivery-rider-part-time-dominos-raja-musa,15678465,Delivery Rider (Part Time) ( Domino’s Raja Musa ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Ipoh, Perak",2 months ago,Any Skill,perak-all
https://www.maukerja.my/job/15678983-delivery-rider-part-time-dominos-pizza-taiping,15678983,Delivery Rider (Part Time) ( Domino's Pizza Taiping ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Taiping, Perak",2 months ago,Any Skill,perak-all
https://www.maukerja.my/job/15678463-delivery-rider-part-time-dominos-pizza-anjung-tawas,15678463,Delivery Rider (Part Time) ( Domino's Pizza Anjung Tawas ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Ipoh, Perak",2 months ago,Any Skill,perak-all
https://www.maukerja.my/job/14485673-delivery-rider-part-time-dominos-pizza-sungai-siput,14485673,Delivery Rider (Part Time) ( Domino’s Pizza Sungai Siput ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kuala Kangsar, Perak",2 months ago,Any Skill,perak-all
https://www.maukerja.my/job/20632075-delivery-rider-part-time-dominos-pizza-seri-iskandar,20632075,Delivery Rider (Part Time) ( Domino's Pizza Seri Iskandar ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Bandar Seri Iskandar, Perak",2 months ago,Any Skill,perak-all
https://www.maukerja.my/job/15678462-delivery-rider-part-time-dominos-pizza-station-18,15678462,Delivery Rider (Part Time) ( Domino's Pizza Station 18 ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Ipoh, Perak",2 months ago,Any Skill,perak-all
https://www.maukerja.my/job/15678461-delivery-rider-part-time-dominos-pizza-gunung-rapat,15678461,Delivery Rider (Part Time) ( Domino's Pizza Gunung Rapat ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Ipoh, Perak",2 months ago,Any Skill,perak-all
https://www.maukerja.my/job/15678464-delivery-rider-part-time-dominos-pizza-meru-raya,15678464,Delivery Rider (Part Time) ( Domino's Pizza Meru Raya ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Ipoh, Perak",2 months ago,Any Skill,perak-all
https://www.maukerja.my/job/15678984-delivery-rider-part-time-dominos-pizza-parit-buntar,15678984,Delivery Rider (Part Time) ( Domino's Pizza Parit Buntar ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Parit Buntar, Perak",2 months ago,Any Skill,perak-all
