url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,putatan-all
https://www.maukerja.my/job/26364498-digital-marketing-sales,26364498,"Digital Marketing, Sales",Ecobumi Technology Sdn Bhd,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,"Putatan, Sabah",3 hours ago,"Digital Marketing Strategy, Content Marketing",putatan-all
https://www.maukerja.my/job/26415156-confectioner,26415156,Confectioner,15 Minutes Bake Sdn Bhd,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,"Putatan, Sabah",4 days ago,"Baking, Mixing Ingredients",putatan-all
https://www.maukerja.my/job/26415155-bread-maker,26415155,Bread Maker,15 Minutes Bake Sdn Bhd,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,"Putatan, Sabah",4 days ago,"Baking, Mixing Ingredients",putatan-all
https://www.maukerja.my/job/26415134-store-assistant,26415134,Store Assistant,15 Minutes Bake Sdn Bhd,"MYR1,500 - MYR1,700 Sebulan",Sepenuh Masa,"Putatan, Sabah",4 days ago,Communication Skill,putatan-all
https://www.maukerja.my/job/26415133-retail-sales-assistant,26415133,Retail Sales Assistant,15 Minutes Bake Sdn Bhd,"MYR1,500 - MYR1,700 Sebulan",Sepenuh Masa,"Putatan, Sabah",4 days ago,Communication Skill,putatan-all
https://www.maukerja.my/job/26415145-baker,26415145,Baker,15 Minutes Bake Sdn Bhd,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,"Putatan, Sabah",2 days ago,"Baking, Mixing Ingredients",putatan-all
https://www.maukerja.my/job/26415121-pembantu-kedai-cum-cashier,26415121,Pembantu Kedai Cum Cashier,15 Minutes Bake Sdn Bhd,"MYR1,500 - MYR1,700 Sebulan",Sepenuh Masa,"Putatan, Sabah",2 days ago,Communication Skill,putatan-all
https://www.maukerja.my/job/26364504-content-marketing-specialist,26364504,Content Marketing Specialist,Ecobumi Technology Sdn Bhd,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,"Putatan, Sabah",10 days ago,"Digital Marketing Strategy, Content Marketing",putatan-all
https://www.maukerja.my/job/26364505-social-media-marketing-associate,26364505,Social Media Marketing Associate,Ecobumi Technology Sdn Bhd,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,"Putatan, Sabah",10 days ago,"Digital Marketing Strategy, Content Marketing",putatan-all
https://www.maukerja.my/job/26364503-marketing-and-sales-coordinator,26364503,Marketing and Sales Coordinator,Ecobumi Technology Sdn Bhd,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,"Putatan, Sabah",10 days ago,"Digital Marketing Strategy, Content Marketing",putatan-all
https://www.maukerja.my/job/26364502-digital-marketing-specialist,26364502,Digital Marketing Specialist,Ecobumi Technology Sdn Bhd,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,"Putatan, Sabah",10 days ago,"Digital Marketing Strategy, Content Marketing",putatan-all
https://www.maukerja.my/job/26364506-email-marketing-specialist,26364506,Email Marketing Specialist,Ecobumi Technology Sdn Bhd,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,"Putatan, Sabah",10 days ago,"Digital Marketing Strategy, Content Marketing",putatan-all
https://www.maukerja.my/job/26143537-fire-fighting-technician-technical-crew,26143537,Fire Fighting Technician / Technical Crew,Ecobumi Technology Sdn Bhd,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,"Putatan, Sabah",a day ago,"Fire Suppression Systems Maintenance, Technical Troubleshooting",putatan-all
https://www.maukerja.my/job?jobId=26342587&slug=spa-therapist,N/A,Spa Therapist,Thai Odyssey Management Services Sdn. Bhd.,"MYR2,967 - MYR2,967 Sebulan",Sepenuh Masa,Putatan,12 days ago,N/A,putatan-all
https://www.maukerja.my/job?jobId=26316309&slug=spa-therapist,N/A,Spa Therapist,Thai Odyssey Management Services Sdn. Bhd.,"MYR2,800 - MYR2,800 Sebulan",Sepenuh Masa,Putatan,12 days ago,N/A,putatan-all
https://www.maukerja.my/job?jobId=26283230&slug=pembantu-dapur,N/A,PEMBANTU DAPUR,GAPMATA SAJIAN SDN BHD,"MYR1,700 - MYR1,700 Sebulan",Sepenuh Masa,Putatan,15 days ago,N/A,putatan-all
https://www.maukerja.my/job?jobId=26237625&slug=interior-designer,N/A,Interior Designer,VIZ 4 INTERIOR DESIGN & BUILD SDN BHD,Undisclosed,Sepenuh Masa,Putatan,21 days ago,N/A,putatan-all
https://www.maukerja.my/job?jobId=26221541&slug=spa-therapist,N/A,Spa Therapist,Thai Odyssey Management Services Sdn. Bhd.,"MYR2,800 - MYR2,800 Sebulan",Sepenuh Masa,Putatan,23 days ago,N/A,putatan-all
