url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sarawak-all
https://www.maukerja.my/job/26454893-care-assistant-paediatric-ward-3,26454893,"Care Assistant, Paediatric Ward-3",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kuching, Sarawak",2 hours ago,Healthcare,sarawak-all
https://www.maukerja.my/job/26454883-pharmacy-technician-pharmacy,26454883,"Pharmacy Technician, Pharmacy",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kuching, Sarawak",2 hours ago,Pharmacy,sarawak-all
https://www.maukerja.my/job/26451225-retail-department-leader-kkv-bintulu-have-retail-team-lead-experience,26451225,Retail Department Leader - KKV Bintulu (Have Retail Team Lead Experience),KKV Supply Chain Sdn Bhd,"MYR2,800 - MYR4,500 Sebulan",Sepenuh Masa,"Kuching, Sarawak",10 hours ago,"Retail Management, Inventory Control",sarawak-all
https://www.maukerja.my/job/26451413-clinic-receptionist-consultant-clinic,26451413,"Clinic Receptionist, Consultant Clinic",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Kuching, Sarawak",10 hours ago,"receptionist, Customer Service",sarawak-all
https://www.maukerja.my/job/26406394-retail-department-leader-kkv-kuching-have-retail-team-lead-experience,26406394,Retail Department Leader - KKV Kuching (Have Retail Team Lead Experience),KKV Supply Chain Sdn Bhd,Undisclosed,Sepenuh Masa,"Kuching, Sarawak",11 hours ago,"Retail Management, Inventory Control",sarawak-all
https://www.maukerja.my/job/26416047-sales-representative,26416047,Sales Representative,A One Foods And Beverages Sdn. Bhd.,"MYR3,000 - MYR6,500 Sebulan",Sepenuh Masa,"Asajaya, Sarawak",3 days ago,"Negotiation, Communication",sarawak-all
https://www.maukerja.my/job/17937297-delivery-rider-part-time-dominos-pizza-jalan-green,17937297,Delivery Rider (Part Time) ( Domino's Pizza Jalan Green ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kuching, Sarawak",2 months ago,Any Skill,sarawak-all
https://www.maukerja.my/job/21256244-delivery-rider-part-time-dominos-kota-samarahan,21256244,Delivery Rider (Part Time) ( Domino's Kota Samarahan ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kota Samarahan, Sarawak",2 months ago,Any Skill,sarawak-all
https://www.maukerja.my/job/17937298-delivery-rider-part-time-dominos-pizza-tabuan-tranquility,17937298,Delivery Rider (Part Time) ( Domino's Pizza Tabuan Tranquility ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kuching, Sarawak",2 months ago,Any Skill,sarawak-all
https://www.maukerja.my/job/21127296-delivery-rider-part-time-dominos-pizza-bintulu,21127296,Delivery Rider (Part Time) ( Domino's Pizza Bintulu ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Bintulu, Sarawak",2 months ago,Any Skill,sarawak-all
https://www.maukerja.my/job/17937299-delivery-rider-part-time-dominos-pizza-metrocity,17937299,Delivery Rider (Part Time) ( Domino's Pizza Metrocity ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kuching, Sarawak",2 months ago,Any Skill,sarawak-all
https://www.maukerja.my/job/21256250-delivery-rider-part-time-dominos-sibu,21256250,Delivery Rider (Part Time) ( Domino's Sibu ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Sibu, Sarawak",2 months ago,Any Skill,sarawak-all
https://www.maukerja.my/job/17937296-crew-member-full-time-dominos-pizza-metrocity,17937296,Crew Member (Full Time) ( Domino's Pizza Metrocity ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Kuching, Sarawak",2 months ago,Any Skill,sarawak-all
https://www.maukerja.my/job/21256251-crew-member-part-time-dominos-sibu,21256251,Crew Member (Part Time) ( Domino's Sibu ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Sibu, Sarawak",2 months ago,Any Skill,sarawak-all
https://www.maukerja.my/job/17937294-crew-member-full-time-dominos-pizza-jalan-green,17937294,Crew Member (Full Time) ( Domino's Pizza Jalan Green ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Kuching, Sarawak",2 months ago,Any Skill,sarawak-all
https://www.maukerja.my/job/20681055-crew-member-part-time-dominos-miri-permyjaya,20681055,Crew Member (Part Time) ( Domino's Miri PermyJaya ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Miri, Sarawak",2 months ago,Any Skill,sarawak-all
https://www.maukerja.my/job/22005601-barista-mcdonalds-kia,22005601,Barista ( McDonald’s KIA ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Kuching, Sarawak",2 months ago,Any Skill,sarawak-all
