url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,selangor-all
https://www.maukerja.my/job/26462406-account-executive,26462406,Account Executive,V Top Frozen Food Sdn Bhd,"MYR4,000 - MYR5,000 Sebulan",Sepenuh Masa,Selangor,4 minutes ago,"Account Management, Customer Relationship Management",selangor-all
https://www.maukerja.my/job/26461346-part-time-hr-operations-admin-3-months,26461346,Part-Time HR Operations Admin (3-months),Evolution Commerce Sdn Bhd,"MYR1,700 - MYR1,750 Sejam",Separuh Masa,"Beranang, Selangor",an hour ago,"Data Entry, Record Keeping",selangor-all
https://www.maukerja.my/job/20628985-sales-representatives,20628985,Sales Representatives,Rheinol Lubricants Marketing (M) Sdn Bhd,"MYR3,000 - MYR5,000 monthly",Sepenuh Masa,"Sungai Buloh, Selangor",3 days ago,Communication Skills,selangor-all
https://www.maukerja.my/job/20740472-sales-executive,20740472,Sales Executive,Goldfinch Jewelry Sdn Bhd,"MYR1,500 - MYR2,500 Sebulan",Sepenuh Masa,"Klang, Selangor",3 days ago,"Sales Strategy, Customer Relationship Management (CRM)",selangor-all
https://www.maukerja.my/job/21946975-mortgage-analyst,21946975,Mortgage Analyst,CJ Wealth Solutions (M) Sdn. Bhd.,Undisclosed,Sepenuh Masa,"Klang, Selangor",3 days ago,"Communication, Microsoft Office",selangor-all
https://www.maukerja.my/job/26454909-client-support-specialist,26454909,Client Support Specialist,Lucky Frozen Sdn Bhd,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",15 hours ago,"Sales Support, Customer Service",selangor-all
https://www.maukerja.my/job/26454254-vehicle-sales-representative,26454254,Vehicle Sales Representative,EZ Auto Mart,"MYR1,700 - MYR15,000 Sebulan",Sepenuh Masa,"Ampang, Selangor",18 hours ago,"Sales Techniques, Customer Relationship Management",selangor-all
https://www.maukerja.my/job/26454907-sales-assistant,26454907,Sales Assistant,Lucky Frozen Sdn Bhd,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",15 hours ago,"Sales Support, Customer Service",selangor-all
https://www.maukerja.my/job/26454908-customer-service-representative,26454908,Customer Service Representative,Lucky Frozen Sdn Bhd,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",15 hours ago,"Sales Support, Customer Service",selangor-all
https://www.maukerja.my/job/26453814-service-solutions-lead-specialist,26453814,Service & Solutions Lead Specialist,Rentalworks Sdn Bhd,"MYR4,000 - MYR5,000 Sebulan",Sepenuh Masa,"Klang, Selangor",19 hours ago,"DaaS/PCaaS, managed services",selangor-all
https://www.maukerja.my/job/26453899-project-support-manager,26453899,Project Support Manager,Jins Health Group Sdn Bhd,"MYR3,300 - MYR4,300 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",18 hours ago,"Project Management, Project Planning",selangor-all
https://www.maukerja.my/job/26454913-accounts-receivable-clerk,26454913,Accounts Receivable Clerk,Lucky Frozen Sdn Bhd,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",14 hours ago,"Accounting Software, Data Entry",selangor-all
https://www.maukerja.my/job/26454256-sales-administrator,26454256,Sales Administrator,EZ Auto Mart,"MYR1,700 - MYR15,000 Sebulan",Sepenuh Masa,"Ampang, Selangor",18 hours ago,"Sales Techniques, Customer Relationship Management",selangor-all
https://www.maukerja.my/job/26454904-sales-support,26454904,Sales Support,Lucky Frozen Sdn Bhd,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",15 hours ago,"Sales Support, Customer Service",selangor-all
https://www.maukerja.my/job/26453897-project-officer,26453897,Project Officer,Jins Health Group Sdn Bhd,"MYR3,300 - MYR4,300 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",18 hours ago,"Project Management, Project Planning",selangor-all
https://www.maukerja.my/job/26453898-project-specialist,26453898,Project Specialist,Jins Health Group Sdn Bhd,"MYR3,300 - MYR4,300 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",18 hours ago,"Project Management, Project Planning",selangor-all
https://www.maukerja.my/job/26454912-accounts-payable-clerk,26454912,Accounts Payable Clerk,Lucky Frozen Sdn Bhd,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",14 hours ago,"Accounting Software, Data Entry",selangor-all
