url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/26269068-junior-accountant,26269068,Junior Accountant,N/A,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Banting, Selangor","MYR2,000 - MYR3,000 Sebulan",6 hours ago,"Accounts Payable, Accounts Receivable",sepenuh-masa-all
https://www.maukerja.my/job/26269575-pakar-kecantikan-klang-valley,26269575,Pakar kecantikan (Klang Valley),Medi Beaute Sdn Bhd,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,"Cheras, Selangor","MYR1,700 - MYR2,500 Sebulan",2 hours ago,Beauty,sepenuh-masa-all
https://www.maukerja.my/job/26269577-pakar-kecantikan-penang,26269577,Pakar kecantikan (Penang),Medi Beaute Sdn Bhd,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,Pulau Pinang,"MYR1,700 - MYR2,500 Sebulan",2 hours ago,Beauty,sepenuh-masa-all
https://www.maukerja.my/job/26269856-account-clerk,26269856,Account Clerk,Weller Air-Cond Parts Enterprise Sdn Bhd,"MYR2,200 - MYR3,500 Sebulan",Sepenuh Masa,"Hulu Langat, Selangor","MYR2,200 - MYR3,500 Sebulan",2 hours ago,"Accounting, Office Management",sepenuh-masa-all
https://www.maukerja.my/job/26269857-infant-nurse,26269857,Infant Nurse,Cutie Cottage Baby & Child Care + Nature Playschool,"MYR2,300 - MYR3,500 Sebulan",Sepenuh Masa,WP Kuala Lumpur,"MYR2,300 - MYR3,500 Sebulan",2 hours ago,"Infant Care, Communication Skills",sepenuh-masa-all
https://www.maukerja.my/job/26269858-accounting-assistant,26269858,Accounting Assistant,Weller Air-Cond Parts Enterprise Sdn Bhd,"MYR2,200 - MYR3,500 Sebulan",Sepenuh Masa,"Hulu Langat, Selangor","MYR2,200 - MYR3,500 Sebulan",2 hours ago,"Accounting, Office Management",sepenuh-masa-all
https://www.maukerja.my/job/26269859-bookkeeping-assistant,26269859,Bookkeeping Assistant,Weller Air-Cond Parts Enterprise Sdn Bhd,"MYR2,200 - MYR3,500 Sebulan",Sepenuh Masa,"Hulu Langat, Selangor","MYR2,200 - MYR3,500 Sebulan",2 hours ago,"Accounting, Office Management",sepenuh-masa-all
https://www.maukerja.my/job/26269860-administrative-clerk,26269860,Administrative Clerk,Weller Air-Cond Parts Enterprise Sdn Bhd,"MYR2,200 - MYR3,500 Sebulan",Sepenuh Masa,"Hulu Langat, Selangor","MYR2,200 - MYR3,500 Sebulan",2 hours ago,"Accounting, Office Management",sepenuh-masa-all
https://www.maukerja.my/job/26269861-clerical-assistant,26269861,Clerical Assistant,Weller Air-Cond Parts Enterprise Sdn Bhd,"MYR2,200 - MYR3,500 Sebulan",Sepenuh Masa,"Hulu Langat, Selangor","MYR2,200 - MYR3,500 Sebulan",2 hours ago,"Accounting, Office Management",sepenuh-masa-all
https://www.maukerja.my/job/26269862-data-entry-clerk,26269862,Data Entry Clerk,Weller Air-Cond Parts Enterprise Sdn Bhd,"MYR2,200 - MYR3,500 Sebulan",Sepenuh Masa,"Hulu Langat, Selangor","MYR2,200 - MYR3,500 Sebulan",2 hours ago,"Accounting, Office Management",sepenuh-masa-all
