url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-cameron-highlands
https://www.maukerja.my/job/25825264-health-advisor-cameron-centrum,25825264,Health Advisor ( CAMERON CENTRUM ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Pahang,"Up to MYR2,100 Sebulan",2 months ago,Any Skill,sepenuh-masa-cameron-highlands
https://www.maukerja.my/job/25701308-health-advisor-cameron-centrum,25701308,Health Advisor ( CAMERON CENTRUM ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Pahang,"Up to MYR2,100 Sebulan",2 months ago,Any Skill,sepenuh-masa-cameron-highlands
https://www.maukerja.my/job/25700808-health-advisor-cameron-centrum,25700808,Health Advisor ( CAMERON CENTRUM ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Pahang,"Up to MYR2,100 Sebulan",2 months ago,Any Skill,sepenuh-masa-cameron-highlands
https://www.maukerja.my/job/21842775-delivery-rider-full-time-dominos-pizza-cameron-highlands,21842775,Delivery Rider (Full Time) ( Domino's Pizza Cameron Highlands ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,Cameron Highlands,"Up to MYR2,500 Sebulan",2 months ago,Any Skill,sepenuh-masa-cameron-highlands
https://www.maukerja.my/job/17979793-health-advisor-cameron-highlands,17979793,Health Advisor ( CAMERON HIGHLANDS ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,Pahang,"Up to MYR2,100 Sebulan",11 days ago,Any Skill,sepenuh-masa-cameron-highlands
https://www.maukerja.my/job?jobId=26295581&slug=kitchen-crew-abang-strawberry,N/A,Kitchen Crew (Abang Strawberry),YBS Holdings Sdn Bhd,"MYR1,800 - MYR1,800 Sebulan",Sepenuh Masa,Cameron Highlands,"MYR1,800 - MYR1,800 Sebulan",3 days ago,N/A,sepenuh-masa-cameron-highlands
https://www.maukerja.my/job?jobId=26295585&slug=service-crew-abang-strawberry,N/A,Service Crew (Abang Strawberry),YBS Holdings Sdn Bhd,"MYR1,800 - MYR1,800 Sebulan",Sepenuh Masa,Cameron Highlands,"MYR1,800 - MYR1,800 Sebulan",3 days ago,N/A,sepenuh-masa-cameron-highlands
https://www.maukerja.my/job?jobId=26295584&slug=quality-assurance-executive,N/A,Quality Assurance Executive,YBS Holdings Sdn Bhd,"MYR2,300 - MYR2,500 Sebulan",Sepenuh Masa,Cameron Highlands,"MYR2,300 - MYR2,500 Sebulan",3 days ago,N/A,sepenuh-masa-cameron-highlands
https://www.maukerja.my/job?jobId=26298062&slug=shift-supervisor-tanah-rata-cameron-highlands,N/A,"Shift Supervisor - Tanah Rata, Cameron Highlands",Kopi Kenangan Sdn Bhd,"MYR2,000 - MYR2,500 Sebulan",Sepenuh Masa,Cameron Highlands,"MYR2,000 - MYR2,500 Sebulan",3 days ago,N/A,sepenuh-masa-cameron-highlands
https://www.maukerja.my/job?jobId=26298057&slug=shift-supervisor-tanah-rata-cameron-highlands,N/A,"Shift Supervisor - Tanah Rata, Cameron Highlands",Kopi Kenangan Sdn Bhd,"MYR2,000 - MYR2,500 Sebulan",Sepenuh Masa,Cameron Highlands,"MYR2,000 - MYR2,500 Sebulan",3 days ago,N/A,sepenuh-masa-cameron-highlands
https://www.maukerja.my/job?jobId=26300321&slug=project-manager-cameron-highland,N/A,PROJECT MANAGER (CAMERON HIGHLAND),Pintas Utama Sdn Bhd,Undisclosed,Sepenuh Masa,Cameron Highlands,Undisclosed,3 days ago,N/A,sepenuh-masa-cameron-highlands
