url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-jasin
https://www.maukerja.my/job/26266848-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-jasin,26266848,Kru Kasual - Hari Raya Haji ( McDonald's Pandu Lalu Jasin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Per Hour,N/A,"Jasin, Melaka",Up to MYR15 Per Hour,5 days ago,Any Skill,sepenuh-masa-jasin
https://www.maukerja.my/job/13085311-barista-mcdonalds-pandu-lalu-jasin,13085311,Barista ( McDonald's Pandu Lalu Jasin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Per Month",N/A,"Jasin, Melaka","Up to MYR1,500 Per Month",2 months ago,Any Skill,sepenuh-masa-jasin
https://www.maukerja.my/job/17979554-health-advisor-jasin-melaka,17979554,"Health Advisor ( JASIN, MELAKA )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Per Month",N/A,"Jasin, Melaka","Up to MYR2,100 Per Month",11 days ago,Any Skill,sepenuh-masa-jasin
https://www.maukerja.my/job/17979555-health-advisor-mydin-jasin,17979555,Health Advisor ( MYDIN JASIN ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Per Month",N/A,"Jasin, Melaka","Up to MYR2,100 Per Month",11 days ago,Any Skill,sepenuh-masa-jasin
https://www.maukerja.my/job/24217696-production-executive,24217696,Production Executive,Rubber Leisure Products Sdn Bhd,"MYR3,500 - MYR5,000 Per Month",Full Time,Melaka,"MYR3,500 - MYR5,000 Per Month",a day ago,"Problem-solving, Quality Control",sepenuh-masa-jasin
https://www.maukerja.my/job/24282471-graduate-employability-program-mcdonalds-pandu-lalu-jasin,24282471,Graduate Employability Program ( McDonald's Pandu Lalu Jasin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Per Hour,N/A,"Jasin, Melaka",Up to MYR12 Per Hour,8 months ago,Any Skill,sepenuh-masa-jasin
https://www.maukerja.my/job/22956058-technical-assistant-mcdonalds-pandu-lalu-jasin,22956058,Technical Assistant ( McDonald's Pandu Lalu Jasin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Per Month",N/A,"Jasin, Melaka","Up to MYR2,500 Per Month",a year ago,Any Skill,sepenuh-masa-jasin
https://www.maukerja.my/job/13085312-kru-restaurant-mcdonalds-pandu-lalu-jasin,13085312,Kru Restaurant ( McDonald's Pandu Lalu Jasin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Per Month",N/A,"Jasin, Melaka","Up to MYR1,500 Per Month",3 years ago,Any Skill,sepenuh-masa-jasin
https://www.maukerja.my/job/13085313-guest-experience-leader-mcdonalds-pandu-lalu-jasin,13085313,Guest Experience Leader ( McDonald's Pandu Lalu Jasin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,600 Per Month",N/A,"Jasin, Melaka","Up to MYR2,600 Per Month",3 years ago,Any Skill,sepenuh-masa-jasin
https://www.maukerja.my/job/19895007-general-worker-pekerja-am-mcdonalds-pandu-lalu-jasin,19895007,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Jasin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Jasin, Melaka",Undisclosed,2 years ago,Any Skill,sepenuh-masa-jasin
https://www.maukerja.my/job/12962948-ejen-penghantar-makanan-mcdonalds-pandu-lalu-jasin,12962948,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Jasin ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,900 Per Month",N/A,"Jasin, Melaka","Up to MYR1,900 Per Month",3 years ago,Any Skill,sepenuh-masa-jasin
