url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-johor-bahru
https://www.maukerja.my/job/18781975-general-clerk-admin,18781975,General Clerk Admin,H.F. Kejenteraan Sdn Bhd,"MYR1,800 - MYR2,000 Sebulan",Sepenuh Masa,"Johor Bahru, Johor",16 days ago,N/A,sepenuh-masa-johor-bahru
https://www.maukerja.my/job/17979616-health-advisor-aeon-tebrau-city,17979616,Health Advisor ( AEON TEBRAU CITY ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Johor Bahru, Johor",23 days ago,Any Skill,sepenuh-masa-johor-bahru
https://www.maukerja.my/job/17979617-health-advisor-aeon-kempas-jb,17979617,Health Advisor ( AEON KEMPAS JB ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Johor Bahru, Johor",23 days ago,Any Skill,sepenuh-masa-johor-bahru
https://www.maukerja.my/job/26452036-medical-receptionist,26452036,Medical Receptionist,Southern Medical Group Sdn. Bhd.,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Johor Bahru, Johor",16 hours ago,"Patient reception, Appointment scheduling",sepenuh-masa-johor-bahru
https://www.maukerja.my/job/26452033-medical-office-assistant,26452033,Medical Office Assistant,Southern Medical Group Sdn. Bhd.,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Johor Bahru, Johor",16 hours ago,"Patient reception, Appointment scheduling",sepenuh-masa-johor-bahru
https://www.maukerja.my/job/26452037-front-desk-coordinator-healthcare,26452037,Front Desk Coordinator (Healthcare),Southern Medical Group Sdn. Bhd.,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Johor Bahru, Johor",16 hours ago,"Patient reception, Appointment scheduling",sepenuh-masa-johor-bahru
https://www.maukerja.my/job/26452034-patient-care-coordinator,26452034,Patient Care Coordinator,Southern Medical Group Sdn. Bhd.,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Johor Bahru, Johor",16 hours ago,"Patient reception, Appointment scheduling",sepenuh-masa-johor-bahru
https://www.maukerja.my/job/26452035-healthcare-administrative-assistant,26452035,Healthcare Administrative Assistant,Southern Medical Group Sdn. Bhd.,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Johor Bahru, Johor",16 hours ago,"Patient reception, Appointment scheduling",sepenuh-masa-johor-bahru
https://www.maukerja.my/job/26450981-pembantu-klinik,26450981,Pembantu Klinik,Southern Medical Group Sdn. Bhd.,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Johor Bahru, Johor",16 hours ago,"Patient reception, Appointment scheduling",sepenuh-masa-johor-bahru
https://www.maukerja.my/job/26454900-operation-executive,26454900,Operation Executive,Cloudmate Sdn Bhd,"MYR5,000 - MYR7,000 Sebulan","Sepenuh Masa,","Johor Bahru, Johor",8 hours ago,"Cloud Infrastructure Management, AI Solutions",sepenuh-masa-johor-bahru
https://www.maukerja.my/job/26450340-production-planner-cum-logistic-executive-st,26450340,Production Planner Cum Logistic Executive (ST),Agensi Pekerjaan Job Search Asia Sdn Bhd,"MYR4,500 - MYR6,000 Sebulan",Sepenuh Masa,"Johor Bahru, Johor",18 hours ago,"Supply Chain Management, Production Planning",sepenuh-masa-johor-bahru
https://www.maukerja.my/job/26453994-executive-centralized-payroll-budget,26453994,"Executive, Centralized Payroll & Budget",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,"Johor Bahru, Johor",12 hours ago,Payroll Processing,sepenuh-masa-johor-bahru
https://www.maukerja.my/job/26443813-business-development-representative,26443813,Business Development Representative,NMIT Resources Sdn Bhd,"MYR2,500 - MYR4,000 Sebulan",Sepenuh Masa,"Johor Bahru, Johor",2 days ago,"Sales, Negotiation",sepenuh-masa-johor-bahru
https://www.maukerja.my/job/26443810-business-development-executive,26443810,Business Development Executive,NMIT Resources Sdn Bhd,"MYR2,500 - MYR4,000 Sebulan",Sepenuh Masa,"Johor Bahru, Johor",2 days ago,"Sales, Negotiation",sepenuh-masa-johor-bahru
https://www.maukerja.my/job/26443814-client-relationship-manager,26443814,Client Relationship Manager,NMIT Resources Sdn Bhd,"MYR2,500 - MYR4,000 Sebulan",Sepenuh Masa,"Johor Bahru, Johor",2 days ago,"Sales, Negotiation",sepenuh-masa-johor-bahru
https://www.maukerja.my/job/26443812-sales-executive,26443812,Sales Executive,NMIT Resources Sdn Bhd,"MYR2,500 - MYR4,000 Sebulan",Sepenuh Masa,"Johor Bahru, Johor",2 days ago,"Sales, Negotiation",sepenuh-masa-johor-bahru
https://www.maukerja.my/job/26444255-pembantu-dapur,26444255,Pembantu Dapur,Good Culture Sdn Bhd,"MYR1,800 - MYR2,000 monthly",Sepenuh Masa,"Johor Bahru, Johor",a day ago,"Food preparation, Dishwashing",sepenuh-masa-johor-bahru
https://www.maukerja.my/job/26427433-purchasing-agent,26427433,Purchasing Agent,Wei Kwang Electrical & Air-cond Engineering Works,"MYR2,500 - MYR3,500 Sebulan",Sepenuh Masa,"Johor Bahru, Johor",3 days ago,"Procurement, Purchasing",sepenuh-masa-johor-bahru
https://www.maukerja.my/job/26427532-hvac-specialist,26427532,HVAC Specialist,Wei Kwang Electrical & Air-cond Engineering Works,"MYR1,700 - MYR3,000 Sebulan",Sepenuh Masa,"Johor Bahru, Johor",3 days ago,"Installation, Overhaul",sepenuh-masa-johor-bahru
https://www.maukerja.my/job/26428101-recruitment-assistant,26428101,Recruitment Assistant,Wei Kwang Electrical & Air-cond Engineering Works,"MYR2,000 - MYR2,500 Sebulan",Sepenuh Masa,"Johor Bahru, Johor",3 days ago,"Recruitment, Manage Payroll",sepenuh-masa-johor-bahru
https://www.maukerja.my/job/26428132-construction-coordinator,26428132,Construction Coordinator,Wei Kwang Electrical & Air-cond Engineering Works,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Johor Bahru, Johor",3 days ago,"Monitor Construction Site, Coordinate Construction Activities",sepenuh-masa-johor-bahru
