url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/26270774-juruteknik-perkhidmatan-pentauliahan,26270774,Juruteknik Perkhidmatan & Pentauliahan,Nexa Control Sdn. Bhd.,"MYR2,200 - MYR3,000 Sebulan",Sepenuh Masa,"Kulai, Johor","MYR2,200 - MYR3,000 Sebulan",an hour ago,"Electrical Wiring, Troubleshooting",sepenuh-masa-johor
https://www.maukerja.my/job/26235176-eksekutif-pemasaran,26235176,Eksekutif Pemasaran,SJ Classic Industries Sdn Bhd,"MYR3,000 - MYR5,000 Sebulan",Sepenuh Masa,Johor,"MYR3,000 - MYR5,000 Sebulan",3 hours ago,"Marketing Strategy, Digital Marketing",sepenuh-masa-johor
https://www.maukerja.my/job/26193732-senior-finance-executive,26193732,Senior Finance Executive,Raffles American School,Undisclosed,Full Time,"Iskandar Puteri, Johor",Undisclosed,2 hours ago,"Financial Reporting, Accounting",sepenuh-masa-johor
https://www.maukerja.my/job/26248040-accounts,26248040,Accounts,Horizon Logistics (M) Sdn Bhd,"MYR3,500 - MYR4,500 Per Month",Full Time,Johor,"MYR3,500 - MYR4,500 Per Month",3 days ago,"Accounting Software, Bookkeeping",sepenuh-masa-johor
https://www.maukerja.my/job/26214373-healthcare-administrator,26214373,Healthcare Administrator,DR WEN CLINIC,"MYR2,000 - MYR2,800 Sebulan",Sepenuh Masa,"Iskandar Puteri, Johor","MYR2,000 - MYR2,800 Sebulan",8 days ago,"Patient Registration, Appointment Scheduling",sepenuh-masa-johor
https://www.maukerja.my/job/26249172-ambassador-patient-liasion,26249172,"Ambassador, Patient Liasion",KPJ Healthcare Berhad,Undisclosed,Sepenuh Masa,Johor,Undisclosed,3 days ago,Customer Service,sepenuh-masa-johor
https://www.maukerja.my/job/26164866-elv-assistant-engineer-data-center-project,26164866,ELV Assistant Engineer (data Center Project),XLD Sdn. Bhd.,"MYR2,800 - MYR4,500 Sebulan",Sepenuh Masa,Johor,"MYR2,800 - MYR4,500 Sebulan",2 hours ago,"ELV Systems, Data Center Infrastructure",sepenuh-masa-johor
https://www.maukerja.my/job/26195728-site-supervisor,26195728,Site Supervisor,MIP Engineering Solutions Sdn Bhd,"MYR2,500 - MYR5,000 Sebulan",Sepenuh Masa,"Johor Bahru, Johor","MYR2,500 - MYR5,000 Sebulan",3 hours ago,"Site Supervision, Project Coordination",sepenuh-masa-johor
https://www.maukerja.my/job/26094546-pakar-logistik,26094546,Pakar Logistik,Ample Healthcare Sdn Bhd,"MYR3,500 - MYR4,000 Sebulan",Sepenuh Masa,"Iskandar Puteri, Johor","MYR3,500 - MYR4,000 Sebulan",an hour ago,"Supply Chain Management, Inventory Management",sepenuh-masa-johor
https://www.maukerja.my/job/26214082-logistics-assistant,26214082,Logistics Assistant,Daikin Malaysia Sales & Service Sdn Bhd,"MYR2,000 - MYR2,500 Sebulan",Sepenuh Masa,Johor,"MYR2,000 - MYR2,500 Sebulan",8 days ago,"forklift, lift heavy things",sepenuh-masa-johor
https://www.maukerja.my/job/26098022-retail-sales-tebrau-city-johor,26098022,"Retail Sales (Tebrau City, Johor)",Jungle House,"MYR2,500 - MYR3,500 Sebulan",Sepenuh Masa,Johor,"MYR2,500 - MYR3,500 Sebulan",an hour ago,Retail,sepenuh-masa-johor
https://www.maukerja.my/job/26248797-drafter-designer,26248797,Drafter Designer,MSX Standard Design & Build Sdn Bhd,"MYR2,000 - MYR4,500 Sebulan",Sepenuh Masa,"Johor Bahru, Johor","MYR2,000 - MYR4,500 Sebulan",3 days ago,AutoCAD,sepenuh-masa-johor
https://www.maukerja.my/job/26154550-market-development-executive,26154550,Market Development Executive,Jebsen & Jessen Packaging Sdn Bhd,Undisclosed,Sepenuh Masa,Johor,Undisclosed,15 days ago,"Sales, Business Development",sepenuh-masa-johor
https://www.maukerja.my/job/26154553-regional-sales-executive,26154553,Regional Sales Executive,Jebsen & Jessen Packaging Sdn Bhd,Undisclosed,Sepenuh Masa,Johor,Undisclosed,15 days ago,"Sales, Business Development",sepenuh-masa-johor
https://www.maukerja.my/job/26154538-senior-business-development-executive,26154538,Senior Business Development Executive,Jebsen & Jessen Packaging Sdn Bhd,Undisclosed,Sepenuh Masa,Johor,Undisclosed,15 days ago,"Sales, Business Development",sepenuh-masa-johor
https://www.maukerja.my/job/26154547-client-relationship-executive,26154547,Client Relationship Executive,Jebsen & Jessen Packaging Sdn Bhd,Undisclosed,Sepenuh Masa,Johor,Undisclosed,15 days ago,"Sales, Business Development",sepenuh-masa-johor
https://www.maukerja.my/job/26097597-supervisor,26097597,Supervisor,Petron Bukit Gambir Service Station,"MYR2,200 - MYR4,500 Sebulan",Sepenuh Masa,Johor,"MYR2,200 - MYR4,500 Sebulan",an hour ago,"Supervision, Team Leadership",sepenuh-masa-johor
https://www.maukerja.my/job/26164904-penolong-pengurus-restoran,26164904,Penolong Pengurus Restoran,CPI Food Concept Sdn Bhd,"MYR4,500 - MYR6,000",Full Time,"Johor Bahru, Johor","MYR4,500 - MYR6,000",2 hours ago,"Restaurant Management, Operations Management",sepenuh-masa-johor
https://www.maukerja.my/job/26195333-executive-wealth-planner,26195333,Executive Wealth Planner,GT Future Solutions,"MYR3,000 - MYR5,000 Per Month",Full Time,"Batu Pahat, Johor","MYR3,000 - MYR5,000 Per Month",3 hours ago,"Communication, Driving",sepenuh-masa-johor
https://www.maukerja.my/job/26097777-retail-manager-store-manager-tebrau-city-johor,26097777,"Retail Manager (Store Manager) (Tebrau City, Johor)",Jungle House,"MYR4,300 - MYR5,000 Sebulan",Sepenuh Masa,Johor,"MYR4,300 - MYR5,000 Sebulan",an hour ago,Retail,sepenuh-masa-johor
https://www.maukerja.my/job/26156750-sales-engineer-electrical-electronic-招聘,26156750,Sales Engineer (Electrical & Electronic) 招聘,EITA Electric Sdn Bhd,"MYR3,500 - MYR4,500 Sebulan",Sepenuh Masa,"Johor Bahru, Johor","MYR3,500 - MYR4,500 Sebulan",2 hours ago,"Sales Techniques, Sales Strategy",sepenuh-masa-johor
https://www.maukerja.my/job/26123273-pemandu-lori-kelindan,26123273,Pemandu Lori / Kelindan,Bon Maxim Sdn Bhd (Wall's Ice Cream),"MYR2,400 - MYR2,700 Sebulan",Sepenuh Masa,Johor,"MYR2,400 - MYR2,700 Sebulan",2 hours ago,"Valid Driver's License, Knowledge of Traffic Laws",sepenuh-masa-johor
https://www.maukerja.my/job/26093363-service-technician,26093363,Service Technician,NL Scientific Southern Sdn Bhd,"MYR2,300 - MYR3,000 Sebulan",Sepenuh Masa,"Senai, Johor","MYR2,300 - MYR3,000 Sebulan",an hour ago,"Electrical Wiring, Technical troubleshooting",sepenuh-masa-johor
https://www.maukerja.my/job/26097724-account-executive,26097724,Account Executive,Diesel Truck Sdn Bhd,"MYR3,000 - MYR5,000 Per Month",Full Time,Johor,"MYR3,000 - MYR5,000 Per Month",an hour ago,Account Management,sepenuh-masa-johor
https://www.maukerja.my/job/26123102-retail-sales-assistance-female-chinese-only,26123102,Retail Sales Assistance (Female Chinese Only),Dearie Group Sdn Bhd,"MYR1,800 - MYR2,800 Sebulan",Sepenuh Masa,Johor,"MYR1,800 - MYR2,800 Sebulan",2 hours ago,"Sales, Customer Service",sepenuh-masa-johor
https://www.maukerja.my/job/26063198-senior-accountant-associates,26063198,SENIOR ACCOUNTANT ASSOCIATES,SMC Associates PLT,"MYR4,500 - MYR5,500 Sebulan",Sepenuh Masa,Johor,"MYR4,500 - MYR5,500 Sebulan",an hour ago,"Accounting, Accounting Software",sepenuh-masa-johor
https://www.maukerja.my/job/26097639-personal-driver,26097639,Personal Driver,Casso M Sdn Bhd,"MYR2,200 - MYR4,500 Sebulan",Sepenuh Masa,Johor,"MYR2,200 - MYR4,500 Sebulan",an hour ago,"Driving, Navigation",sepenuh-masa-johor
https://www.maukerja.my/job/26242524-eksekutif-perolehan,26242524,Eksekutif Perolehan,Qbee Superbike Centre Sdn Bhd,"MYR3,000 - MYR4,000 Per Month",Full Time,"Johor Bahru, Johor","MYR3,000 - MYR4,000 Per Month",3 days ago,"Procurement, Inventory Management",sepenuh-masa-johor
https://www.maukerja.my/job/26142505-sales-executive-sales-supervisor-fmcg-horeca-food-service,26142505,Sales Executive / Sales Supervisor (FMCG /HORECA/Food Service),A.K.Koh Enterprise Sdn. Bhd.,"MYR2,000 - MYR2,800 Per Month",Full Time,"Senai, Johor","MYR2,000 - MYR2,800 Per Month",16 days ago,"FMCG Sales, Sales Management",sepenuh-masa-johor
https://www.maukerja.my/job/26135700-assistant-quantity-surveyor,26135700,Assistant Quantity Surveyor,Wei Kwang Electrical & Air-cond Engineering Works,Undisclosed,Full Time,"Johor Bahru, Johor",Undisclosed,17 days ago,"AutoCAD, Claims Processing",sepenuh-masa-johor
https://www.maukerja.my/job/26213585-full-time-tea-barista-midvalley-southkey,26213585,Full Time Tea Barista - Midvalley Southkey,Beutea Holding Sdn Bhd,"MYR1,800 - MYR2,200 Per Month",Full Time,"Johor Bahru, Johor","MYR1,800 - MYR2,200 Per Month",8 days ago,"Teamwork, Customer Service",sepenuh-masa-johor
https://www.maukerja.my/job/26165280-project-manager-construction-property-development,26165280,Project Manager (Construction / Property Development),Agensi Pekerjaan & Perundingcara Bright Prospect Sdn Bhd,"MYR10,000 - MYR15,000 Per Month",Full Time,"Ulu Tiram, Johor","MYR10,000 - MYR15,000 Per Month",14 days ago,"Professional Engineer Certified, Development project management",sepenuh-masa-johor
https://www.maukerja.my/job/26135702-quantity-surveying-technician,26135702,Quantity Surveying Technician,Wei Kwang Electrical & Air-cond Engineering Works,Undisclosed,Full Time,"Johor Bahru, Johor",Undisclosed,17 days ago,"AutoCAD, Claims Processing",sepenuh-masa-johor
https://www.maukerja.my/job/26135716-aircond-technician-juruteknik-penghawa-dingin,26135716,Aircond Technician (Juruteknik Penghawa Dingin),Wei Kwang Electrical & Air-cond Engineering Works,"MYR1,700 - MYR3,000 Per Month",Full Time,"Johor Bahru, Johor","MYR1,700 - MYR3,000 Per Month",8 days ago,"Installation, Overhaul",sepenuh-masa-johor
https://www.maukerja.my/job/26164908-penolong-pengurus-restoran,26164908,Penolong Pengurus Restoran,CPI Food Concept Sdn Bhd,"MYR4,500 - MYR6,000",Full Time,"Johor Bahru, Johor","MYR4,500 - MYR6,000",14 days ago,"Restaurant Management, Operations Management",sepenuh-masa-johor
