url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-johor
https://www.maukerja.my/job/26443724-quality-control-inspector,26443724,Quality Control Inspector,Poji Sdn Bhd,"MYR1,700 - MYR2,000 Sebulan",Sepenuh Masa,Johor,8 hours ago,"Reporting, Inspection",sepenuh-masa-johor
https://www.maukerja.my/job/26444596-customer-experience-manager,26444596,Customer Experience Manager,Telecontinent Sdn Bhd,"MYR5,000 - MYR6,000 monthly",Sepenuh Masa,"Senai, Johor",4 hours ago,"Customer Relationship Management (CRM), Customer Service",sepenuh-masa-johor
https://www.maukerja.my/job/26442516-nail-technician,26442516,Nail Technician,Agensi Pekerjaan XY Master Sdn Bhd,"MYR2,000 - MYR2,500 Sebulan",Sepenuh Masa,"Iskandar Puteri, Johor",10 hours ago,"Manicure and pedicure services, Nail art and design",sepenuh-masa-johor
https://www.maukerja.my/job/26442517-nail-artist,26442517,Nail Artist,Agensi Pekerjaan XY Master Sdn Bhd,"MYR2,000 - MYR2,500 Sebulan",Sepenuh Masa,"Iskandar Puteri, Johor",10 hours ago,"Manicure and pedicure services, Nail art and design",sepenuh-masa-johor
https://www.maukerja.my/job/26442518-pedicurist,26442518,Pedicurist,Agensi Pekerjaan XY Master Sdn Bhd,"MYR2,000 - MYR2,500 Sebulan",Sepenuh Masa,"Iskandar Puteri, Johor",10 hours ago,"Manicure and pedicure services, Nail art and design",sepenuh-masa-johor
https://www.maukerja.my/job/26442519-nail-care-specialist,26442519,Nail Care Specialist,Agensi Pekerjaan XY Master Sdn Bhd,"MYR2,000 - MYR2,500 Sebulan",Sepenuh Masa,"Iskandar Puteri, Johor",10 hours ago,"Manicure and pedicure services, Nail art and design",sepenuh-masa-johor
https://www.maukerja.my/job/26442520-gel-nail-technician,26442520,Gel Nail Technician,Agensi Pekerjaan XY Master Sdn Bhd,"MYR2,000 - MYR2,500 Sebulan",Sepenuh Masa,"Iskandar Puteri, Johor",10 hours ago,"Manicure and pedicure services, Nail art and design",sepenuh-masa-johor
https://www.maukerja.my/job/26442521-acrylic-nail-technician,26442521,Acrylic Nail Technician,Agensi Pekerjaan XY Master Sdn Bhd,"MYR2,000 - MYR2,500 Sebulan",Sepenuh Masa,"Iskandar Puteri, Johor",10 hours ago,"Manicure and pedicure services, Nail art and design",sepenuh-masa-johor
https://www.maukerja.my/job/26443844-barista-bask-bear-coffee-taman-universiti,26443844,Barista @ Bask Bear Coffee Taman Universiti,Bask Bear Sdn Bhd,"MYR1,700 - MYR1,900 Sebulan",Sepenuh Masa,"Skudai, Johor",7 hours ago,"Cashiering, Food Preparation",sepenuh-masa-johor
https://www.maukerja.my/job/26444276-application-engineer,26444276,Application Engineer,Cadvision Systems Sdn Bhd,"MYR2,500 - MYR3,500 Sebulan",Sepenuh Masa,"Johor Bahru, Johor",5 hours ago,"Customer Relationship Management, Sales Support",sepenuh-masa-johor
