url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-keningau
https://www.maukerja.my/job/26266726-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-keningau-f,26266726,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Keningau (F) ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Keningau, Sabah",Up to MYR15 Sejam,5 days ago,Any Skill,sepenuh-masa-keningau
https://www.maukerja.my/job/17979850-health-advisor-keningau,17979850,Health Advisor ( KENINGAU ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Keningau, Sabah","Up to MYR2,100 Sebulan",11 days ago,Any Skill,sepenuh-masa-keningau
https://www.maukerja.my/job/14486004-assistant-manager-dominos-pizza-keningau,14486004,Assistant Manager ( Domino’s Pizza Keningau ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Keningau, Sabah","Up to MYR2,500 Sebulan",2 months ago,Any Skill,sepenuh-masa-keningau
https://www.maukerja.my/job?jobId=26305318&slug=spa-therapist,N/A,Spa Therapist,Thai Odyssey Management Services Sdn. Bhd.,"MYR2,000 - MYR2,000 Sebulan",Sepenuh Masa,Keningau,"MYR2,000 - MYR2,000 Sebulan",3 days ago,N/A,sepenuh-masa-keningau
https://www.maukerja.my/job?jobId=26304458&slug=resident-engineer-sook-keningau,N/A,Resident Engineer (Sook Keningau),KuchingJobs,"MYR6,000 - MYR6,500 Sebulan",Sepenuh Masa,Keningau,"MYR6,000 - MYR6,500 Sebulan",3 days ago,N/A,sepenuh-masa-keningau
https://www.maukerja.my/job?jobId=26302915&slug=spa-therapist,N/A,Spa Therapist,Thai Odyssey Management Services Sdn. Bhd.,"MYR2,000 - MYR2,000 Sebulan",Sepenuh Masa,Keningau,"MYR2,000 - MYR2,000 Sebulan",3 days ago,N/A,sepenuh-masa-keningau
https://www.maukerja.my/job?jobId=26298173&slug=inspector-of-work-c-s-sook-keningau,N/A,Inspector of Work - C-S (Sook Keningau),KuchingJobs,"MYR3,500 - MYR4,000 Sebulan",Sepenuh Masa,Keningau,"MYR3,500 - MYR4,000 Sebulan",3 days ago,N/A,sepenuh-masa-keningau
https://www.maukerja.my/job?jobId=26289253&slug=sales-advisor,N/A,Sales Advisor,ITSU WORLD SDN BHD,"MYR1,700 - MYR10,000 Sebulan",Sepenuh Masa,Keningau,"MYR1,700 - MYR10,000 Sebulan",3 days ago,N/A,sepenuh-masa-keningau
https://www.maukerja.my/job?jobId=26286534&slug=management-trainee,N/A,Management Trainee,LTH Group Asia Sdn Bhd,"MYR2,000 - MYR5,000 Sebulan",Sepenuh Masa,Keningau,"MYR2,000 - MYR5,000 Sebulan",3 days ago,N/A,sepenuh-masa-keningau
https://www.maukerja.my/job?jobId=26237610&slug=junior-executive-marketing,N/A,Junior Executive Marketing,Voxxy Scent Global,Undisclosed,Sepenuh Masa,Keningau,Undisclosed,9 days ago,N/A,sepenuh-masa-keningau
https://www.maukerja.my/job?jobId=26167793&slug=spa-therapist,N/A,Spa Therapist,Thai Odyssey Management Services Sdn. Bhd.,"MYR2,000 - MYR2,000 Sebulan",Sepenuh Masa,Keningau,"MYR2,000 - MYR2,000 Sebulan",17 days ago,N/A,sepenuh-masa-keningau
https://www.maukerja.my/job?jobId=26167396&slug=management-trainee,N/A,Management Trainee,LTH GROUP ASIA SDN BHD,"MYR2,000 - MYR5,000 Sebulan",Sepenuh Masa,Keningau,"MYR2,000 - MYR5,000 Sebulan",17 days ago,N/A,sepenuh-masa-keningau
https://www.maukerja.my/job?jobId=26167395&slug=management-trainee,N/A,Management Trainee,LTH Group Asia Sdn Bhd,"MYR2,000 - MYR5,000 Sebulan",Sepenuh Masa,Keningau,"MYR2,000 - MYR5,000 Sebulan",17 days ago,N/A,sepenuh-masa-keningau
https://www.maukerja.my/job?jobId=26149393&slug=resident-engineer-sook-keningau,N/A,Resident Engineer (Sook Keningau),KuchingJobs,"MYR6,000 - MYR6,500 Sebulan",Sepenuh Masa,Keningau,"MYR6,000 - MYR6,500 Sebulan",19 days ago,N/A,sepenuh-masa-keningau
https://www.maukerja.my/job?jobId=26116383&slug=inspector-of-work-c-s-sook-keningau,N/A,Inspector of Work - C-S (Sook Keningau),Kuchingjobs,"MYR3,500 - MYR4,000 Sebulan",Sepenuh Masa,Keningau,"MYR3,500 - MYR4,000 Sebulan",23 days ago,N/A,sepenuh-masa-keningau
