url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-kuantan
https://www.maukerja.my/job/26256877-logistic-admin,26256877,Logistic Admin,Lian Gang Logistics Sdn Bhd,"MYR3,000 - MYR3,200 Sebulan",Sepenuh Masa,"Kuantan, Pahang","MYR3,000 - MYR3,200 Sebulan",a day ago,Administration Management,sepenuh-masa-kuantan
https://www.maukerja.my/job/26307290-service-kitchen-crew,26307290,Service & Kitchen Crew,Johnny's Restaurant,"MYR1,900 - MYR2,200 Sebulan",Sepenuh Masa,"Kuantan, Pahang","MYR1,900 - MYR2,200 Sebulan",2 days ago,"Customer Service, Food Preparation",sepenuh-masa-kuantan
https://www.maukerja.my/job/26307288-service-kitchen-crew,26307288,Service & Kitchen Crew,Johnny's Restaurant,"MYR1,900 - MYR2,200 Sebulan",Sepenuh Masa,"Kuantan, Pahang","MYR1,900 - MYR2,200 Sebulan",2 days ago,"Customer Service, Food Preparation",sepenuh-masa-kuantan
https://www.maukerja.my/job/26268036-service-kitchen-crew,26268036,Service & Kitchen Crew,Black Canyon Restaurant,"MYR1,900 - MYR2,200 Sebulan",Sepenuh Masa,"Kuantan, Pahang","MYR1,900 - MYR2,200 Sebulan",4 days ago,"Customer Service, Food Preparation",sepenuh-masa-kuantan
https://www.maukerja.my/job/26268035-service-kitchen-crew,26268035,Service & Kitchen Crew,Black Canyon Restaurant,"MYR1,900 - MYR2,200 Sebulan",Sepenuh Masa,"Kuantan, Pahang","MYR1,900 - MYR2,200 Sebulan",4 days ago,"Customer Service, Food Preparation",sepenuh-masa-kuantan
https://www.maukerja.my/job/26229396-sales-consultant,26229396,Sales Consultant,Dominant Enterprise Berhad,"MYR4,000 - MYR6,000 Sebulan",Sepenuh Masa,"Kuantan, Pahang","MYR4,000 - MYR6,000 Sebulan",10 days ago,"Communication skills, Negotiation skills",sepenuh-masa-kuantan
https://www.maukerja.my/job/26229397-sales-specialist,26229397,Sales Specialist,Dominant Enterprise Berhad,"MYR4,000 - MYR6,000 Sebulan",Sepenuh Masa,"Kuantan, Pahang","MYR4,000 - MYR6,000 Sebulan",10 days ago,"Communication skills, Negotiation skills",sepenuh-masa-kuantan
https://www.maukerja.my/job/26229395-client-relationship-executive,26229395,Client Relationship Executive,Dominant Enterprise Berhad,"MYR4,000 - MYR6,000 Sebulan",Sepenuh Masa,"Kuantan, Pahang","MYR4,000 - MYR6,000 Sebulan",10 days ago,"Communication skills, Negotiation skills",sepenuh-masa-kuantan
https://www.maukerja.my/job/26229390-sales-executive-kuantan,26229390,Sales Executive - Kuantan,Dominant Enterprise Berhad,"MYR4,000 - MYR6,000 Sebulan",Sepenuh Masa,"Kuantan, Pahang","MYR4,000 - MYR6,000 Sebulan",10 days ago,"Communication skills, Negotiation skills",sepenuh-masa-kuantan
https://www.maukerja.my/job/26229392-sales-representative,26229392,Sales Representative,Dominant Enterprise Berhad,"MYR4,000 - MYR6,000 Sebulan",Sepenuh Masa,"Kuantan, Pahang","MYR4,000 - MYR6,000 Sebulan",10 days ago,"Communication skills, Negotiation skills",sepenuh-masa-kuantan
https://www.maukerja.my/job/26229393-business-development-representative,26229393,Business Development Representative,Dominant Enterprise Berhad,"MYR4,000 - MYR6,000 Sebulan",Sepenuh Masa,"Kuantan, Pahang","MYR4,000 - MYR6,000 Sebulan",10 days ago,"Communication skills, Negotiation skills",sepenuh-masa-kuantan
