url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-miri
https://www.maukerja.my/job/26266699-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-petronas-miri-f,26266699,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Petronas Miri (F) ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Miri, Sarawak",Up to MYR15 Sejam,5 days ago,Any Skill,sepenuh-masa-miri
https://www.maukerja.my/job/26266697-kru-kasual-hari-raya-haji-mcdonalds-plaza-bintang-miri-f,26266697,Kru Kasual - Hari Raya Haji ( McDonald’s Plaza Bintang Miri (F) ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Miri, Sarawak",Up to MYR15 Sejam,5 days ago,Any Skill,sepenuh-masa-miri
https://www.maukerja.my/job/26266698-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-miri-permyjaya-f,26266698,Kru Kasual - Hari Raya Haji ( McDonald’s Pandu Lalu Miri Permyjaya (F) ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Miri, Sarawak",Up to MYR15 Sejam,5 days ago,Any Skill,sepenuh-masa-miri
https://www.maukerja.my/job/17979826-health-advisor-boulevard-mall-miri,17979826,Health Advisor ( BOULEVARD MALL MIRI ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Miri, Sarawak","Up to MYR2,100 Sebulan",11 days ago,Any Skill,sepenuh-masa-miri
https://www.maukerja.my/job/20943409-health-advisor-emart-riam-miri,20943409,Health Advisor ( Emart Riam Miri ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Miri, Sarawak","Up to MYR2,100 Sebulan",11 days ago,Any Skill,sepenuh-masa-miri
https://www.maukerja.my/job/17979827-health-advisor-imperial-city-mall-miri,17979827,Health Advisor ( IMPERIAL CITY MALL MIRI ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Miri, Sarawak","Up to MYR2,100 Sebulan",11 days ago,Any Skill,sepenuh-masa-miri
https://www.maukerja.my/job/20943398-health-advisor-imperial-city-mall,20943398,Health Advisor ( Imperial City Mall ),Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Miri, Sarawak","Up to MYR2,100 Sebulan",11 days ago,Any Skill,sepenuh-masa-miri
https://www.maukerja.my/job/17979828-health-advisor-emart-riam-miri,17979828,"Health Advisor ( EMART RIAM, MIRI )",Watsons Personal Care Stores Sdn Bhd,"Up to MYR2,100 Sebulan",N/A,"Miri, Sarawak","Up to MYR2,100 Sebulan",11 days ago,Any Skill,sepenuh-masa-miri
https://www.maukerja.my/job/20681053-delivery-rider-part-time-dominos-miri-permyjaya,20681053,Delivery Rider (Part Time) ( Domino's Miri PermyJaya ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Miri, Sarawak","Up to MYR2,500 Sebulan",2 months ago,Any Skill,sepenuh-masa-miri
