url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-muar
https://www.maukerja.my/job/26428342-marketing-executive,26428342,Marketing Executive,Aestech Pro Sdn Bhd,"MYR2,500 - MYR4,000 Sebulan",Sepenuh Masa,"Muar, Johor",3 hours ago,"Brand Awareness, Marketing Strategy",sepenuh-masa-muar
https://www.maukerja.my/job/21950220-delivery-rider-part-time-dominos-jalan-bakri,21950220,Delivery Rider (Part Time) ( Domino’s Jalan Bakri ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Muar, Johor",2 months ago,Any Skill,sepenuh-masa-muar
https://www.maukerja.my/job/21950099-delivery-rider-part-time-dominos-pizza-muar,21950099,Delivery Rider (Part Time) ( Domino's Pizza Muar ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Muar, Johor",2 months ago,Any Skill,sepenuh-masa-muar
https://www.maukerja.my/job/21952048-crew-member-full-time-dominos-pizza-muar,21952048,Crew Member (Full Time) ( Domino's Pizza Muar ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Muar, Johor",2 months ago,Any Skill,sepenuh-masa-muar
https://www.maukerja.my/job/21952210-crew-member-full-time-dominos-jalan-bakri,21952210,Crew Member (Full Time) ( Domino’s Jalan Bakri ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Muar, Johor",2 months ago,Any Skill,sepenuh-masa-muar
https://www.maukerja.my/job/21950377-crew-member-part-time-dominos-jalan-bakri,21950377,Crew Member (Part Time) ( Domino’s Jalan Bakri ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Muar, Johor",2 months ago,Any Skill,sepenuh-masa-muar
https://www.maukerja.my/job/21950258-crew-member-part-time-dominos-pizza-muar,21950258,Crew Member (Part Time) ( Domino's Pizza Muar ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Muar, Johor",2 months ago,Any Skill,sepenuh-masa-muar
https://www.maukerja.my/job/21823964-barista-mcdonalds-wetex-muar,21823964,Barista ( McDonald’s Wetex Muar ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Muar, Johor",2 months ago,Any Skill,sepenuh-masa-muar
https://www.maukerja.my/job/21828393-barista-mcdonalds-muar-dt,21828393,Barista ( McDonald’s Muar DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Muar, Johor",2 months ago,Any Skill,sepenuh-masa-muar
https://www.maukerja.my/job/21842670-delivery-rider-full-time-dominos-pizza-muar,21842670,Delivery Rider (Full Time) ( Domino's Pizza Muar ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Muar, Johor",2 months ago,Any Skill,sepenuh-masa-muar
https://www.maukerja.my/job/21842803-delivery-rider-full-time-dominos-jalan-bakri,21842803,Delivery Rider (Full Time) ( Domino’s Jalan Bakri ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Muar, Johor",2 months ago,Any Skill,sepenuh-masa-muar
https://www.maukerja.my/job/26375497-penasihat-jualan,26375497,Penasihat Jualan,Super Ceramic Tiles & Design Sdn Bhd,"MYR1,800 - MYR2,200 monthly",Sepenuh Masa,"Muar, Johor",5 days ago,"Sales, Customer Service",sepenuh-masa-muar
https://www.maukerja.my/job/26385055-penasihat-jualan,26385055,Penasihat Jualan,Super Ceramic Tiles & Design Sdn Bhd,"MYR1,800 - MYR2,200 Sebulan",Sepenuh Masa,"Muar, Johor",5 days ago,"Sales, Customer Service",sepenuh-masa-muar
https://www.maukerja.my/job/26266886-kru-kasual-hari-raya-haji-mcdonalds-muar-dt,26266886,Kru Kasual - Hari Raya Haji ( McDonald’s Muar DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Muar, Johor",14 days ago,Any Skill,sepenuh-masa-muar
https://www.maukerja.my/job/26266885-kru-kasual-hari-raya-haji-mcdonalds-wetex-muar,26266885,Kru Kasual - Hari Raya Haji ( McDonald’s Wetex Muar ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Muar, Johor",14 days ago,Any Skill,sepenuh-masa-muar
https://www.maukerja.my/job/26123550-production-planner,26123550,Production Planner,Aestech Pro Sdn Bhd,"MYR2,500 - MYR4,000 Sebulan",Sepenuh Masa,"Muar, Johor",a month ago,"Production Planning, Inventory Management",sepenuh-masa-muar
https://www.maukerja.my/job/26088016-eksekutif-jualan,26088016,Eksekutif Jualan,Lead Solution Management Sdn Bhd,"MYR3,000 - MYR8,000 Sebulan",Sepenuh Masa,"Muar, Johor",a day ago,"Communication, Sales Strategy",sepenuh-masa-muar
https://www.maukerja.my/job/26060180-telemarketing-specialist,26060180,Telemarketing Specialist,Bytewave Technology Solutions,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Muar, Johor",a month ago,"Customer Service, Communication Skills",sepenuh-masa-muar
https://www.maukerja.my/job/26060181-telemarketing-manager,26060181,Telemarketing Manager,Bytewave Technology Solutions,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Muar, Johor",a month ago,"Customer Service, Communication Skills",sepenuh-masa-muar
https://www.maukerja.my/job/26013839-wakil-jualan,26013839,Wakil Jualan,Lead Solution Management Sdn Bhd,"MYR3,000 - MYR8,000 Sebulan",Sepenuh Masa,"Muar, Johor",6 days ago,"Communication, negotiation skill",sepenuh-masa-muar
https://www.maukerja.my/job/26060179-telemarketer,26060179,Telemarketer,Bytewave Technology Solutions,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Muar, Johor",a day ago,"Customer Service, Communication Skills",sepenuh-masa-muar
